Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-36.920822,68.903786,-0.29845464,-5.0645981,-0.29628167,-5.0698032,-36.95116,92.183846
1001484375,-36.875786,69.694122,-0.29713106,-5.6334848,-0.2990872,-5.6141052,-37.01646,94.159943
1002968750,-36.785408,67.736168,-0.30103695,-6.1585054,-0.29557627,-6.1637282,-36.975166,92.876724
1004453125,-36.762592,67.603821,-0.29854062,-6.6961932,-0.2982319,-6.6972923,-37.075584,92.060478
1005937500,-36.771069,66.011536,-0.29595709,-7.2542477,-0.29885057,-7.2320852,-36.77454,90.410469
1007421875,-36.681076,64.416924,-0.30098939,-7.8079557,-0.296361,-7.76724,-36.951839,89.534653
1008906250,-36.648403,64.134521,-0.29848278,-8.3412695,-0.29348734,-8.3285246,-36.402237,89.930824
1010390625,-36.720043,65.364731,-0.30091286,-8.8523474,-0.29793495,-8.8517008,-36.789417,89.947342
1011875000,-36.299942,63.321476,-0.2988337,-9.3963594,-0.2949861,-9.4018488,-36.692898,88.160706
1013359375,-36.1562,62.722557,-0.30086553,-9.9554205,-0.29754433,-9.9265051,-36.163097,86.605057
1014843750,-36.392414,62.047134,-0.30056837,-10.495711,-0.29865199,-10.495367,-36.412247,87.824669
1016328125,-36.241634,62.170528,-0.29800475,-11.054348,-0.30201435,-10.997201,-36.451923,86.213371
1017812500,-36.511261,61.554832,-0.2982026,-11.566483,-0.29668102,-11.55981,-36.395077,84.77079
1019296875,-36.259422,60.97892,-0.30043277,-12.103412,-0.29942685,-12.103298,-36.549744,84.468468
1020781250,-36.316509,61.267494,-0.2972132,-12.642801,-0.29826176,-12.626697,-36.672268,83.574318
1022265625,-35.940289,58.784794,-0.30457377,-13.186264,-0.29941475,-13.183144,-36.413563,82.278519
1023750000,-35.873291,59.924686,-0.30206499,-13.73451,-0.29876712,-13.715986,-36.321308,82.358215
1025234375,-35.79081,58.000034,-0.30227098,-14.261648,-0.29877168,-14.266827,-36.44466,80.993271
1026718750,-35.760944,58.236099,-0.30339012,-14.805796,-0.3005698,-14.811338,-36.088486,81.594391
1028203125,-35.965988,56.514912,-0.30142373,-15.35897,-0.29924542,-15.331191,-35.933685,79.878136
1029687500,-35.53278,56.03368,-0.30188695,-15.868259,-0.30042806,-15.891917,-35.963314,80.033676
1031171875,-35.815228,57.497967,-0.30275419,-16.429361,-0.29940528,-16.407001,-35.994366,79.001221
1032656250,-35.650131,56.684139,-0.30177069,-16.951704,-0.30153784,-16.97172,-35.911915,78.005363
1034140625,-35.586601,56.050537,-0.3038229,-17.523193,-0.30109185,-17.484451,-35.929001,77.640739
1035625000,-35.612854,51.633476,-0.30309784,-18.031994,-0.29997307,-18.030855,-36.001965,75.5644
1037109375,-35.517269,55.153404,-0.30354807,-18.576744,-0.30036214,-18.593025,-35.696785,75.875458
1038593750,-35.161808,53.032764,-0.30375209,-19.113304,-0.30235845,-19.159,-35.671871,73.611092
1040078125,-35.362114,52.53471,-0.30574143,-19.673052,-0.30261755,-19.697807,-35.558487,74.465736
1041562500,-35.27219,52.674606,-0.30246496,-20.234852,-0.30308804,-20.182421,-35.565815,73.795105
1043046875,-35.337677,52.270184,-0.30476978,-20.748465,-0.30458993,-20.73341,-35.872219,73.952637
1044531250,-35.245853,50.745747,-0.30382353,-21.281057,-0.30225411,-21.288605,-35.66777,72.522873
1046015625,-35.423161,51.417213,-0.30538478,-21.850462,-0.30479258,-21.826206,-35.697422,72.549835
1047500000,-34.908073,50.70356,-0.30390275,-22.379034,-0.30328512,-22.356741,-35.554928,71.888718
