!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, June 23, 2015 15:06:54
!Source: Standard

BEGIN CH20_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-34.787701,-156.57581,-0.59217364,-16.29862,-0.59296006,-16.343603,-34.82774,-52.181068
4000316406.25,-34.197903,-154.63019,-0.62095463,-18.156525,-0.57596052,-16.451426,-34.712307,-55.841541
4000632812.5,-34.421558,-155.01558,-0.6099934,-17.731192,-0.58296329,-16.559238,-34.703049,-54.092484
4000949218.75,-34.639915,-154.97653,-0.60357046,-17.266441,-0.58830231,-16.649393,-34.717968,-53.239006
4001265625,-34.784447,-155.33519,-0.59537685,-16.959555,-0.59202343,-16.789692,-34.753326,-51.835052
4001582031.25,-34.853172,-156.091,-0.59546435,-16.833591,-0.59104598,-16.897198,-34.736294,-52.158619
4001898437.5,-34.87788,-156.22368,-0.59286642,-16.884138,-0.5902406,-17.005287,-34.794147,-51.518742
4002214843.75,-34.829765,-156.8468,-0.59367949,-17.046768,-0.59048915,-17.138529,-34.847645,-51.910866
4002531250,-34.806686,-157.37508,-0.59385508,-17.228424,-0.59187955,-17.263041,-34.867332,-52.311737
4002847656.25,-34.805088,-157.39084,-0.59228313,-17.394424,-0.5921042,-17.366104,-34.908875,-52.682827
4003164062.5,-34.712467,-157.6947,-0.59467995,-17.508844,-0.59218937,-17.473091,-34.868057,-52.982208
4003480468.75,-34.724174,-157.0631,-0.59365237,-17.635941,-0.59253168,-17.600822,-34.853813,-53.382317
4003796875,-34.723797,-157.29955,-0.5941543,-17.756464,-0.59100759,-17.709618,-34.809059,-53.119465
4004113281.25,-34.760273,-157.01831,-0.59386039,-17.862297,-0.59089363,-17.819029,-34.821697,-52.922081
4004429687.5,-34.748207,-157.49886,-0.59263802,-17.993523,-0.5930019,-17.946136,-34.81385,-53.464073
4004746093.75,-34.729378,-157.74043,-0.59383714,-18.121525,-0.59543067,-18.058277,-34.767303,-53.110912
4005062500,-34.727848,-157.80336,-0.59339601,-18.234167,-0.59396935,-18.161636,-34.755802,-53.266479
