!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, June 23, 2015 15:28:26
!Source: Standard

BEGIN CH20_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-44.333069,-154.14729,-0.10652546,-106.29814,-0.10706597,-106.36296,-46.133369,150.90584
4000363281.25,-46.111538,-161.39748,-0.13665041,-107.9948,-0.091593698,-106.40882,-45.626465,157.99139
4000726562.5,-45.253025,-159.30255,-0.12569033,-107.40352,-0.097428255,-106.4362,-45.455315,157.28035
4001089843.75,-44.742218,-158.19705,-0.11671496,-106.83012,-0.10456135,-106.48148,-45.166046,155.524
4001453125,-44.237778,-156.15233,-0.11043318,-106.49039,-0.10616906,-106.50121,-45.111977,154.09735
4001816406.25,-44.293934,-154.55246,-0.10897,-106.40173,-0.10431118,-106.55309,-45.596439,153.94618
4002179687.5,-44.471272,-154.1797,-0.11009466,-106.47422,-0.10594227,-106.61022,-45.627346,154.01186
4002542968.75,-44.660835,-154.48911,-0.1065699,-106.60166,-0.10336345,-106.64523,-46.018093,154.99213
4002906250,-44.689995,-152.60265,-0.107821,-106.69388,-0.10702755,-106.69306,-46.445858,154.24806
4003269531.25,-44.589413,-154.5484,-0.10614838,-106.72271,-0.10628667,-106.74453,-46.223949,153.48703
4003632812.5,-44.367023,-152.30125,-0.10914303,-106.7809,-0.10647659,-106.76833,-45.845409,153.03383
4003996093.75,-44.497314,-152.89178,-0.10949358,-106.83324,-0.10907944,-106.8463,-45.979401,153.28889
4004359375,-44.430153,-151.35278,-0.10762116,-106.86966,-0.10718279,-106.86643,-45.659286,151.42899
4004722656.25,-44.409271,-149.48117,-0.10811504,-106.90606,-0.10752748,-106.92458,-45.69487,151.58669
4005085937.5,-44.398361,-149.73994,-0.10540494,-106.95403,-0.10819014,-106.94298,-45.720261,153.41829
4005449218.75,-44.396767,-148.42659,-0.10692142,-106.99913,-0.11281955,-106.97703,-45.645451,152.75839
4005812500,-44.536209,-148.43494,-0.10661844,-107.04187,-0.1103818,-107.02431,-45.762409,153.26462
4006175781.25,-44.724155,-149.30788,-0.10914187,-107.06851,-0.10908186,-107.06859,-45.665031,153.62218
4006539062.5,-44.89109,-150.81731,-0.10785586,-107.12539,-0.11045916,-107.11045,-45.956192,151.00674
4006902343.75,-45.260754,-150.34018,-0.10883351,-107.16872,-0.10591591,-107.17278,-46.013321,152.4184
4007265625,-45.251202,-148.75018,-0.10812461,-107.21876,-0.10739964,-107.20015,-46.192116,151.93668
4007628906.25,-44.981579,-148.41583,-0.1087461,-107.24486,-0.10656827,-107.25095,-46.058838,150.7142
4007992187.5,-44.625015,-148.97586,-0.1091508,-107.29153,-0.10854603,-107.27631,-46.170593,146.87236
4008355468.75,-44.218472,-150.52509,-0.10828146,-107.34536,-0.11059903,-107.33772,-46.147701,146.84312
4008718750,-43.986446,-151.43385,-0.11069714,-107.39343,-0.10646022,-107.36575,-46.127834,145.79802
4009082031.25,-43.846226,-152.69373,-0.11290482,-107.44234,-0.10703763,-107.41304,-46.200497,146.33894
4009445312.5,-43.884312,-155.32358,-0.11415581,-107.44429,-0.10564312,-107.44322,-46.367741,148.18607
4009808593.75,-44.004738,-154.99403,-0.1107103,-107.49375,-0.10725506,-107.50214,-46.300068,150.89526
4010171875,-44.030121,-158.77893,-0.11227403,-107.54115,-0.1063099,-107.54666,-46.414635,151.91261
4010535156.25,-44.377506,-157.97592,-0.11205123,-107.58894,-0.10567208,-107.58047,-46.253189,152.98589
4010898437.5,-44.343407,-155.995,-0.11011986,-107.62452,-0.10704798,-107.62125,-46.381977,150.96767
4011261718.75,-44.188232,-154.35863,-0.10828117,-107.66199,-0.10789479,-107.6787,-46.192932,147.82771
4011625000,-44.251797,-153.58162,-0.10854031,-107.71331,-0.10853143,-107.70378,-46.257076,147.09322
4011988281.25,-44.181568,-151.94635,-0.10474742,-107.75886,-0.10986461,-107.76014,-46.162296,148.1924
4012351562.5,-44.084469,-148.24338,-0.10815839,-107.80544,-0.1073903,-107.7871,-46.056198,149.29391
4012714843.75,-44.141697,-146.7128,-0.10830905,-107.85672,-0.1096419,-107.83765,-45.928211,149.1346
4013078125,-43.961784,-146.32802,-0.10610808,-107.89635,-0.10966055,-107.86686,-46.039513,149.44301
4013441406.25,-44.100807,-146.84183,-0.10946714,-107.91104,-0.10877728,-107.9226,-45.832039,150.65097
4013804687.5,-44.404331,-149.03912,-0.10866915,-107.97503,-0.10890035,-107.96922,-46.143101,149.2814
4014167968.75,-44.586155,-152.39418,-0.10599785,-108.01852,-0.10760055,-108.00058,-47.161644,147.00777
4014531250,-44.839359,-154.69493,-0.10644103,-108.04559,-0.10814251,-108.048,-47.345272,143.13179
4014894531.25,-44.819004,-155.75641,-0.10813991,-108.09623,-0.10766865,-108.10203,-47.43919,146.17856
4015257812.5,-44.827942,-153.43832,-0.10859092,-108.13689,-0.10529849,-108.13083,-47.698589,146.21429
4015621093.75,-44.570232,-152.00902,-0.11086695,-108.17666,-0.10945889,-108.18414,-47.385521,150.22598
4015984375,-44.428471,-150.38438,-0.10844769,-108.21963,-0.11016639,-108.21336,-47.269764,152.08771
4016347656.25,-44.597263,-149.27541,-0.11367404,-108.27364,-0.10874382,-108.26311,-46.851421,153.25543
4016710937.5,-44.617569,-151.21895,-0.10992966,-108.30414,-0.10620563,-108.30884,-46.847595,151.46404
4017074218.75,-44.97221,-153.66652,-0.1110959,-108.33858,-0.10797344,-108.36254,-47.059853,150.74637
4017437500,-45.276257,-153.59999,-0.10910667,-108.38626,-0.10526116,-108.4062,-47.013622,149.73586
4017800781.25,-45.152874,-157.3519,-0.10681616,-108.42903,-0.10755843,-108.46128,-46.904465,149.0015
4018164062.5,-45.284065,-153.48853,-0.10690252,-108.46494,-0.10690852,-108.49038,-47.167751,148.99881
