!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, June 23, 2015 15:32:24
!Source: Standard

BEGIN CH20_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-51.935101,-22.974918,-0.11429016,-102.05167,-0.11494514,-102.12534,-51.872414,-86.864189
4000312500,-49.73386,2.2333467,-0.14473541,-103.82062,-0.098344468,-102.1244,-49.882576,-96.065674
4000625000,-50.874638,-1.5197458,-0.13429408,-103.32328,-0.10402041,-102.17899,-50.085403,-96.121277
4000937500,-51.457794,-8.1581373,-0.12573467,-102.81022,-0.10762707,-102.20127,-50.799419,-96.951218
4001250000,-52.705761,-18.174986,-0.12130389,-102.40488,-0.11460709,-102.24458,-51.020744,-99.616592
4001562500,-52.52327,-20.641207,-0.11780906,-102.19956,-0.11261597,-102.28146,-51.880672,-97.61631
4001875000,-52.054192,-23.69969,-0.11649933,-102.1603,-0.11405972,-102.31182,-51.740108,-90.338661
4002187500,-51.357868,-19.595818,-0.11418443,-102.22878,-0.11361989,-102.36043,-51.198269,-92.246361
4002500000,-50.562855,-20.977678,-0.11701284,-102.33044,-0.11412881,-102.37403,-50.761639,-88.298973
4002812500,-50.625454,-21.490545,-0.11888134,-102.43093,-0.11211801,-102.43457,-50.677799,-87.131424
4003125000,-50.440269,-21.220373,-0.11624968,-102.4544,-0.1125365,-102.46497,-50.708557,-86.628212
4003437500,-50.524151,-24.182602,-0.11692168,-102.50542,-0.1125296,-102.50461,-50.975445,-89.532951
4003750000,-50.428913,-22.270529,-0.11862788,-102.54887,-0.11369921,-102.54031,-51.57872,-90.737991
4004062500,-50.812675,-23.972994,-0.11494453,-102.57835,-0.1117195,-102.57442,-51.803196,-91.174713
4004375000,-50.272175,-26.157442,-0.11608561,-102.62959,-0.11521213,-102.59548,-51.45314,-90.883926
4004687500,-50.37709,-26.442026,-0.11712775,-102.66682,-0.11758894,-102.6464,-51.7047,-92.460083
4005000000,-50.207722,-27.271257,-0.11671465,-102.71078,-0.11793116,-102.67052,-51.475685,-92.594612
4005312500,-49.482388,-24.358223,-0.11626502,-102.74969,-0.11704154,-102.71378,-51.026527,-93.934425
4005625000,-49.457161,-27.346794,-0.11585497,-102.77798,-0.11775099,-102.74955,-51.123463,-90.275291
4005937500,-49.148422,-25.530338,-0.1141867,-102.80535,-0.11852682,-102.7784,-51.372009,-90.443413
4006250000,-49.348961,-24.475151,-0.11702798,-102.84512,-0.1185811,-102.80767,-50.906979,-90.509331
4006562500,-49.305977,-22.938961,-0.11487028,-102.87487,-0.11597692,-102.85707,-51.484573,-91.20282
4006875000,-49.345886,-19.066166,-0.11379099,-102.91637,-0.1172324,-102.8932,-51.375088,-88.605667
4007187500,-48.962555,-20.464392,-0.11381196,-102.94489,-0.11684163,-102.92963,-51.159859,-87.053131
4007500000,-49.177452,-21.155178,-0.11661482,-102.99194,-0.11439194,-102.97243,-51.46452,-84.204201
4007812500,-49.045624,-25.55106,-0.11733355,-103.02522,-0.11521111,-103.01935,-52.118656,-83.539406
4008125000,-49.710785,-29.232065,-0.11828056,-103.06112,-0.11641838,-103.04449,-52.080231,-84.119148
4008437500,-50.220474,-29.986847,-0.11856332,-103.10467,-0.11834265,-103.074,-52.640739,-85.708946
4008750000,-50.557938,-34.765942,-0.11564735,-103.12847,-0.11486512,-103.10957,-52.107368,-77.705742
4009062500,-50.981056,-31.198891,-0.11771733,-103.15968,-0.11448756,-103.13609,-52.261337,-80.392815
4009375000,-51.456249,-29.64296,-0.11748138,-103.1955,-0.11291026,-103.17322,-51.668808,-80.877106
4009687500,-51.895775,-29.571814,-0.1217301,-103.22478,-0.1140304,-103.22604,-51.426979,-84.848381
4010000000,-51.822338,-26.854837,-0.11990461,-103.2727,-0.1150281,-103.26101,-50.863033,-84.66275
4010312500,-52.397587,-21.179848,-0.12012972,-103.29299,-0.11173934,-103.29897,-50.984322,-84.750008
4010625000,-51.942997,-24.96966,-0.11618008,-103.32702,-0.11319269,-103.33406,-50.978798,-83.95372
4010937500,-51.201836,-24.077044,-0.11928801,-103.38422,-0.11415705,-103.35748,-50.944016,-83.089645
4011250000,-51.036572,-25.280581,-0.11511401,-103.40473,-0.1168863,-103.41634,-51.743626,-85.083107
4011562500,-50.668461,-27.896782,-0.11454843,-103.44574,-0.11537685,-103.44825,-51.271217,-80.506203
4011875000,-49.886429,-26.99341,-0.11556245,-103.4782,-0.11494908,-103.48447,-51.495842,-81.50605
4012187500,-49.327873,-32.304764,-0.11469876,-103.52099,-0.1144307,-103.52101,-52.234047,-82.887497
4012500000,-49.24334,-34.099453,-0.11802273,-103.56407,-0.11597008,-103.5493,-51.867638,-84.056313
4012812500,-48.905315,-35.010227,-0.11712747,-103.61494,-0.11731938,-103.60311,-51.720402,-89.028305
4013125000,-48.641438,-36.470203,-0.11537043,-103.63718,-0.1175359,-103.63248,-51.775761,-86.332085
4013437500,-48.570126,-36.172722,-0.11543912,-103.68021,-0.11712306,-103.65578,-51.513691,-85.642624
4013750000,-49.057106,-33.769974,-0.11571878,-103.69673,-0.11751426,-103.70479,-51.526905,-81.651978
4014062500,-49.651009,-27.63061,-0.11527061,-103.73726,-0.11573498,-103.71881,-51.53804,-76.056091
4014375000,-49.688522,-22.590803,-0.11568043,-103.75716,-0.11659137,-103.75695,-51.731655,-72.0765
4014687500,-50.10553,-18.585686,-0.11700277,-103.8089,-0.11603452,-103.80708,-51.167,-70.654747
4015000000,-49.908916,-20.452852,-0.11630093,-103.84126,-0.11347129,-103.82875,-50.851894,-70.022537
4015312500,-49.627422,-23.940811,-0.11948135,-103.87767,-0.11744447,-103.88256,-50.126762,-73.73098
4015625000,-49.40641,-26.601734,-0.11985218,-103.8952,-0.11783645,-103.89925,-50.404346,-75.79908
4015937500,-49.235363,-27.932381,-0.11542878,-103.94389,-0.11518253,-103.93665,-50.514912,-77.387482
4016250000,-48.797775,-32.14072,-0.11719337,-103.9939,-0.11644686,-103.98463,-49.894833,-78.286171
4016562500,-48.981396,-28.814646,-0.11844038,-104.03414,-0.11531843,-104.0106,-49.83075,-77.741005
4016875000,-49.744465,-23.631557,-0.11646692,-104.0771,-0.1166161,-104.05032,-50.359272,-75.077972
4017187500,-49.368134,-21.738508,-0.11588519,-104.10047,-0.11454424,-104.09727,-50.388615,-79.722153
4017500000,-49.721367,-19.783895,-0.11702175,-104.12435,-0.11420265,-104.1347,-50.62812,-75.525352
4017812500,-49.574287,-16.083231,-0.11331282,-104.17976,-0.11350966,-104.18208,-50.799717,-75.303864
4018125000,-49.47419,-18.150021,-0.11634302,-104.18193,-0.11518031,-104.2122,-50.326607,-75.334259
4018437500,-48.813389,-19.63475,-0.11771867,-104.23235,-0.11540177,-104.24806,-50.299191,-77.212303
4018750000,-48.865196,-24.452848,-0.11495294,-104.25433,-0.11716212,-104.28688,-50.853771,-81.167725
4019062500,-48.293114,-27.361599,-0.1161342,-104.30387,-0.11667605,-104.3297,-50.262924,-85.843185
4019375000,-48.40189,-27.006622,-0.1168478,-104.34512,-0.11710275,-104.35606,-50.667797,-82.224884
4019687500,-48.415813,-26.591423,-0.11181335,-104.38635,-0.1209912,-104.38208,-51.040909,-83.180336
4020000000,-48.697838,-28.62826,-0.11411481,-104.40324,-0.11907217,-104.43144,-51.607243,-76.356178
4020312500,-48.938709,-28.496481,-0.1144961,-104.46436,-0.11957034,-104.46854,-51.37487,-75.840164
4020625000,-48.643394,-29.534176,-0.11289381,-104.48667,-0.11856201,-104.49474,-51.710789,-71.566788
4020937500,-48.924103,-32.068058,-0.11423347,-104.51005,-0.11748694,-104.53699,-50.831013,-73.168488
4021250000,-48.836994,-34.730972,-0.11372028,-104.56387,-0.11740659,-104.55765,-50.365467,-74.809502
4021562500,-48.730728,-34.454559,-0.11790265,-104.59346,-0.11517762,-104.60528,-50.679375,-77.913956
4021875000,-48.655842,-37.167919,-0.1167561,-104.63282,-0.11412063,-104.64433,-50.391136,-81.0644
4022187500,-48.584183,-36.185219,-0.11669812,-104.67823,-0.11406624,-104.66489,-50.141071,-79.453445
4022500000,-48.207188,-34.424824,-0.1214551,-104.71661,-0.11410622,-104.69942,-50.498299,-78.654884
4022812500,-47.992104,-31.643484,-0.11808125,-104.74862,-0.11170959,-104.72926,-50.81216,-75.0569
4023125000,-47.994106,-25.903606,-0.11561771,-104.75717,-0.11428135,-104.78745,-50.355438,-72.640358
4023437500,-47.528252,-24.125437,-0.11696041,-104.79586,-0.11183789,-104.81824,-50.929375,-70.091995
4023750000,-47.231171,-21.227993,-0.11830804,-104.83983,-0.11557502,-104.86038,-50.330898,-70.07605
4024062500,-47.287457,-19.216799,-0.11741352,-104.87904,-0.11538407,-104.89468,-50.481998,-69.684395
4024375000,-47.190063,-19.472517,-0.11600541,-104.93188,-0.11779683,-104.9223,-50.303066,-68.977768
4024687500,-46.777977,-20.212801,-0.11615991,-104.96331,-0.11474478,-104.95567,-49.744045,-68.558815
4025000000,-46.92345,-21.425812,-0.11738847,-104.99761,-0.11629434,-104.98402,-49.895004,-67.843643
