!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, February 11, 2014 11:27:47
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-39.272213,-107.78554,-0.25780371,49.343033,-0.25904047,49.304722,-47.07214,-16.810337
1001484375,-39.520325,-106.82226,-0.25413212,48.86713,-0.26030698,48.848015,-47.091866,-16.194439
1002968750,-39.14296,-105.68163,-0.26193592,48.40337,-0.25684038,48.384155,-48.179821,-17.064022
1004453125,-39.406929,-106.5802,-0.25580364,47.937523,-0.26016569,47.940895,-46.495327,-18.849201
1005937500,-39.827572,-108.48537,-0.26238814,47.479,-0.25646743,47.501301,-47.058445,-16.809742
1007421875,-39.669418,-109.66573,-0.25950745,47.037285,-0.25868291,47.01503,-47.043911,-18.981522
1008906250,-40.224049,-111.98852,-0.26074672,46.57164,-0.25535154,46.577324,-47.875923,-25.882597
1010390625,-39.697002,-113.26272,-0.26072851,46.117714,-0.25405592,46.103271,-48.674866,-17.652189
1011875000,-39.849205,-111.53826,-0.26023316,45.632961,-0.25606748,45.633224,-47.476677,-9.9638186
1013359375,-39.611752,-113.42222,-0.25976017,45.193245,-0.25526428,45.189751,-46.856304,-10.990156
1014843750,-40.203232,-115.78257,-0.25835973,44.711441,-0.26042318,44.712261,-47.28548,-12.155212
1016328125,-40.4221,-114.37934,-0.2618995,44.275589,-0.25804067,44.240582,-48.553593,-18.999912
1017812500,-40.001846,-115.76623,-0.26192695,43.823978,-0.26069462,43.783596,-47.22612,-8.1046438
1019296875,-40.309978,-119.51566,-0.25924867,43.334644,-0.26412112,43.317356,-47.703484,-14.823923
1020781250,-40.035175,-119.77937,-0.25941598,42.872711,-0.26076576,42.873371,-48.968353,-11.483857
1022265625,-40.575565,-118.45461,-0.25972927,42.42067,-0.25910884,42.414471,-47.725788,-8.0231552
1023750000,-40.479366,-119.16006,-0.26180193,41.962868,-0.26305872,41.938686,-48.920746,-8.0180254
1025234375,-40.57391,-121.3996,-0.26185295,41.499237,-0.25826088,41.486588,-49.578487,-5.178762
1026718750,-40.499275,-119.8821,-0.25997216,41.049511,-0.26266956,41.045322,-48.953056,-0.54802883
1028203125,-40.348618,-123.01959,-0.26043147,40.591549,-0.26289871,40.560452,-50.243019,-8.1208735
1029687500,-40.409126,-121.73598,-0.26350147,40.125038,-0.25792903,40.114445,-49.480026,-9.1594601
1031171875,-40.354679,-122.41758,-0.26470411,39.662983,-0.25906351,39.638981,-49.755787,-5.2613816
1032656250,-40.538406,-124.46078,-0.26085564,39.200829,-0.26023436,39.189449,-49.438965,1.3745885
1034140625,-40.879543,-124.79983,-0.26111716,38.738319,-0.26457432,38.733223,-49.302731,-0.36228767
1035625000,-40.556793,-125.15027,-0.26297313,38.306602,-0.26242748,38.285275,-48.883656,2.109494
1037109375,-40.726959,-125.92593,-0.26383334,37.823685,-0.25856572,37.8153,-50.033314,-3.3891797
1038593750,-40.940361,-128.03189,-0.26174939,37.362438,-0.26096156,37.349739,-49.197239,3.4895566
1040078125,-40.785576,-132.25336,-0.26558301,36.912476,-0.260573,36.890446,-49.832787,6.0907264
1041562500,-40.71524,-128.2083,-0.26295972,36.445728,-0.26252735,36.417446,-48.772964,4.4363637
1043046875,-40.642574,-134.10718,-0.26227769,35.989887,-0.26060417,35.985947,-51.017326,0.45066118
1044531250,-40.805058,-134.37918,-0.26190636,35.528446,-0.26287872,35.512951,-49.122822,-1.8542559
1046015625,-40.776142,-133.2661,-0.26233146,35.049309,-0.25988865,35.042,-48.968979,3.7381682
1047500000,-41.042648,-134.36894,-0.26332071,34.612453,-0.26243332,34.581314,-49.454937,11.407171
1048984375,-41.152035,-133.81068,-0.2648955,34.147102,-0.25940204,34.133266,-49.525116,-4.4425116
1050468750,-41.125854,-136.16252,-0.26308021,33.682705,-0.26424173,33.694157,-49.844204,4.4981689
1051953125,-41.378208,-137.54161,-0.26072288,33.226784,-0.26378053,33.181259,-48.507919,15.192205
1053437500,-41.20163,-136.01488,-0.26640835,32.772228,-0.26251265,32.75037,-49.448364,6.2952175
1054921875,-41.119743,-139.51945,-0.26419127,32.316219,-0.26287076,32.293682,-49.746704,10.921193
1056406250,-40.804401,-141.39886,-0.26752332,31.843863,-0.26339379,31.847017,-49.502571,6.0515223
1057890625,-41.105003,-138.27435,-0.26737887,31.387028,-0.26515484,31.341383,-49.5592,14.084413
1059375000,-41.006321,-144.97281,-0.26439944,30.933115,-0.26665637,30.917166,-50.222809,15.417238
1060859375,-41.304138,-143.8414,-0.26652533,30.4608,-0.26543021,30.487263,-49.635136,13.846992
1062343750,-41.558678,-145.01071,-0.26613972,30.004768,-0.26169363,29.999273,-49.374393,11.808444
1063828125,-41.201267,-148.68887,-0.26839969,29.54674,-0.26378113,29.538717,-50.282509,19.775036
1065312500,-41.475567,-146.06258,-0.26542026,29.090021,-0.26192412,29.080511,-49.750496,22.543159
1066796875,-42.135319,-147.6324,-0.27018371,28.627163,-0.26479894,28.619877,-50.110813,15.953128
1068281250,-41.408104,-149.12721,-0.26525858,28.182673,-0.26462376,28.150812,-50.537117,14.103979
1069765625,-41.681118,-150.603,-0.26862553,27.716394,-0.27010775,27.708008,-49.679649,19.268814
1071250000,-41.793861,-149.81613,-0.26835224,27.250418,-0.26492098,27.243773,-49.068489,18.654299
1072734375,-41.744854,-149.90501,-0.26594442,26.798592,-0.26400754,26.778057,-48.871632,23.977171
1074218750,-41.870392,-150.08611,-0.26510671,26.351175,-0.2667515,26.316891,-48.941727,31.701883
1075703125,-41.961506,-153.33153,-0.2649428,25.889187,-0.26701957,25.857107,-50.315243,21.464003
1077187500,-41.604279,-153.39203,-0.26886845,25.407961,-0.2679849,25.406078,-49.117802,30.691227
1078671875,-41.898487,-155.21413,-0.26978475,24.952232,-0.2691589,24.978359,-48.112545,22.347784
1080156250,-41.607262,-155.40492,-0.26854765,24.481617,-0.26709071,24.474913,-48.976196,29.59358
1081640625,-41.66124,-155.33528,-0.26820341,24.017202,-0.26742217,24.012388,-49.369328,22.034441
1083125000,-42.069794,-155.56178,-0.2716397,23.560194,-0.26526549,23.549051,-48.889133,36.124405
1084609375,-42.199413,-160.94594,-0.26747772,23.110468,-0.267546,23.114285,-48.087349,34.029293
1086093750,-42.34306,-162.54268,-0.26947203,22.659733,-0.270814,22.664352,-49.509884,39.0928
1087578125,-42.554142,-160.83496,-0.27348351,22.177849,-0.2714881,22.192545,-48.683548,36.73896
1089062500,-41.783325,-161.22833,-0.26906452,21.749151,-0.26777303,21.712191,-48.13871,33.798248
1090546875,-42.079746,-166.91382,-0.26993307,21.269463,-0.26894766,21.265699,-48.364307,34.086143
1092031250,-42.238815,-165.22292,-0.27071801,20.821247,-0.27130273,20.799654,-48.409237,33.309803
1093515625,-42.454926,-162.14275,-0.2703054,20.363131,-0.26592585,20.331762,-49.106068,42.402393
1095000000,-42.524441,-169.84393,-0.2683689,19.898418,-0.2675952,19.869646,-48.17696,49.624393
1096484375,-42.969234,-168.13899,-0.26966673,19.420174,-0.26572302,19.421921,-48.053932,46.315666
1097968750,-43.035728,-169.78714,-0.27162296,18.971521,-0.26720777,18.939177,-46.449699,42.334873
1099453125,-42.42215,-171.4736,-0.2692987,18.523178,-0.26945901,18.484388,-46.273643,38.869396
1100937500,-42.892136,-172.63353,-0.27101281,18.070711,-0.27249277,18.05661,-48.219696,43.527805
1102421875,-42.252979,-175.33064,-0.27140787,17.600161,-0.27019995,17.589809,-47.640469,41.928158
1103906250,-42.635921,-172.38383,-0.273132,17.128157,-0.26896259,17.147434,-47.856697,40.91045
1105390625,-42.608952,-176.39903,-0.27169138,16.679523,-0.27214912,16.646296,-47.289024,37.959072
1106875000,-42.892048,-177.08115,-0.27142158,16.201124,-0.27254361,16.194035,-46.569908,41.572201
1108359375,-43.234417,-178.13689,-0.27022105,15.760812,-0.27379066,15.740766,-47.532764,44.870506
1109843750,-42.846802,-176.90002,-0.27578029,15.293572,-0.27242002,15.30829,-47.605164,51.518188
1111328125,-42.904083,-178.54552,-0.2750029,14.85111,-0.26711515,14.823908,-47.224083,49.10923
1112812500,-42.45752,-174.93935,-0.27167439,14.361881,-0.27177337,14.351018,-47.274044,44.601242
1114296875,-43.083542,177.53552,-0.27617395,13.896926,-0.27023187,13.92763,-45.928692,51.326004
1115781250,-43.04702,177.14665,-0.27575091,13.466544,-0.27136225,13.421265,-46.903038,44.595581
1117265625,-42.951534,174.4852,-0.27045298,12.990393,-0.27364081,12.960241,-45.930111,46.57037
1118750000,-43.071522,173.24095,-0.27561712,12.521515,-0.27165627,12.506017,-46.020382,47.441902
1120234375,-42.944283,171.65782,-0.2726495,12.069483,-0.27264223,12.075368,-45.422359,51.681934
1121718750,-43.421291,170.58293,-0.27526355,11.611205,-0.27407536,11.603306,-47.283531,44.912609
1123203125,-42.833248,166.91861,-0.27571017,11.127378,-0.27157265,11.154191,-46.216618,47.463036
1124687500,-43.61306,167.58983,-0.27525979,10.694022,-0.27233005,10.701257,-47.216846,52.0303
1126171875,-43.6483,164.18333,-0.27809846,10.230776,-0.27287203,10.20852,-45.706608,54.560055
1127656250,-43.471493,160.69008,-0.27316615,9.8028698,-0.27277103,9.7678013,-46.291,53.046413
1129140625,-43.224548,159.97534,-0.27684894,9.3027649,-0.27571288,9.2869329,-45.318169,55.137852
1130625000,-42.82151,161.04884,-0.27574122,8.8414497,-0.27315348,8.8400345,-45.915928,50.375317
1132109375,-43.242256,160.08511,-0.27554685,8.3781357,-0.27545211,8.3789911,-45.185875,52.004925
1133593750,-42.904701,157.961,-0.27431512,7.9289694,-0.27411366,7.9499307,-44.415165,53.684608
1135078125,-43.332947,156.03873,-0.27686292,7.4838171,-0.2738415,7.4657655,-44.602119,52.944519
1136562500,-43.655434,154.41928,-0.27491748,7.0203772,-0.27553949,7.0071192,-44.633446,48.536423
1138046875,-43.031811,155.2287,-0.27353889,6.5498819,-0.27605712,6.5785351,-44.698357,51.066765
1139531250,-43.41465,150.39214,-0.27508596,6.0939851,-0.27197307,6.1079555,-44.566227,53.559128
1141015625,-43.520535,151.65399,-0.27577052,5.6411867,-0.27260378,5.6093683,-44.175278,56.279449
1142500000,-42.840431,151.39378,-0.27887371,5.1702142,-0.27374634,5.1716871,-44.246395,56.49102
1143984375,-43.294014,147.51363,-0.2763654,4.715436,-0.27177522,4.7037487,-44.133705,56.68026
1145468750,-42.451847,147.80873,-0.27484646,4.2636228,-0.27619836,4.2580361,-43.713192,50.087986
1146953125,-42.913197,144.36758,-0.27473721,3.7971144,-0.27574226,3.7850842,-43.84779,48.29718
1148437500,-42.821796,141.99574,-0.27436572,3.3418682,-0.27351484,3.3416152,-44.498394,50.43924
1149921875,-42.867714,144.42151,-0.27649328,2.8905859,-0.27822819,2.868645,-43.836613,50.885273
1151406250,-42.622456,144.15875,-0.28025809,2.4225368,-0.2797353,2.4284444,-43.772343,58.423901
1152890625,-42.761383,139.66791,-0.27933136,1.9597332,-0.27637756,1.9552521,-43.92709,50.620056
1154375000,-42.516968,136.80598,-0.27692431,1.5007277,-0.27411574,1.5056604,-43.326359,53.1269
1155859375,-42.520737,142.71902,-0.27867365,1.0494883,-0.27503303,1.0182899,-42.937,53.113075
1157343750,-42.821808,139.55559,-0.27633068,0.58766699,-0.28347269,0.58075464,-42.595005,54.699142
1158828125,-42.506195,139.35063,-0.27748606,0.13657498,-0.27706215,0.090517379,-43.38092,55.72266
1160312500,-42.681301,132.66838,-0.27793005,-0.36269146,-0.2776531,-0.33675915,-43.788666,53.997482
1161796875,-43.017632,133.80666,-0.27722538,-0.80776215,-0.27695423,-0.80028522,-43.848625,54.133053
1163281250,-42.661598,130.47307,-0.28026104,-1.2467275,-0.27831903,-1.257145,-42.695488,52.88427
1164765625,-41.946671,130.59726,-0.27623671,-1.6936302,-0.28076816,-1.7480366,-42.371708,54.662022
1166250000,-42.309361,128.55666,-0.2765553,-2.1777439,-0.2798591,-2.1908979,-42.403511,53.733639
1167734375,-42.878929,122.60366,-0.27884603,-2.6489673,-0.28019658,-2.642906,-42.529068,56.580242
1169218750,-42.545963,125.97154,-0.27939323,-3.0895576,-0.27472246,-3.0998025,-41.454208,57.035778
1170703125,-42.289661,124.96063,-0.2792795,-3.5875568,-0.28111109,-3.583679,-42.630249,51.785294
1172187500,-42.293514,121.26132,-0.28086922,-4.0160027,-0.27642193,-4.0238242,-42.179092,52.136017
1173671875,-41.999416,120.18642,-0.27758875,-4.457839,-0.27958524,-4.5020289,-42.578217,53.791332
1175156250,-42.143978,118.9938,-0.28177965,-4.9385104,-0.27737984,-4.9368191,-41.750481,51.033672
1176640625,-42.005756,120.24352,-0.28046027,-5.3858089,-0.2775155,-5.3973598,-41.179188,47.383598
1178125000,-41.570759,116.00114,-0.28077301,-5.8563609,-0.28200218,-5.85783,-42.120316,48.658386
1179609375,-41.685204,116.46535,-0.28200674,-6.3109641,-0.27742055,-6.3346806,-41.226959,53.490314
