!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Saturday, July 25, 2015 12:06:32
!Source: Standard

BEGIN CH3_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-35.477364,151.09525,-0.18736973,-88.552582,-0.18655288,-88.553314,-33.872005,-138.92961
1001484375,-35.15279,153.38307,-0.18967026,-89.227806,-0.19109242,-89.191658,-33.698891,-140.61906
1002968750,-35.275124,151.59608,-0.18766315,-89.891808,-0.18823305,-89.922348,-33.621754,-142.53938
1004453125,-35.11235,149.88716,-0.18992157,-90.569855,-0.18889005,-90.54081,-33.544655,-143.32352
1005937500,-34.868713,150.73235,-0.18946268,-91.24305,-0.1886843,-91.185867,-33.645031,-144.56905
1007421875,-34.834545,149.44806,-0.18879272,-91.901131,-0.18824713,-91.868622,-33.584629,-145.7103
1008906250,-34.877514,148.00172,-0.19168657,-92.534897,-0.18440042,-92.559364,-33.228352,-146.59967
1010390625,-34.587151,148.02898,-0.18878558,-93.209465,-0.19039361,-93.208389,-33.322384,-147.22766
1011875000,-34.851559,147.18472,-0.1920006,-93.86998,-0.19082533,-93.861565,-32.996002,-148.46027
1013359375,-34.345062,148.36482,-0.19164586,-94.557594,-0.19154295,-94.527214,-33.026005,-148.85593
1014843750,-34.277279,147.93851,-0.19097143,-95.191605,-0.18837465,-95.182274,-33.012409,-150.37291
1016328125,-34.186852,145.14758,-0.19434653,-95.883751,-0.18983857,-95.889259,-32.887138,-150.01256
1017812500,-33.868103,145.21371,-0.19505052,-96.530281,-0.18701379,-96.546249,-33.095802,-151.68765
1019296875,-33.944736,145.45616,-0.19481474,-97.206802,-0.19068177,-97.17524,-32.741684,-152.9875
1020781250,-33.857578,144.22089,-0.18997368,-97.847237,-0.19066501,-97.859673,-32.75975,-154.06805
1022265625,-34.041771,143.48883,-0.19382307,-98.524963,-0.19124669,-98.529892,-32.484684,-154.6993
