!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, April 02, 2014 18:08:50
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
1000000000,-40.053322,0.28296554,-0.11468288,68.973755,-0.11296523,68.98864,-38.185276,-56.966438
1001484375,-40.249325,-0.79368931,-0.11374528,68.526947,-0.11081882,68.569244,-37.861366,-60.802578
1002968750,-40.098053,1.3793162,-0.11874953,68.109947,-0.10861683,68.131332,-38.405964,-60.635647
1004453125,-40.185692,-2.9094653,-0.11797081,67.676025,-0.11483863,67.676743,-38.194153,-62.187294
1005937500,-40.307446,0.096247695,-0.11622765,67.270584,-0.11441232,67.234352,-38.465843,-62.830193
1007421875,-41.215794,0.45874283,-0.11461493,66.788597,-0.11338998,66.853363,-38.554909,-62.19965
1008906250,-40.267155,2.518306,-0.1162852,66.387398,-0.11364196,66.391792,-38.671856,-64.590591
1010390625,-40.665104,-1.093874,-0.11759567,65.962242,-0.11336936,65.983231,-39.013683,-61.644699
1011875000,-40.146793,0.044602424,-0.11912655,65.53933,-0.11413192,65.52771,-39.385834,-63.502708
1013359375,-41.073147,-2.8147876,-0.11834303,65.079918,-0.11368056,65.111061,-39.091091,-63.585018
1014843750,-41.038383,-1.4762348,-0.11919083,64.63221,-0.11561631,64.701324,-39.19363,-62.564499
1016328125,-41.029263,-0.41450831,-0.11729208,64.221786,-0.11183157,64.241219,-39.10397,-66.745735
1017812500,-40.936916,-1.2505424,-0.11628967,63.790852,-0.11345579,63.797562,-39.664619,-61.93858
1019296875,-41.442715,-2.8689988,-0.11881433,63.367046,-0.11107764,63.36639,-39.868187,-63.585682
1020781250,-42.036804,-3.6688652,-0.1191144,62.92197,-0.11304983,62.944038,-39.800011,-63.838699
1022265625,-41.513321,-0.69922912,-0.11706948,62.515705,-0.11488657,62.513401,-39.699051,-65.013
1023750000,-42.136185,-6.3854904,-0.11955706,62.069584,-0.11704454,62.092354,-40.412228,-67.851036
1025234375,-41.86132,-2.7029862,-0.11882171,61.64431,-0.11756503,61.682198,-40.106384,-64.760223
1026718750,-42.556263,-2.1585701,-0.11597256,61.206123,-0.1135014,61.222694,-39.912643,-65.664551
1028203125,-43.049549,-4.5816612,-0.12140752,60.771732,-0.11326119,60.794525,-39.834732,-68.225708
1029687500,-42.364902,-2.9925647,-0.12223832,60.336102,-0.10965768,60.325317,-40.914005,-72.932274
1031171875,-42.74509,-6.6361818,-0.11948532,59.933075,-0.11520222,59.922699,-40.475483,-70.681244
1032656250,-43.278591,-3.251971,-0.11668002,59.470943,-0.11155991,59.506268,-41.067314,-69.182045
1034140625,-43.430004,-2.9488385,-0.12029126,59.051521,-0.11367557,59.065517,-41.085369,-67.828659
1035625000,-43.364128,-4.4198332,-0.12072322,58.620289,-0.10839636,58.626972,-40.658752,-71.187668
1037109375,-43.517086,-7.4867892,-0.11423094,58.207767,-0.11640967,58.203033,-41.729015,-73.88958
1038593750,-43.277763,-8.3084764,-0.12087379,57.742695,-0.11011689,57.79327,-40.905334,-69.127449
1040078125,-44.105206,-6.3172083,-0.12124393,57.320957,-0.11315844,57.32856,-41.506531,-72.527496
1041562500,-43.899792,-4.8209071,-0.11899256,56.881859,-0.11524269,56.899952,-41.581181,-72.491173
1043046875,-44.548077,-7.2188253,-0.11942167,56.444633,-0.11229414,56.479149,-41.486012,-72.440308
1044531250,-44.796371,-6.9618216,-0.11982705,56.026253,-0.11828951,56.053116,-42.200417,-73.21328
1046015625,-44.915718,0.77226853,-0.11945583,55.59182,-0.11618811,55.619305,-42.043503,-74.592766
1047500000,-44.960426,-1.7741197,-0.11501868,55.174873,-0.11361917,55.202171,-42.85215,-71.071075
1048984375,-45.599857,-3.753499,-0.11752375,54.721741,-0.11339509,54.726883,-42.425144,-82.380646
1050468750,-44.495583,2.7201297,-0.11848074,54.312786,-0.11087134,54.334785,-42.440975,-73.10202
1051953125,-45.480637,3.3905714,-0.12130155,53.872181,-0.11427516,53.894005,-42.82312,-76.477516
1053437500,-45.888458,3.6753654,-0.11824305,53.428448,-0.11721387,53.47364,-42.739014,-79.238235
1054921875,-46.509632,2.8024385,-0.12019818,53.013218,-0.11651645,53.038357,-42.466198,-79.596237
1056406250,-46.919487,6.720355,-0.12150475,52.566715,-0.11235578,52.643051,-43.083775,-84.903183
1057890625,-45.838333,5.9160681,-0.11962595,52.152485,-0.1183183,52.174095,-42.999485,-87.01812
1059375000,-46.026062,3.9548759,-0.1208089,51.706959,-0.11684053,51.736328,-43.741776,-85.879562
1060859375,-46.867172,8.7893486,-0.11752191,51.306015,-0.11631219,51.275005,-43.881985,-80.492561
1062343750,-45.967934,6.359808,-0.12263323,50.862438,-0.11686695,50.905685,-43.112213,-94.799324
1063828125,-46.42382,2.3790479,-0.11996283,50.43441,-0.11524607,50.464275,-44.093273,-86.974289
1065312500,-47.000107,12.709917,-0.11894665,50.006905,-0.11787216,50.000908,-44.630077,-92.56443
1066796875,-47.101677,23.254948,-0.12364954,49.54607,-0.1147566,49.607571,-43.861401,-96.54261
1068281250,-47.48558,13.801603,-0.1238464,49.130463,-0.11380408,49.149506,-43.494663,-99.588776
1069765625,-46.137104,11.334391,-0.11982791,48.698242,-0.11382301,48.702991,-45.200737,-91.207985
1071250000,-46.771099,24.461733,-0.12067082,48.270702,-0.11405183,48.303215,-43.528683,-95.502022
1072734375,-47.796703,21.394152,-0.12013262,47.82938,-0.11908983,47.866539,-44.626431,-94.083244
1074218750,-46.58831,16.818945,-0.12284517,47.398113,-0.11568776,47.430172,-44.896919,-96.88987
1075703125,-47.054832,26.858196,-0.1216568,46.989937,-0.11487655,47.018246,-45.024162,-103.75707
1077187500,-47.357124,20.234278,-0.12171849,46.53376,-0.11663245,46.578457,-44.415691,-110.48727
1078671875,-48.015594,26.267115,-0.11997931,46.114815,-0.11617529,46.156414,-46.89566,-103.68814
1080156250,-47.747921,28.016022,-0.11917414,45.688526,-0.1195286,45.667641,-45.153278,-105.98133
1081640625,-48.711037,21.393724,-0.12488177,45.253109,-0.12026256,45.273365,-47.459164,-109.99135
1083125000,-48.663654,30.615343,-0.12044668,44.81551,-0.11749485,44.851234,-44.814087,-116.84369
1084609375,-47.41272,32.06031,-0.12264269,44.362949,-0.11446725,44.425163,-44.915752,-99.559242
1086093750,-49.469143,29.95503,-0.12070999,43.980659,-0.12049464,43.94521,-47.042988,-112.00394
1087578125,-47.856354,34.20673,-0.12308876,43.52182,-0.11602271,43.536728,-45.925713,-114.58919
1089062500,-48.027897,45.013783,-0.12211821,43.08321,-0.11657333,43.12505,-45.8092,-128.96342
1090546875,-47.266621,36.680779,-0.12273866,42.672188,-0.11914201,42.638683,-46.015324,-122.33948
1092031250,-49.928661,35.931198,-0.12211238,42.211178,-0.11856975,42.249695,-47.661499,-117.87411
1093515625,-47.729836,43.212738,-0.12007298,41.819637,-0.11751211,41.812469,-46.830078,-117.76926
1095000000,-48.026394,43.422394,-0.12523302,41.344337,-0.1172391,41.352337,-46.979336,-124.0224
1096484375,-48.791954,50.808632,-0.12479641,40.962326,-0.11577298,40.930878,-48.163517,-137.21776
1097968750,-47.791794,49.148479,-0.12101295,40.495892,-0.11416147,40.495422,-48.175632,-128.35165
1099453125,-47.609673,56.31657,-0.12302148,40.068279,-0.11800533,40.099892,-47.87178,-144.59714
1100937500,-47.748344,49.44067,-0.124516,39.632832,-0.11997373,39.669109,-47.707191,-143.92679
1102421875,-47.566746,55.990414,-0.12285666,39.221283,-0.12345704,39.214977,-48.636806,-140.0407
1103906250,-48.119156,64.224144,-0.12290441,38.769585,-0.11822023,38.761368,-48.687523,-135.33226
1105390625,-48.462402,68.894012,-0.12008608,38.368309,-0.12119167,38.363255,-48.766651,-160.60458
1106875000,-48.388317,58.071896,-0.1243628,37.918274,-0.12135518,37.922356,-47.620838,-155.48964
1108359375,-49.245842,68.900726,-0.12237176,37.482151,-0.11928617,37.535881,-48.359364,-150.69298
1109843750,-48.430302,70.140686,-0.12232612,37.042423,-0.12149724,37.044811,-48.098209,-158.0439
1111328125,-48.28931,68.60144,-0.12188537,36.617874,-0.11917794,36.645702,-49.609634,-157.29514
1112812500,-47.61821,73.728203,-0.1271887,36.195511,-0.12259468,36.203369,-48.021824,-164.6684
1114296875,-47.700134,74.458992,-0.12402626,35.746944,-0.11810772,35.795116,-48.476364,-167.88899
1115781250,-48.782726,78.028275,-0.12705299,35.309494,-0.11788508,35.340218,-48.380608,-156.89943
1117265625,-47.457504,79.573967,-0.1212042,34.912231,-0.12190642,34.905708,-49.753944,174.9234
1118750000,-48.066929,76.413605,-0.12255768,34.452305,-0.11817674,34.460037,-48.588139,-175.60449
1120234375,-48.243702,83.458168,-0.12351584,34.038837,-0.12253521,34.061188,-48.4044,-177.04378
1121718750,-48.13945,90.559006,-0.1241416,33.607716,-0.12200145,33.601326,-48.068516,175.94467
1123203125,-46.980175,88.16246,-0.12413462,33.184715,-0.11904626,33.185925,-47.660988,-174.81079
1124687500,-47.449852,91.569496,-0.12574448,32.734997,-0.1230555,32.744205,-47.048729,167.47653
1126171875,-46.263725,86.713554,-0.12474865,32.307827,-0.12047344,32.312897,-48.093498,161.16245
1127656250,-47.089325,88.52858,-0.12847377,31.881424,-0.11779249,31.883099,-47.447865,159.81903
