!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, April 02, 2014 18:21:47
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
4000000000,-32.782146,42.04377,-0.38669297,-19.202448,-0.39217722,-19.059107,-33.794525,95.409348
4000312500,-32.744308,45.565887,-0.37548834,-19.19673,-0.3710542,-19.161539,-34.13121,90.281609
4000625000,-32.760292,44.634907,-0.38090885,-19.380779,-0.38023585,-19.320704,-34.152412,92.04554
4000937500,-32.730457,43.344486,-0.3786881,-19.555996,-0.38279828,-19.501051,-34.07793,92.911446
4001250000,-32.740509,42.477737,-0.38213968,-19.707834,-0.3891328,-19.629034,-34.075226,94.178505
4001562500,-32.771782,41.862823,-0.38182479,-19.878052,-0.38981509,-19.796198,-34.078548,94.16571
4001875000,-32.753803,41.750633,-0.38228431,-20.040365,-0.38850242,-19.898329,-34.153988,93.755882
4002187500,-32.760094,41.903454,-0.38335839,-20.191324,-0.38971192,-20.063322,-34.228394,93.489304
4002500000,-32.847099,41.76292,-0.38507465,-20.307529,-0.39346993,-20.189596,-34.31353,92.511017
4002812500,-32.900623,42.410355,-0.38310125,-20.454727,-0.39084467,-20.336199,-34.371799,91.946625
4003125000,-32.838913,42.371964,-0.38309845,-20.586128,-0.38845581,-20.465673,-34.425854,91.687477
4003437500,-32.880051,42.187927,-0.38266397,-20.72751,-0.38800284,-20.640173,-34.520721,91.701912
4003750000,-32.881432,41.988922,-0.38402846,-20.858902,-0.38652694,-20.774399,-34.595135,92.102249
4004062500,-32.891144,41.924618,-0.38534582,-21.003954,-0.3848635,-20.920843,-34.589199,92.080627
4004375000,-32.87434,41.80122,-0.38171604,-21.139025,-0.38920596,-21.061941,-34.63002,91.600571
4004687500,-32.956459,41.255474,-0.38057339,-21.300697,-0.39030254,-21.208036,-34.658466,91.706779
4005000000,-32.932793,40.611504,-0.37949881,-21.429258,-0.39310548,-21.345787,-34.670002,91.357498
4005312500,-32.874985,40.0984,-0.37908238,-21.577469,-0.38913727,-21.480022,-34.747841,90.133492
4005625000,-33.010536,39.385822,-0.38097247,-21.729439,-0.39421552,-21.625795,-34.697609,90.099289
4005937500,-33.024155,39.284309,-0.38022077,-21.852158,-0.39138329,-21.737246,-34.723614,89.364708
4006250000,-33.072601,39.664986,-0.38263071,-22.01709,-0.38929203,-21.872194,-34.603043,89.403725
4006562500,-33.082851,40.09782,-0.38213465,-22.158907,-0.38515687,-22.039791,-34.568794,89.33606
4006875000,-33.179466,40.980198,-0.38189301,-22.283714,-0.38377506,-22.158424,-34.587322,90.057114
4007187500,-33.230816,40.946537,-0.38155818,-22.424833,-0.38686395,-22.307901,-34.564968,90.124924
4007500000,-33.275726,40.914005,-0.38436905,-22.570137,-0.38655201,-22.479172,-34.650883,89.666946
4007812500,-33.30788,41.437447,-0.38173214,-22.702976,-0.38715836,-22.601246,-34.789299,89.099983
4008125000,-33.339264,41.551426,-0.38399354,-22.84305,-0.38846013,-22.76244,-34.830429,88.40667
4008437500,-33.354168,41.278423,-0.3812753,-23.011703,-0.38970235,-22.897171,-34.971645,87.663567
4008750000,-33.345039,41.438152,-0.38416529,-23.134777,-0.3919006,-23.047832,-35.019779,87.096466
4009062500,-33.368763,41.223053,-0.38290706,-23.27729,-0.39153123,-23.188255,-35.136456,86.947044
4009375000,-33.331665,41.186604,-0.38258764,-23.4394,-0.38981339,-23.336973,-35.077393,87.429764
4009687500,-33.397484,40.822372,-0.38128099,-23.590136,-0.38589078,-23.484627,-35.048363,87.907181
4010000000,-33.420525,40.647968,-0.38204253,-23.716112,-0.38917804,-23.615349,-34.920074,88.490776
4010312500,-33.409054,40.303818,-0.38148403,-23.884136,-0.39073929,-23.746546,-34.965153,88.895134
4010625000,-33.476105,40.397839,-0.38477513,-24.016764,-0.39054513,-23.887754,-34.952991,88.030708
4010937500,-33.475746,40.447411,-0.38300219,-24.14345,-0.39108136,-24.026739,-35.049438,87.155502
4011250000,-33.505203,40.295078,-0.38293383,-24.289101,-0.38807294,-24.180569,-35.201511,86.363441
4011562500,-33.536507,40.124088,-0.38270557,-24.434252,-0.38882315,-24.297537,-35.217098,85.356926
4011875000,-33.531017,40.312965,-0.38187405,-24.552599,-0.38973594,-24.446272,-35.338287,84.748146
4012187500,-33.516434,40.218567,-0.38110876,-24.691002,-0.38992321,-24.5926,-35.227791,84.407227
4012500000,-33.456867,40.184967,-0.38199016,-24.842043,-0.38773975,-24.756342,-35.120583,84.842407
