!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, May 21, 2014 11:51:44
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-38.677433,-31.304745,-0.06627436,-116.36546,-0.063086376,-116.38453,-38.278568,-42.826057
1001484375,-38.518116,-29.3055,-0.063827641,-116.56928,-0.064588524,-116.53691,-38.794064,-41.164398
1002968750,-38.787151,-31.5397,-0.068359673,-116.70703,-0.061881352,-116.70967,-38.308701,-42.373882
1004453125,-38.458412,-30.105186,-0.062669888,-116.87776,-0.06421762,-116.86977,-38.875515,-42.435844
1005937500,-38.595535,-29.350002,-0.066374287,-117.05795,-0.059943408,-117.08249,-38.524231,-44.910721
1007421875,-38.735817,-29.512486,-0.060275469,-117.19846,-0.063465863,-117.23708,-38.959148,-44.673805
1008906250,-39.054649,-32.125679,-0.062639333,-117.39434,-0.063102499,-117.40087,-39.274429,-44.40028
1010390625,-38.782227,-32.912739,-0.063457914,-117.57211,-0.061084073,-117.58242,-39.192513,-40.647961
1011875000,-39.077614,-30.702217,-0.061012961,-117.7422,-0.063271716,-117.76283,-39.385899,-43.646
1013359375,-39.155819,-31.720547,-0.064286396,-117.92533,-0.061789457,-117.93861,-38.874378,-44.754429
1014843750,-39.102917,-35.238983,-0.061983265,-118.07548,-0.067211524,-118.09911,-39.888397,-41.739449
1016328125,-39.242687,-31.91884,-0.064423032,-118.26711,-0.061778169,-118.27785,-39.531754,-44.859592
1017812500,-39.307697,-33.365765,-0.062545568,-118.46167,-0.060810521,-118.44624,-39.575371,-42.333263
1019296875,-39.358978,-38.913052,-0.065047815,-118.6199,-0.066893801,-118.62907,-39.938148,-43.332672
1020781250,-39.697887,-33.49353,-0.065049589,-118.77727,-0.063254334,-118.81213,-39.957142,-42.041153
1022265625,-39.669434,-36.069839,-0.062496934,-118.96302,-0.064034976,-118.96519,-39.695534,-40.551086
1023750000,-39.338036,-36.600952,-0.063873664,-119.10876,-0.059390627,-119.13673,-40.038208,-44.42691
1025234375,-39.553783,-35.501755,-0.063547805,-119.2846,-0.062522233,-119.32597,-40.032417,-41.830906
1026718750,-40.010498,-36.259483,-0.06250754,-119.45596,-0.064781837,-119.47886,-40.148697,-43.5089
1028203125,-39.777882,-35.611359,-0.062187344,-119.647,-0.064240389,-119.60902,-40.488903,-41.640392
1029687500,-39.450981,-36.838375,-0.067596249,-119.82734,-0.066474199,-119.82671,-40.393047,-43.501541
1031171875,-39.922695,-36.846195,-0.063109055,-119.98847,-0.064083718,-119.98595,-40.568054,-43.308929
1032656250,-40.132141,-37.622742,-0.06617897,-120.18222,-0.066264339,-120.15035,-40.2547,-44.45623
1034140625,-39.963795,-38.820736,-0.065133795,-120.32928,-0.063856408,-120.34615,-40.397526,-43.676903
