!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, May 21, 2014 11:12:50
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-32.930637,36.611252,-0.14829804,28.127544,-0.15628716,28.045296,-32.474495,-160.37106
4000312500,-32.601486,34.234264,-0.18101121,26.326412,-0.13447073,27.978195,-32.21405,-162.61969
4000625000,-32.611637,34.92334,-0.16734655,26.802727,-0.14263502,27.934553,-32.287075,-162.76122
4000937500,-32.627911,35.557632,-0.15765396,27.301266,-0.14725149,27.890238,-32.35342,-163.14217
4001250000,-32.750084,35.464092,-0.1545275,27.702087,-0.14887699,27.815638,-32.479675,-162.50253
4001562500,-32.7579,35.848858,-0.15053433,27.88187,-0.15209879,27.771683,-32.498032,-163.17938
4001875000,-32.841866,35.491516,-0.15056188,27.881401,-0.15012632,27.726711,-32.525406,-162.95784
4002187500,-32.910156,35.771542,-0.15074496,27.812141,-0.14685993,27.656334,-32.569279,-162.93759
4002500000,-32.969185,35.628857,-0.15481335,27.685068,-0.14898965,27.603888,-32.577343,-162.85442
4002812500,-32.984238,35.747723,-0.15155569,27.566034,-0.14745821,27.552395,-32.610249,-162.55363
4003125000,-32.984558,35.749302,-0.14947729,27.520365,-0.15060291,27.49172,-32.568939,-162.37552
4003437500,-32.896164,35.466621,-0.15126134,27.467033,-0.15401043,27.426495,-32.500546,-162.45233
4003750000,-32.882072,35.629288,-0.14965825,27.431707,-0.15055314,27.366713,-32.416904,-162.07588
4004062500,-32.8955,34.803307,-0.14985317,27.351978,-0.15035823,27.318119,-32.351898,-162.17392
4004375000,-32.928371,34.627998,-0.15280697,27.309864,-0.15016216,27.268196,-32.34977,-162.48956
4004687500,-32.90744,34.778431,-0.15043075,27.243769,-0.15236291,27.19873,-32.462933,-162.4946
4005000000,-33.03278,34.389133,-0.15110762,27.192719,-0.1512863,27.178024,-32.583443,-163.09409
4005312500,-33.068497,34.603195,-0.15325849,27.124464,-0.15142378,27.139486,-32.691776,-163.23116
4005625000,-33.073757,34.701221,-0.14895697,27.056217,-0.15136103,27.08894,-32.777287,-163.89212
4005937500,-33.093311,34.878666,-0.15015896,27.008862,-0.1508279,27.031942,-32.716888,-164.05354
4006250000,-32.923531,34.712978,-0.15064476,26.949612,-0.14893125,26.969925,-32.690212,-163.98187
4006562500,-32.879478,34.175613,-0.15168197,26.892336,-0.14881501,26.902802,-32.637363,-163.91559
4006875000,-32.820759,34.792519,-0.1521291,26.853691,-0.14918546,26.850426,-32.618607,-163.52933
4007187500,-32.823986,34.567268,-0.1528115,26.803507,-0.14807259,26.780191,-32.491489,-163.5768
4007500000,-32.877094,34.174774,-0.15170655,26.751013,-0.14875928,26.733736,-32.541019,-163.54211
4007812500,-32.971539,34.365143,-0.15447535,26.689508,-0.14820313,26.671112,-32.494663,-163.71799
4008125000,-33.100384,34.076912,-0.1534452,26.635698,-0.14963238,26.617754,-32.410664,-163.99037
4008437500,-33.233028,34.463394,-0.1563292,26.583933,-0.1515867,26.583281,-32.443974,-164.17305
4008750000,-33.209393,35.034039,-0.15579551,26.53241,-0.15006059,26.513811,-32.49839,-164.25142
4009062500,-33.238152,35.402397,-0.1564123,26.477081,-0.15189791,26.456642,-32.55331,-163.90588
4009375000,-33.147919,35.558517,-0.1517892,26.434416,-0.1515054,26.431313,-32.645145,-163.52028
4009687500,-33.198593,35.595791,-0.15053086,26.378973,-0.15254068,26.375128,-32.692604,-163.19627
4010000000,-33.058632,35.825104,-0.15207584,26.325104,-0.15098886,26.313311,-32.694294,-162.52533
4010312500,-32.936874,35.520466,-0.15324831,26.259083,-0.15107355,26.252829,-32.74564,-162.59439
4010625000,-32.919975,35.862263,-0.15263002,26.209095,-0.15077883,26.20207,-32.728966,-162.6075
4010937500,-32.893299,35.216099,-0.15460466,26.169937,-0.14903449,26.137249,-32.712986,-163.03789
4011250000,-32.8792,34.725868,-0.15146579,26.10741,-0.14770801,26.06986,-32.727802,-163.55559
4011562500,-32.911407,34.097641,-0.15062918,26.089289,-0.15090983,26.014696,-32.723892,-164.25928
4011875000,-32.979107,33.933628,-0.15296552,26.02562,-0.14839962,25.957785,-32.732845,-164.41124
4012187500,-32.95866,33.944618,-0.15559311,25.967552,-0.14955766,25.906357,-32.695133,-164.42581
4012500000,-33.025269,34.136726,-0.1527029,25.920893,-0.15098982,25.848732,-32.617458,-163.96156
4012812500,-33.036354,33.921341,-0.15211843,25.844133,-0.14767125,25.799574,-32.611759,-164.20367
4013125000,-33.12215,33.95018,-0.15054429,25.797951,-0.14952292,25.742512,-32.476612,-163.43115
4013437500,-33.131607,33.738258,-0.15322466,25.749063,-0.15093163,25.686747,-32.494205,-163.95979
4013750000,-33.122566,34.043758,-0.15190165,25.675028,-0.14960109,25.650013,-32.554169,-163.88347
4014062500,-33.14064,33.904121,-0.15068229,25.613018,-0.15044843,25.594166,-32.59288,-164.05811
4014375000,-33.185261,34.114376,-0.15139936,25.566833,-0.14651541,25.536076,-32.658798,-164.17618
4014687500,-33.208866,34.308155,-0.15240875,25.514151,-0.15020107,25.495388,-32.657433,-164.6956
