!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, May 21, 2014 12:01:14
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-21.91589,16.509253,-0.18474314,99.183907,-0.18933758,99.089561,-21.724562,0.74503815
4000312500,-21.966688,17.355507,-0.21408558,97.39566,-0.1674993,99.043526,-21.819618,-1.2105281
4000625000,-21.98299,16.88826,-0.20218563,97.878426,-0.17798507,98.98851,-21.8069,-0.89916581
4000937500,-21.992462,16.818832,-0.19354051,98.385376,-0.18010877,98.94207,-21.760559,-0.717197
4001250000,-21.989647,16.580313,-0.1861826,98.796631,-0.182841,98.893951,-21.75367,-0.28672507
4001562500,-21.99021,16.518871,-0.18501322,98.950378,-0.18622749,98.85717,-21.762123,-0.14570914
4001875000,-21.95846,16.514725,-0.18573512,98.993195,-0.18479539,98.796593,-21.757452,-0.12742801
4002187500,-21.941624,16.33004,-0.18601614,98.92025,-0.18414116,98.746643,-21.750269,0.031323668
4002500000,-21.930799,16.259521,-0.18817098,98.786942,-0.18610655,98.694801,-21.771397,-0.1304483
4002812500,-21.913876,16.157543,-0.18617335,98.692215,-0.18496183,98.647423,-21.753609,-0.013454199
4003125000,-21.918024,16.17919,-0.18556537,98.648506,-0.18482287,98.599205,-21.745121,0.021260751
4003437500,-21.935505,16.200388,-0.18425307,98.599632,-0.18486552,98.548996,-21.725739,-0.023317128
4003750000,-21.954876,16.262417,-0.18701506,98.558945,-0.18455954,98.494644,-21.709223,0.04171373
4004062500,-21.960636,16.327229,-0.18400584,98.495171,-0.18471929,98.451248,-21.716299,0.017049201
4004375000,-21.95566,16.38899,-0.1856645,98.450783,-0.1865295,98.389793,-21.700008,0.044204958
4004687500,-21.950184,16.242899,-0.18392658,98.391129,-0.18504436,98.349815,-21.752096,-0.1005612
4005000000,-21.953253,16.167864,-0.18428268,98.332214,-0.18747067,98.297539,-21.800419,-0.17556432
4005312500,-21.936901,15.936976,-0.18675461,98.284096,-0.18555546,98.26899,-21.818321,-0.30961329
4005625000,-21.9345,15.743788,-0.1849663,98.226288,-0.1848437,98.234245,-21.819338,-0.47864237
4005937500,-21.948618,15.730626,-0.18662636,98.174026,-0.18560979,98.19622,-21.82354,-0.45435998
4006250000,-21.967787,15.680387,-0.18618357,98.132957,-0.18404415,98.133194,-21.83506,-0.60471553
4006562500,-21.990582,15.714208,-0.18755017,98.084229,-0.18186167,98.065895,-21.808756,-0.69406801
4006875000,-22.010439,15.75531,-0.18746641,98.037987,-0.18158898,98.003197,-21.793844,-0.7321803
4007187500,-22.018587,15.780088,-0.18661916,98.006012,-0.18407235,97.935684,-21.775379,-0.7943418
4007500000,-21.997164,15.78696,-0.18465593,97.93,-0.18242562,97.916634,-21.757547,-0.78591388
4007812500,-21.99127,15.520128,-0.18797979,97.894844,-0.18355186,97.861313,-21.750681,-0.88821816
4008125000,-21.973362,15.404699,-0.19123279,97.856079,-0.18247791,97.819542,-21.754841,-1.0233635
4008437500,-21.978745,15.124702,-0.18864612,97.804955,-0.18301234,97.770073,-21.75148,-1.1235021
4008750000,-21.976011,15.022894,-0.19117591,97.752609,-0.18474758,97.725739,-21.762413,-1.2038552
4009062500,-21.981264,14.929204,-0.1909509,97.701462,-0.18236387,97.668694,-21.768764,-1.0519422
4009375000,-21.991007,14.934498,-0.18961003,97.668419,-0.18374209,97.659294,-21.793989,-0.98275626
4009687500,-22.026194,14.75348,-0.18866239,97.618721,-0.18498978,97.59919,-21.805199,-0.66152531
4010000000,-22.026375,14.829116,-0.18208671,97.56591,-0.18736675,97.551003,-21.81179,-0.71640724
4010312500,-22.042032,14.815462,-0.18725941,97.522942,-0.18363345,97.504364,-21.839495,-0.70169741
4010625000,-22.072178,14.897001,-0.18579064,97.474197,-0.18514024,97.441254,-21.821825,-0.83981252
4010937500,-22.054295,14.863655,-0.18768139,97.436142,-0.18198358,97.388054,-21.818445,-0.92159146
4011250000,-22.072968,14.888155,-0.1872347,97.39077,-0.18318707,97.327919,-21.84462,-1.1276183
4011562500,-22.063728,14.87036,-0.18643802,97.353172,-0.18322825,97.271164,-21.836014,-1.4143845
4011875000,-22.061325,15.00799,-0.18591541,97.312828,-0.18242261,97.223732,-21.828615,-1.3898821
4012187500,-22.061628,14.920755,-0.18683068,97.243431,-0.18342359,97.172516,-21.833368,-1.4376776
4012500000,-22.04332,14.877884,-0.18686488,97.221535,-0.18421388,97.116402,-21.806835,-1.3775728
4012812500,-22.042503,14.818765,-0.18698446,97.141953,-0.18233097,97.065559,-21.806768,-1.4129883
4013125000,-22.030018,14.648218,-0.18638016,97.084801,-0.18229601,97.018898,-21.795618,-1.3600467
4013437500,-22.028332,14.54039,-0.18785104,97.036072,-0.18426777,96.989716,-21.79487,-1.4988998
4013750000,-22.032225,14.492049,-0.18729536,96.980522,-0.18295108,96.938614,-21.807014,-1.4442184
4014062500,-22.040073,14.358081,-0.18749134,96.935852,-0.18267496,96.886841,-21.83569,-1.4013914
4014375000,-22.027727,14.330676,-0.18642466,96.887535,-0.18403332,96.856689,-21.833416,-1.3947059
4014687500,-22.033953,14.133354,-0.18840009,96.826759,-0.1810977,96.818924,-21.852289,-1.4989204
4015000000,-22.05522,14.152994,-0.1862465,96.775848,-0.18561573,96.750793,-21.837334,-1.4543787
4015312500,-22.069189,14.181665,-0.18584278,96.73111,-0.1834776,96.709244,-21.851149,-1.7379375
4015625000,-22.069717,14.115669,-0.18170683,96.695686,-0.18367481,96.646782,-21.853113,-1.7232301
4015937500,-22.105925,14.239862,-0.18249834,96.641754,-0.18514501,96.598679,-21.864056,-1.7937295
4016250000,-22.111105,14.229249,-0.18004771,96.594727,-0.18621604,96.552254,-21.850588,-1.8504404
