!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Saturday, January 18, 2014 13:53:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
4000000000,-32.12682,-142.32204,-0.81573713,-141.08823,-0.81653106,-141.02872,-35.666187,48.321926
4000312500,-32.100079,-137.76631,-0.80905378,-141.09897,-0.80172598,-141.17551,-35.459427,43.774643
4000625000,-32.098072,-139.32336,-0.81252187,-141.27771,-0.80467355,-141.31706,-35.474361,43.259907
4000937500,-32.124474,-140.64182,-0.80897492,-141.49576,-0.80900574,-141.48741,-35.493317,43.916988
4001250000,-32.096882,-141.63707,-0.81479591,-141.67159,-0.81365949,-141.65656,-35.431435,43.599354
4001562500,-32.105461,-142.44009,-0.81296873,-141.84189,-0.81366593,-141.80888,-35.475609,44.586388
4001875000,-32.097404,-142.40306,-0.81273478,-142.00648,-0.81615651,-141.94104,-35.53125,45.152767
4002187500,-32.211124,-142.44168,-0.81436831,-142.14215,-0.81612813,-142.1033,-35.709496,45.540154
4002500000,-32.243469,-142.05043,-0.81123507,-142.3002,-0.81525397,-142.25485,-35.71867,45.380798
4002812500,-32.217731,-141.69644,-0.81444705,-142.43227,-0.81187111,-142.39848,-35.801762,45.082523
4003125000,-32.370296,-141.36861,-0.81406301,-142.59921,-0.81625026,-142.54337,-35.840565,44.391457
4003437500,-32.396511,-141.1927,-0.8155573,-142.73906,-0.81584966,-142.69942,-35.920395,43.732903
4003750000,-32.420876,-140.82935,-0.8183946,-142.8876,-0.81220758,-142.86307,-35.903217,43.323513
4004062500,-32.471844,-140.42763,-0.81684649,-143.0464,-0.81626248,-143.02087,-35.938507,42.401974
4004375000,-32.485985,-140.24631,-0.81675911,-143.20374,-0.81120408,-143.16472,-35.946175,41.898903
4004687500,-32.540764,-139.67336,-0.81451285,-143.35403,-0.80946332,-143.32719,-35.982788,42.028557
4005000000,-32.511639,-139.41641,-0.81346232,-143.51154,-0.8115086,-143.46281,-35.94455,41.663685
4005312500,-32.506084,-139.40724,-0.81374013,-143.65485,-0.81343287,-143.62413,-35.880829,40.891441
4005625000,-32.493244,-138.61165,-0.80998707,-143.80464,-0.81284463,-143.77585,-35.936085,40.558121
4005937500,-32.515846,-138.92639,-0.81327856,-143.94652,-0.81211716,-143.92233,-36.031837,39.792843
4006250000,-32.443356,-139.4481,-0.81125098,-144.1097,-0.80980796,-144.07393,-35.962662,39.668877
4006562500,-32.495167,-140.15082,-0.81102657,-144.24927,-0.81114292,-144.21448,-36.014534,38.24678
4006875000,-32.501854,-140.57706,-0.81314886,-144.40634,-0.81243664,-144.36523,-36.005554,37.459995
4007187500,-32.555042,-141.09987,-0.81086856,-144.57297,-0.81068516,-144.51639,-36.03833,36.932621
4007500000,-32.549294,-140.95935,-0.81263572,-144.72165,-0.81419796,-144.68831,-36.042168,36.286121
4007812500,-32.504875,-140.33743,-0.81566715,-144.8544,-0.81544179,-144.82727,-36.090813,36.054401
4008125000,-32.462269,-140.10173,-0.81471443,-145.00075,-0.81428701,-144.9893,-36.211056,36.122787
4008437500,-32.388428,-139.61421,-0.81459659,-145.16071,-0.81453598,-145.14471,-36.289703,36.448544
4008750000,-32.332062,-139.40733,-0.81593144,-145.29749,-0.8127327,-145.27893,-36.423954,36.031399
4009062500,-32.322929,-139.15715,-0.81495029,-145.47539,-0.81590474,-145.45232,-36.362534,35.708282
4009375000,-32.330696,-138.88417,-0.81657529,-145.60551,-0.81486535,-145.58961,-36.282005,33.738022
4009687500,-32.320786,-138.83995,-0.81370109,-145.76567,-0.81253892,-145.75642,-36.165283,32.828091
4010000000,-32.344963,-138.96892,-0.81442505,-145.90619,-0.81362659,-145.87355,-36.169147,30.763077
4010312500,-32.29258,-139.00676,-0.81299406,-146.06561,-0.81215996,-146.04073,-36.138329,29.501118
4010625000,-32.354652,-138.93103,-0.81569219,-146.22118,-0.81476557,-146.19223,-36.151524,29.796457
4010937500,-32.370625,-138.47778,-0.81420803,-146.36919,-0.81498224,-146.32996,-36.160267,29.586166
4011250000,-32.384838,-138.61711,-0.8149597,-146.53827,-0.81623018,-146.48512,-36.154232,29.661432
4011562500,-32.352551,-138.4399,-0.81539619,-146.69176,-0.81780982,-146.68233,-36.161751,29.945667
4011875000,-32.449074,-138.43982,-0.81377125,-146.84695,-0.81283486,-146.80118,-36.16724,29.517599
4012187500,-32.457851,-138.18925,-0.81572229,-146.98552,-0.81735647,-146.96373,-36.284054,28.951122
4012500000,-32.499607,-137.89308,-0.8151443,-147.15619,-0.8148787,-147.11093,-36.356163,27.592937
4012812500,-32.489048,-137.60393,-0.81657666,-147.31981,-0.81331122,-147.25497,-36.361778,26.569151
4013125000,-32.490257,-137.45528,-0.81682056,-147.46965,-0.81465572,-147.39157,-36.399761,26.02487
4013437500,-32.516739,-138.00835,-0.81573635,-147.61002,-0.81539011,-147.56573,-36.485359,25.327351
4013750000,-32.495419,-138.00545,-0.81623596,-147.75438,-0.81497061,-147.70767,-36.525276,24.810066
4014062500,-32.539349,-138.07358,-0.8158406,-147.88931,-0.8137731,-147.86472,-36.587524,25.080427
4014375000,-32.558441,-137.92944,-0.81623191,-148.02751,-0.81268716,-148.02899,-36.522095,25.111589
4014687500,-32.622925,-137.93536,-0.8144834,-148.17712,-0.81519711,-148.1834,-36.568035,25.585955
4015000000,-32.564827,-137.98837,-0.81768966,-148.33981,-0.81282961,-148.3195,-36.561859,24.792263
4015312500,-32.550747,-137.73766,-0.81367773,-148.48814,-0.81477016,-148.45152,-36.534309,23.613001
4015625000,-32.468273,-137.75281,-0.81631941,-148.63739,-0.81312001,-148.63643,-36.50996,23.024599
4015937500,-32.484226,-137.95715,-0.81693029,-148.80251,-0.81452709,-148.78056,-36.494747,22.036287
4016250000,-32.461567,-138.1017,-0.81513888,-148.94014,-0.81639159,-148.94162,-36.414799,21.137484
4016562500,-32.416698,-137.67441,-0.81610394,-149.11099,-0.81537169,-149.08318,-36.362961,20.653744
4016875000,-32.43483,-137.31406,-0.81723255,-149.25427,-0.81270403,-149.24471,-36.284935,20.251345
4017187500,-32.399483,-136.89409,-0.81350964,-149.41867,-0.81384224,-149.39174,-36.192364,19.147308
4017500000,-32.473087,-136.33781,-0.81720382,-149.56471,-0.81633312,-149.56129,-36.277527,19.269217
4017812500,-32.491505,-136.6537,-0.81720155,-149.71875,-0.81147635,-149.69415,-36.322727,17.856562
4018125000,-32.486752,-136.19325,-0.81744301,-149.85648,-0.81447035,-149.85339,-36.42738,17.408974
4018437500,-32.564449,-136.42618,-0.81741011,-150.00577,-0.81438613,-150.00516,-36.576805,16.324821
4018750000,-32.53651,-136.21086,-0.81710899,-150.16454,-0.81463581,-150.13237,-36.684284,15.715313
4019062500,-32.536217,-136.48071,-0.81795317,-150.33408,-0.81135809,-150.29573,-36.830299,14.804925
4019375000,-32.613506,-136.5062,-0.8179332,-150.47182,-0.81528753,-150.444,-36.679737,13.729893
4019687500,-32.671158,-136.6158,-0.81585997,-150.64655,-0.81542963,-150.60185,-36.602657,14.234177
4020000000,-32.674374,-136.36453,-0.81367725,-150.78236,-0.81368983,-150.73158,-36.502216,14.126117
4020312500,-32.709194,-136.10574,-0.81403983,-150.93454,-0.81664598,-150.91101,-36.249844,14.519165
4020625000,-32.737457,-135.94135,-0.81413227,-151.07317,-0.8154698,-151.05992,-36.228321,14.962193
4020937500,-32.74052,-135.91791,-0.81465226,-151.23639,-0.81711584,-151.19981,-36.33205,14.241806
4021250000,-32.691597,-136.06598,-0.81409913,-151.38284,-0.81489289,-151.35846,-36.335625,13.568192
4021562500,-32.682144,-135.94586,-0.81491965,-151.52945,-0.81445801,-151.50331,-36.590527,12.861
4021875000,-32.568985,-136.19531,-0.81408733,-151.68227,-0.81381667,-151.64058,-36.574127,10.878403
4022187500,-32.587532,-135.98157,-0.81550968,-151.84891,-0.81452608,-151.80289,-36.665775,11.070696
4022500000,-32.600082,-135.71118,-0.81637031,-151.99942,-0.81511736,-151.95918,-36.616879,9.8474283
4022812500,-32.655132,-135.47539,-0.81240684,-152.1387,-0.81889218,-152.12283,-36.559055,9.3684845
4023125000,-32.69202,-135.23143,-0.80953866,-152.29735,-0.81882453,-152.28804,-36.489609,9.4149122
4023437500,-32.695896,-134.44527,-0.81191504,-152.43486,-0.81753403,-152.42311,-36.532669,9.0932989
4023750000,-32.738617,-134.62149,-0.81331211,-152.592,-0.81771582,-152.58337,-36.612633,8.7291698
4024062500,-32.707523,-134.33824,-0.81233197,-152.75113,-0.81571782,-152.72614,-36.729057,8.7487154
4024375000,-32.660698,-134.31752,-0.81497288,-152.89967,-0.81987637,-152.88892,-36.801674,8.8240252
4024687500,-32.683346,-134.20947,-0.81704181,-153.04362,-0.81479514,-153.03905,-36.777382,9.3680534
4025000000,-32.656155,-134.51788,-0.81493968,-153.20734,-0.8135888,-153.19362,-36.79369,9.1232605
4025312500,-32.606987,-134.33905,-0.81527209,-153.3656,-0.81388581,-153.32195,-36.717163,8.5119295
4025625000,-32.619835,-134.27417,-0.82061309,-153.50198,-0.81295717,-153.47353,-36.835415,7.3725753
4025937500,-32.702484,-134.34866,-0.81799299,-153.63535,-0.81548297,-153.62442,-36.949787,6.3029361
4026250000,-32.694614,-133.88876,-0.82065684,-153.77664,-0.81651413,-153.78252,-36.997704,5.2372532
