!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Saturday, January 18, 2014 14:12:12
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
1000000000,-38.198597,-69.486137,-0.42226183,-142.74246,-0.4241024,-142.75827,-38.946136,-59.422119
1001476562.5,-38.911301,-69.762184,-0.42420232,-143.50017,-0.41908222,-143.48299,-38.062023,-59.513889
1002953125,-38.675873,-71.78495,-0.42371297,-144.23863,-0.42008844,-144.26155,-39.189098,-60.454182
1004429687.5,-39.083218,-71.940895,-0.42232245,-144.99461,-0.41842774,-144.97789,-39.120384,-57.097462
1005906250,-39.049152,-72.106316,-0.4221949,-145.70699,-0.41954234,-145.72957,-39.48941,-55.073002
1007382812.5,-39.268486,-72.49334,-0.42391303,-146.47275,-0.42119434,-146.45212,-40.711796,-62.017796
1008859375,-39.329731,-76.454178,-0.4234294,-147.22661,-0.4189682,-147.19595,-40.165501,-60.357349
1010335937.5,-40.154499,-75.847588,-0.42070615,-147.95177,-0.42494324,-147.94411,-40.492085,-61.938725
1011812500,-40.490101,-73.531273,-0.42329946,-148.68796,-0.42153221,-148.6796,-40.697071,-67.622292
1013289062.5,-40.565388,-75.535545,-0.42466706,-149.43576,-0.42237297,-149.43697,-41.119415,-69.079552
1014765625,-40.719906,-76.303474,-0.42476863,-150.1674,-0.42346758,-150.18402,-41.556107,-63.372963
1016242187.5,-41.444202,-78.426048,-0.42175794,-150.90602,-0.4221912,-150.89397,-41.866905,-63.680882
1017718750,-41.245583,-79.227623,-0.42364296,-151.63602,-0.42647409,-151.62834,-42.061275,-70.582947
1019195312.5,-41.411961,-80.896919,-0.42347783,-152.38876,-0.42225453,-152.3817,-42.400681,-66.410622
1020671875,-42.389599,-81.078621,-0.42294097,-153.13698,-0.42059326,-153.15572,-43.02607,-67.638405
1022148437.5,-42.789463,-84.093239,-0.42811307,-153.86938,-0.42644745,-153.85994,-43.329098,-68.348511
1023625000,-43.306232,-86.928032,-0.42587399,-154.60472,-0.42684197,-154.62303,-43.724522,-65.514534
1025101562.5,-43.642101,-88.869156,-0.42283642,-155.34128,-0.42535907,-155.34021,-44.323952,-70.618874
1026578125,-44.211906,-83.957214,-0.42542255,-156.08846,-0.42867067,-156.10231,-44.288803,-64.263252
1028054687.5,-44.913429,-89.138885,-0.42580205,-156.82758,-0.42534193,-156.81654,-46.509109,-62.143139
