!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, January 28, 2014 15:54:40
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-25.931896,-67.395691,-0.67343009,-162.37219,-0.67135912,-162.46657,-26.30493,-84.511566
4000312500,-25.949375,-66.564011,-0.7046991,-164.24312,-0.65667224,-162.5746,-26.323187,-85.987289
4000625000,-25.950705,-66.712654,-0.69507784,-163.84412,-0.66054088,-162.69603,-26.326139,-85.824661
4000937500,-25.976212,-66.745934,-0.68214458,-163.41118,-0.66739255,-162.8268,-26.272678,-85.496681
4001250000,-25.93215,-67.142273,-0.67471087,-163.09454,-0.66863984,-162.95502,-26.247364,-85.381432
4001562500,-25.930069,-67.247452,-0.67222452,-162.97144,-0.67280978,-163.07628,-26.233883,-85.355347
4001875000,-25.909906,-67.521103,-0.67352659,-163.03127,-0.672647,-163.20786,-26.230717,-85.268875
4002187500,-25.88269,-67.6791,-0.66851091,-163.19102,-0.67412096,-163.33514,-26.193346,-85.163307
4002500000,-25.866081,-67.859383,-0.67142427,-163.3923,-0.67349297,-163.46815,-26.187979,-85.257629
4002812500,-25.850975,-67.997345,-0.6735388,-163.57408,-0.6743589,-163.58261,-26.210136,-85.564522
4003125000,-25.816402,-68.144447,-0.67167151,-163.70689,-0.67459124,-163.71463,-26.177338,-85.7827
4003437500,-25.818737,-67.972305,-0.67226338,-163.81013,-0.67423248,-163.83554,-26.126657,-86.039391
4003750000,-25.790817,-67.903084,-0.67038578,-163.94083,-0.67176366,-163.95447,-26.12248,-86.359749
4004062500,-25.752644,-67.837082,-0.67360985,-164.0683,-0.67467314,-164.08693,-26.107653,-86.478424
4004375000,-25.721394,-67.937294,-0.67099261,-164.18198,-0.67237711,-164.2059,-26.115982,-86.784996
4004687500,-25.721157,-68.069649,-0.67277968,-164.32349,-0.67235959,-164.32948,-26.08535,-86.638992
4005000000,-25.713242,-68.140869,-0.67221904,-164.45212,-0.6738553,-164.4478,-26.078314,-86.846672
4005312500,-25.72068,-68.39241,-0.6734336,-164.56525,-0.67199415,-164.56195,-26.072931,-86.750977
4005625000,-25.704874,-68.511093,-0.6774624,-164.7095,-0.67399126,-164.6963,-26.092812,-86.95713
4005937500,-25.716339,-68.779327,-0.67305797,-164.82597,-0.67282885,-164.80292,-26.065556,-87.008186
4006250000,-25.68067,-68.821587,-0.67705864,-164.95921,-0.67279154,-164.94809,-26.089905,-87.399399
4006562500,-25.696901,-69.071487,-0.67714691,-165.07423,-0.67453265,-165.07227,-26.098747,-87.351051
4006875000,-25.688818,-69.065422,-0.67376614,-165.21426,-0.67256498,-165.18272,-26.130081,-87.836975
