!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, January 28, 2014 16:15:33
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-23.564215,-82.60965,-0.68392837,-171.98395,-0.68509865,-172.02547,-24.127195,-86.196838
4000312500,-23.545221,-82.062645,-0.71557409,-173.8456,-0.66678578,-172.14156,-24.154228,-87.562798
4000625000,-23.57386,-82.244614,-0.70503187,-173.42804,-0.67574823,-172.28041,-24.130768,-87.411781
4000937500,-23.58672,-82.436844,-0.69473886,-173.01257,-0.68119985,-172.4129,-24.114445,-87.160629
4001250000,-23.579359,-82.347763,-0.68789434,-172.6982,-0.68165761,-172.51164,-24.105564,-87.007538
4001562500,-23.559168,-82.606804,-0.68563938,-172.58759,-0.68644321,-172.64177,-24.083363,-86.846825
4001875000,-23.541569,-82.859543,-0.68394822,-172.64113,-0.68638593,-172.80191,-24.062948,-86.905197
4002187500,-23.533489,-82.926399,-0.68441349,-172.79547,-0.68633407,-172.90675,-24.064156,-86.952141
4002500000,-23.526215,-83.082916,-0.68420994,-173.01443,-0.68596375,-173.03871,-24.04357,-87.093231
4002812500,-23.495922,-83.197037,-0.68293726,-173.17165,-0.68783718,-173.18489,-24.038853,-87.437653
4003125000,-23.495344,-83.147995,-0.6827758,-173.31284,-0.6875447,-173.32381,-24.041975,-87.469498
4003437500,-23.487684,-83.158951,-0.68383908,-173.43036,-0.68894786,-173.41287,-24.01107,-87.754951
4003750000,-23.469051,-83.100266,-0.68255764,-173.54726,-0.68817598,-173.52588,-23.998615,-87.948105
4004062500,-23.464344,-83.26033,-0.68568951,-173.6747,-0.68466437,-173.66751,-23.978212,-88.217583
4004375000,-23.431347,-83.302498,-0.68640721,-173.80185,-0.68862683,-173.78226,-23.989685,-88.480476
4004687500,-23.413208,-83.417107,-0.68902797,-173.92711,-0.68710202,-173.91338,-23.963017,-88.57325
4005000000,-23.430939,-83.53772,-0.68453074,-174.062,-0.68549681,-174.03523,-23.94426,-88.679375
4005312500,-23.414309,-83.617851,-0.68802255,-174.20213,-0.68494034,-174.14256,-23.987947,-88.667732
4005625000,-23.415339,-83.812263,-0.68581146,-174.31827,-0.68713611,-174.28246,-23.960257,-88.73716
4005937500,-23.422705,-83.982948,-0.6869272,-174.43912,-0.6860894,-174.40591,-23.987862,-88.852592
4006250000,-23.440302,-83.962181,-0.68985814,-174.57286,-0.68695736,-174.53825,-24.014568,-89.242226
4006562500,-23.418653,-84.04995,-0.68687516,-174.69348,-0.68712783,-174.64922,-24.002693,-89.315208
4006875000,-23.417543,-84.202576,-0.68814498,-174.81082,-0.68714017,-174.78307,-24.032715,-89.475716
4007187500,-23.41456,-84.234009,-0.68765175,-174.94965,-0.68691748,-174.91745,-24.036238,-89.710304
4007500000,-23.431227,-84.311066,-0.68673962,-175.06429,-0.68695849,-175.02565,-24.030825,-89.833542
4007812500,-23.436443,-84.30407,-0.68921411,-175.18034,-0.68737471,-175.15329,-23.966269,-89.93924
4008125000,-23.445417,-84.209549,-0.68691498,-175.31924,-0.68800813,-175.27551,-23.944942,-90.157341
