!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, January 28, 2014 15:39:27
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-31.645378,14.708294,-0.36517859,-75.902008,-0.36290947,-75.916542,-31.52364,-5.1507282
1001484375,-31.549133,15.162542,-0.36427441,-76.560234,-0.36303267,-76.542778,-31.503313,-5.5449533
1002968750,-31.543186,14.167682,-0.36518112,-77.186119,-0.3639161,-77.194077,-31.487068,-7.9845486
1004453125,-31.588743,12.555569,-0.36282343,-77.825188,-0.36525598,-77.822441,-31.472616,-8.0706186
1005937500,-31.577782,12.924843,-0.36144847,-78.488152,-0.36375949,-78.487366,-31.563227,-7.5054817
1007421875,-31.603891,12.536743,-0.36600491,-79.135574,-0.36135042,-79.105583,-31.448357,-8.05126
1008906250,-31.45418,11.468033,-0.37030792,-79.772064,-0.36281705,-79.762505,-31.38512,-10.252428
1010390625,-31.644104,11.347709,-0.36888412,-80.39859,-0.36825186,-80.431129,-31.278286,-11.19818
1011875000,-31.703119,11.066568,-0.3679024,-81.072975,-0.36570075,-81.062248,-31.211926,-11.477776
1013359375,-31.644356,11.978436,-0.36293021,-81.709885,-0.36442807,-81.684837,-31.215263,-13.486516
1014843750,-31.651215,9.7603922,-0.36613056,-82.334953,-0.36716923,-82.363373,-31.385202,-14.834643
1016328125,-31.594053,10.473065,-0.36833197,-82.988342,-0.36663261,-83.012398,-31.441273,-16.143106
1017812500,-31.579208,9.3083744,-0.36895186,-83.648079,-0.3687048,-83.643295,-31.238546,-16.943062
1019296875,-31.479521,8.7871666,-0.36727849,-84.259003,-0.36824772,-84.28318,-31.467146,-16.720465
1020781250,-31.602705,9.2075443,-0.36660963,-84.920395,-0.3672998,-84.901077,-31.212973,-19.063934
1022265625,-31.725437,9.5898485,-0.36834851,-85.582359,-0.36776936,-85.594345,-31.340496,-18.37438
1023750000,-31.534521,8.1382065,-0.3672834,-86.223129,-0.36692527,-86.240868,-31.30813,-19.87718
1025234375,-31.636045,7.6010809,-0.36909184,-86.879784,-0.36754623,-86.881668,-31.228043,-21.194172
