!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, February 11, 2014 11:23:25
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-37.263824,128.51326,-0.50726557,-166.97365,-0.51488495,-167.02771,-39.109867,91.338615
4000312500,-37.136982,127.64168,-0.54225224,-168.80478,-0.49745783,-167.12054,-39.545864,86.425209
4000625000,-37.10107,129.03931,-0.5296793,-168.37935,-0.50145048,-167.2059,-39.465458,87.720772
4000937500,-37.323071,129.78662,-0.52064264,-167.91093,-0.50681984,-167.31615,-39.286289,89.57119
4001250000,-37.196159,130.42464,-0.51672405,-167.56459,-0.50918025,-167.41196,-39.267902,89.196579
4001562500,-37.250286,130.39986,-0.51543355,-167.4258,-0.51019931,-167.51544,-39.169659,90.357224
4001875000,-37.282917,129.64522,-0.51422334,-167.4648,-0.50852793,-167.62323,-39.161491,90.021568
4002187500,-37.284073,129.56688,-0.51469111,-167.59822,-0.51162606,-167.68597,-39.14632,88.780464
4002500000,-37.250771,127.99146,-0.51404864,-167.7619,-0.50991231,-167.7948,-39.199657,88.358772
4002812500,-37.325119,127.65815,-0.51338184,-167.90436,-0.51188368,-167.86935,-39.223038,88.478569
4003125000,-37.207447,126.71144,-0.51588446,-168.02524,-0.5091632,-167.97485,-39.465401,87.549438
4003437500,-37.258057,127.19231,-0.51343602,-168.11702,-0.511742,-168.07504,-39.507908,88.086205
4003750000,-37.219593,127.24368,-0.516671,-168.20166,-0.5124734,-168.17783,-39.739494,87.251778
4004062500,-37.24604,127.19718,-0.51209962,-168.29002,-0.51212615,-168.28142,-39.658627,87.78627
4004375000,-37.236538,127.95178,-0.51146853,-168.40062,-0.51337242,-168.3907,-39.729469,88.086281
4004687500,-37.238132,127.95682,-0.51120454,-168.50438,-0.5139153,-168.48375,-39.435772,88.037498
4005000000,-37.317078,128.38858,-0.51463836,-168.59587,-0.51476401,-168.59479,-39.163227,88.490585
4005312500,-37.322861,128.73029,-0.51315981,-168.6915,-0.51619458,-168.68088,-39.172028,89.026245
4005625000,-37.314083,129.21819,-0.5123561,-168.79427,-0.51362693,-168.77281,-39.056496,89.437172
4005937500,-37.284645,129.16058,-0.51260877,-168.88361,-0.51486009,-168.88,-38.931137,90.079971
4006250000,-37.366196,129.28484,-0.51412326,-168.96855,-0.51386821,-168.9807,-39.089752,89.232864
4006562500,-37.274544,128.91074,-0.51548767,-169.05458,-0.51517481,-169.07799,-39.128517,88.567627
4006875000,-37.354855,129.21428,-0.51141423,-169.16978,-0.51296991,-169.17595,-39.216446,88.166809
4007187500,-37.276527,128.87933,-0.51407129,-169.26129,-0.51287687,-169.27568,-39.297291,87.73793
4007500000,-37.282021,128.9086,-0.51358962,-169.36517,-0.51306844,-169.36493,-39.413067,85.904289
4007812500,-37.171055,128.57346,-0.51094186,-169.47583,-0.51480758,-169.45667,-39.395161,85.658669
4008125000,-37.082005,128.01175,-0.51360971,-169.56857,-0.50899559,-169.55757,-39.309925,85.335594
4008437500,-37.101517,127.93369,-0.51278961,-169.66266,-0.51102608,-169.66226,-39.413406,83.563538
4008750000,-36.98251,128.03912,-0.51415807,-169.76883,-0.51335269,-169.75102,-39.372616,84.16568
4009062500,-37.02499,127.97973,-0.51364475,-169.86566,-0.51126975,-169.83565,-39.447994,82.91951
4009375000,-37.158592,127.50254,-0.51430798,-169.96071,-0.51027471,-169.94672,-39.425289,83.474426
4009687500,-37.264118,127.54772,-0.51262814,-170.06145,-0.51127559,-170.03168,-39.522381,84.54248
