!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, May 21, 2014 10:42:59
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-44.373493,-126.14272,-0.6028505,-32.031326,-0.61343747,-32.08271,-44.999031,-149.8575
4000312500,-42.890511,-125.94362,-0.63470501,-33.889938,-0.59096402,-32.206139,-44.080315,-152.74283
4000625000,-42.928101,-125.25632,-0.62316543,-33.475189,-0.59871167,-32.310513,-44.85397,-150.21144
4000937500,-43.067444,-125.43359,-0.6152035,-33.040821,-0.60476029,-32.444023,-45.175758,-148.25883
4001250000,-43.117363,-123.43548,-0.60828727,-32.692352,-0.6049422,-32.542805,-45.813133,-143.83403
4001562500,-43.364025,-125.51023,-0.60613006,-32.580025,-0.60681534,-32.673855,-45.715042,-144.18365
4001875000,-43.484329,-125.55943,-0.60592252,-32.615646,-0.60807788,-32.794445,-45.851494,-141.60889
4002187500,-43.74139,-126.47258,-0.60376972,-32.767693,-0.60505962,-32.89027,-45.53513,-142.70001
4002500000,-43.730518,-127.1937,-0.60570365,-32.951252,-0.60557193,-33.011047,-45.264305,-143.92448
4002812500,-43.751385,-127.66209,-0.60921818,-33.119366,-0.60580093,-33.135605,-45.121643,-146.65074
4003125000,-43.857986,-127.19041,-0.60748696,-33.238518,-0.60821772,-33.244381,-45.118744,-148.41277
4003437500,-43.423447,-127.7669,-0.60913485,-33.349781,-0.6061343,-33.368671,-45.001118,-150.63878
4003750000,-43.167076,-126.82117,-0.60604715,-33.460892,-0.60621083,-33.499043,-44.77002,-153.21356
4004062500,-43.160755,-126.46883,-0.60620016,-33.581783,-0.60801417,-33.599594,-44.770481,-154.74712
4004375000,-42.874607,-129.40831,-0.6048606,-33.709789,-0.60807252,-33.739998,-44.634117,-155.52451
4004687500,-42.806374,-128.26819,-0.60791439,-33.817375,-0.60526663,-33.833584,-44.453728,-151.62413
4005000000,-42.84267,-128.12781,-0.60412377,-33.941849,-0.60705692,-33.937622,-44.199814,-150.26624
4005312500,-42.741234,-127.41035,-0.60486591,-34.070675,-0.60688531,-34.040108,-43.997089,-146.16557
4005625000,-43.111671,-127.8148,-0.60475141,-34.175461,-0.60919493,-34.148422,-43.967323,-143.98073
4005937500,-42.921619,-125.16228,-0.60569644,-34.300655,-0.60743481,-34.265785,-44.237183,-144.5313
4006250000,-42.819561,-125.10232,-0.60534698,-34.428391,-0.60477465,-34.374008,-44.111965,-145.50946
4006562500,-42.569553,-123.67981,-0.6060313,-34.531574,-0.60636157,-34.509926,-44.100418,-147.03752
4006875000,-42.420212,-124.28036,-0.60463077,-34.631809,-0.6045441,-34.610756,-44.195301,-148.45551
4007187500,-42.258976,-125.29138,-0.60582078,-34.748817,-0.60548931,-34.736309,-44.144642,-149.5945
4007500000,-42.397648,-125.02992,-0.60727954,-34.856754,-0.60549039,-34.873238,-44.3727,-150.90509
4007812500,-42.309223,-125.01495,-0.60935366,-34.988728,-0.6077525,-34.981285,-44.420704,-150.28441
4008125000,-42.489227,-124.95589,-0.60847306,-35.072819,-0.60603309,-35.068943,-44.488987,-153.27039
4008437500,-42.47332,-125.11553,-0.61080474,-35.202763,-0.6066764,-35.190388,-44.286839,-151.3049
4008750000,-42.35984,-124.51575,-0.61000454,-35.340446,-0.60698205,-35.30476,-44.258846,-151.23767
4009062500,-42.507366,-123.9437,-0.61080557,-35.436352,-0.60695302,-35.436287,-43.718815,-150.70091
4009375000,-42.549782,-124.43985,-0.60944355,-35.54195,-0.60492384,-35.523159,-43.383678,-151.7572
4009687500,-42.336906,-122.85418,-0.60847461,-35.664989,-0.60680681,-35.644249,-43.099545,-152.75087
4010000000,-42.339382,-121.68933,-0.60639024,-35.768517,-0.60913539,-35.778118,-42.779346,-151.88437
4010312500,-42.059601,-121.57948,-0.60438699,-35.874809,-0.60548866,-35.887005,-42.57896,-152.22588
4010625000,-41.998966,-121.48564,-0.60527933,-36.001831,-0.60758716,-36.002525,-42.709164,-151.64212
4010937500,-41.863777,-122.42307,-0.60941809,-36.106384,-0.60731006,-36.118969,-42.875492,-151.26308
4011250000,-41.542957,-123.26402,-0.61035728,-36.2038,-0.60718131,-36.249485,-43.134964,-150.98091
4011562500,-41.445343,-123.17827,-0.60701627,-36.332802,-0.6032725,-36.35006,-43.008472,-151.26216
4011875000,-41.407574,-123.57471,-0.60675955,-36.454117,-0.60809183,-36.487255,-43.108971,-149.64485
4012187500,-41.346977,-124.35938,-0.60972571,-36.570084,-0.60631323,-36.597385,-42.977219,-151.41768
4012500000,-41.316578,-124.27714,-0.60582644,-36.689678,-0.60613573,-36.712673,-42.851479,-153.43178
4012812500,-41.470627,-123.84351,-0.60759127,-36.799004,-0.60785657,-36.840263,-42.853233,-155.0676
4013125000,-41.435268,-125.23123,-0.60978103,-36.924664,-0.60571843,-36.946533,-42.69923,-155.3555
4013437500,-41.485508,-124.81656,-0.60788381,-37.053677,-0.60626245,-37.041489,-42.571587,-155.70529
4013750000,-41.591511,-125.03513,-0.61133933,-37.14352,-0.60548139,-37.156086,-42.408356,-156.93324
4014062500,-41.402294,-123.38615,-0.60914081,-37.25692,-0.60239685,-37.275669,-42.635086,-156.75456
4014375000,-41.463299,-124.64574,-0.60991454,-37.398361,-0.60658211,-37.396645,-42.431656,-155.45221
4014687500,-41.367947,-124.0483,-0.60700554,-37.518654,-0.60864389,-37.495777,-42.337662,-154.29277
4015000000,-41.324413,-123.90641,-0.61132813,-37.624771,-0.60922158,-37.62286,-42.238785,-155.18489
4015312500,-41.037037,-122.54268,-0.60524404,-37.749023,-0.61057216,-37.743504,-42.13393,-154.23167
4015625000,-40.702984,-123.03741,-0.60522485,-37.860432,-0.60746413,-37.864105,-42.069386,-154.25272
4015937500,-40.646439,-124.02931,-0.60651726,-37.946198,-0.6077823,-37.96254,-42.058975,-155.73747
4016250000,-40.461758,-122.49303,-0.60633183,-38.06218,-0.61029458,-38.076469,-41.937103,-156.8085
4016562500,-40.504303,-121.89252,-0.60416704,-38.18259,-0.61041945,-38.220371,-41.838116,-156.32405
4016875000,-40.571468,-122.15455,-0.60257608,-38.303284,-0.61120921,-38.313599,-41.904148,-155.83856
4017187500,-40.621441,-121.17981,-0.60573745,-38.405632,-0.6104089,-38.425835,-42.0229,-155.89391
4017500000,-40.694992,-121.37318,-0.60529721,-38.548004,-0.60922277,-38.534779,-41.900089,-154.92741
4017812500,-40.729458,-121.52947,-0.6061554,-38.64328,-0.60507524,-38.649014,-42.193222,-155.33754
4018125000,-40.862743,-121.93588,-0.60656458,-38.747177,-0.60982615,-38.755993,-41.959946,-156.53461
4018437500,-40.784737,-120.29005,-0.60808444,-38.845348,-0.60996485,-38.881336,-42.135303,-156.07426
4018750000,-40.813316,-120.3677,-0.60801971,-38.969582,-0.61250401,-38.994129,-42.078217,-157.64305
4019062500,-40.859467,-121.09202,-0.60944778,-39.103165,-0.60984927,-39.083176,-41.99115,-157.13725
4019375000,-40.901588,-120.84413,-0.61126739,-39.211784,-0.61004645,-39.210377,-41.815125,-157.1234
4019687500,-40.574783,-120.67186,-0.61065334,-39.335529,-0.60771239,-39.331829,-41.977253,-157.68634
4020000000,-40.549129,-120.00366,-0.6132713,-39.432106,-0.61070257,-39.443905,-41.78759,-157.6787
4020312500,-40.346615,-119.43396,-0.61477876,-39.56525,-0.60855663,-39.554226,-41.637444,-157.09251
4020625000,-40.261368,-118.39555,-0.61035383,-39.667233,-0.60566324,-39.676994,-41.627216,-156.69418
4020937500,-40.272842,-119.12369,-0.61249071,-39.775414,-0.60676891,-39.782135,-41.537239,-156.78409
4021250000,-40.126835,-118.68899,-0.61155891,-39.911095,-0.60702449,-39.909206,-41.309742,-158.10564
4021562500,-40.014618,-120.25357,-0.61082071,-40.007126,-0.60821962,-40.039143,-41.174141,-157.11861
4021875000,-39.999718,-120.76517,-0.61198711,-40.113022,-0.60492754,-40.136936,-41.150272,-158.26062
4022187500,-39.845551,-120.50033,-0.61044127,-40.231152,-0.60616505,-40.242401,-41.195732,-159.05443
4022500000,-39.84573,-121.70769,-0.60914993,-40.339275,-0.60687071,-40.379189,-41.031914,-159.75769
4022812500,-39.947292,-120.88892,-0.61013031,-40.501774,-0.60840964,-40.487488,-41.03812,-160.59338
