!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, April 02, 2014 17:59:56
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
4000000000,-35.982273,-13.244238,-0.62772709,-31.947393,-0.63105339,-31.75951,-35.846584,129.83113
4000312500,-36.193069,-11.286432,-0.61518729,-31.936665,-0.61684847,-31.818502,-36.579693,128.27559
4000625000,-36.126213,-11.479482,-0.61840749,-32.068542,-0.6212697,-31.967213,-36.346207,128.76732
4000937500,-36.091831,-11.743988,-0.61958253,-32.21489,-0.6242674,-32.11924,-36.236023,129.50716
4001250000,-35.995453,-12.215854,-0.61830419,-32.379978,-0.6280309,-32.197754,-36.172096,130.33028
4001562500,-36.037346,-12.374357,-0.62263346,-32.509998,-0.62882501,-32.330269,-36.047119,129.83781
4001875000,-36.076336,-12.237988,-0.62431586,-32.620586,-0.6364761,-32.438614,-36.131134,129.78474
4002187500,-36.074078,-12.392074,-0.622675,-32.73859,-0.63072491,-32.541721,-36.261669,129.90408
4002500000,-36.184261,-12.794081,-0.62541455,-32.842728,-0.63300133,-32.643867,-36.430374,129.24585
4002812500,-36.173485,-12.642072,-0.62253428,-32.969311,-0.63441861,-32.762074,-36.559227,129.1646
4003125000,-36.20908,-12.576309,-0.62066996,-33.070446,-0.63124108,-32.8801,-36.582981,129.44653
4003437500,-36.238316,-12.206208,-0.62255281,-33.194031,-0.63388312,-32.998436,-36.589787,130.11795
4003750000,-36.215347,-12.081979,-0.62199098,-33.297581,-0.62790781,-33.137051,-36.557602,130.26381
4004062500,-36.211323,-12.008444,-0.62178189,-33.403374,-0.62826598,-33.290699,-36.434719,130.06514
4004375000,-36.169655,-11.866257,-0.62350839,-33.496109,-0.6287635,-33.369114,-36.42934,130.56354
4004687500,-36.216522,-12.961794,-0.62015396,-33.630196,-0.63179773,-33.480682,-36.587502,129.96651
4005000000,-36.131142,-12.973947,-0.61728346,-33.761982,-0.63265604,-33.589939,-36.59618,128.58578
4005312500,-36.166767,-14.273177,-0.61963814,-33.886703,-0.63476831,-33.697693,-36.803719,129.1032
4005625000,-36.143715,-15.25994,-0.61821002,-33.995567,-0.63150328,-33.796249,-36.793579,127.94888
4005937500,-36.141209,-14.616138,-0.61593056,-34.107521,-0.6355266,-33.927254,-36.809669,127.8599
4006250000,-36.309296,-14.423126,-0.61747438,-34.223774,-0.62787473,-34.0261,-36.781254,127.28585
4006562500,-36.421665,-14.20612,-0.62291348,-34.338512,-0.62731636,-34.149258,-36.732803,127.31115
4006875000,-36.546589,-14.092819,-0.62112564,-34.445011,-0.62856615,-34.279499,-36.649612,126.28149
4007187500,-36.621544,-13.375638,-0.62157261,-34.567848,-0.63081902,-34.412056,-36.623852,126.83532
4007500000,-36.740425,-13.462756,-0.6230765,-34.677681,-0.62808686,-34.497128,-36.587486,126.36589
4007812500,-36.692696,-13.062068,-0.6193434,-34.795914,-0.63218474,-34.615196,-36.765343,126.08798
4008125000,-36.846138,-12.877773,-0.6218887,-34.907692,-0.63135111,-34.758301,-36.89711,126.71011
4008437500,-36.796768,-12.661709,-0.62322539,-35.022205,-0.63330632,-34.874622,-37.112274,126.78284
4008750000,-36.886818,-12.41357,-0.62195003,-35.123978,-0.63230932,-34.982468,-37.224682,126.41044
4009062500,-36.855713,-12.431726,-0.62390018,-35.255672,-0.63458782,-35.093216,-37.151093,126.4563
4009375000,-36.850399,-12.857401,-0.62215668,-35.355125,-0.63309985,-35.205654,-37.094105,126.08607
4009687500,-36.868305,-13.218295,-0.6224733,-35.488708,-0.62918079,-35.30735,-36.899643,126.28508
4010000000,-36.847034,-13.130887,-0.62218702,-35.608582,-0.63165319,-35.448353,-36.71312,126.06828
4010312500,-36.874798,-13.509664,-0.6223399,-35.711693,-0.62859887,-35.540977,-36.688248,125.48472
4010625000,-36.919697,-13.348143,-0.62443125,-35.845825,-0.6314162,-35.656082,-36.812382,125.27967
4010937500,-37.039513,-13.432462,-0.62277085,-35.953865,-0.63320804,-35.770451,-36.999855,124.74756
4011250000,-37.020359,-13.434851,-0.62016934,-36.054821,-0.6319319,-35.894302,-37.126373,124.83783
4011562500,-36.944672,-13.682016,-0.62054068,-36.18248,-0.63075948,-36.002617,-37.279156,125.12788
4011875000,-37.026798,-13.904402,-0.62241602,-36.294781,-0.63164651,-36.074463,-37.305305,124.4345
4012187500,-36.984581,-13.027373,-0.62093347,-36.403442,-0.63009501,-36.214619,-37.277641,123.52097
4012500000,-36.903275,-13.280856,-0.62486982,-36.513901,-0.63199484,-36.34996,-37.316124,122.39726
4012812500,-36.905396,-12.415759,-0.62245941,-36.636719,-0.63421124,-36.440205,-37.229401,121.70519
4013125000,-36.876179,-12.157087,-0.62458986,-36.754662,-0.62958705,-36.548187,-37.199581,121.04241
4013437500,-36.867626,-11.855824,-0.62157142,-36.856945,-0.63008016,-36.6763,-37.288731,120.13522
4013750000,-36.789761,-12.46999,-0.62359411,-36.975067,-0.63323516,-36.795685,-37.545738,119.30339
4014062500,-36.76083,-12.225889,-0.6184907,-37.091896,-0.63179439,-36.907513,-37.57523,119.15701
4014375000,-36.801685,-12.544753,-0.61934716,-37.204697,-0.63236099,-37.035503,-37.845169,118.15607
4014687500,-36.77718,-13.094686,-0.61930257,-37.312134,-0.63402063,-37.139156,-37.978207,118.04726
4015000000,-36.797318,-13.276684,-0.62013048,-37.430481,-0.63340741,-37.279007,-37.893188,118.51189
4015312500,-36.827038,-13.105397,-0.61946261,-37.548477,-0.63366348,-37.368919,-37.849411,119.18126
4015625000,-36.863548,-13.534814,-0.61939085,-37.658772,-0.63040638,-37.497375,-37.633492,119.36973
4015937500,-36.994843,-13.363597,-0.62318313,-37.769985,-0.63102889,-37.615578,-37.551754,119.29485
4016250000,-36.921429,-13.502936,-0.62600851,-37.889252,-0.63099343,-37.693604,-37.494537,119.16503
4016562500,-36.943569,-12.928886,-0.62148905,-38.008247,-0.63196945,-37.824341,-37.329372,119.53532
4016875000,-36.870064,-12.760873,-0.62151182,-38.13689,-0.632411,-37.950569,-37.288399,119.37598
4017187500,-36.870533,-12.556252,-0.62559724,-38.2547,-0.63260186,-38.069775,-37.144623,119.41701
4017500000,-36.926182,-11.657708,-0.62396085,-38.370205,-0.6317727,-38.17667,-37.130356,119.12405
4017812500,-36.865303,-10.870749,-0.62455189,-38.482941,-0.63243711,-38.291,-37.114662,117.85316
4018125000,-37.000069,-11.624722,-0.6216225,-38.596558,-0.63197148,-38.413597,-37.247604,117.83075
4018437500,-37.133831,-10.822834,-0.62018603,-38.715759,-0.63242888,-38.52494,-37.403709,116.94279
4018750000,-37.322708,-10.829401,-0.62331575,-38.826565,-0.62937468,-38.648369,-37.557102,117.21391
4019062500,-37.399204,-10.725928,-0.62436575,-38.912434,-0.63314998,-38.758636,-37.5779,116.70684
4019375000,-37.412571,-11.079087,-0.62444627,-39.046535,-0.63322037,-38.872673,-37.590191,117.24312
4019687500,-37.475666,-10.114644,-0.62427998,-39.151749,-0.62743717,-38.994186,-37.604046,117.83128
4020000000,-37.472008,-10.801208,-0.62284988,-39.275288,-0.63109553,-39.111755,-37.531567,118.23778
4020312500,-37.339855,-11.081309,-0.62377495,-39.415333,-0.6338945,-39.204689,-37.61911,117.70309
4020625000,-37.370155,-10.715468,-0.62583619,-39.531525,-0.63600481,-39.335403,-37.774315,117.97342
4020937500,-37.381287,-10.787687,-0.62248921,-39.630943,-0.63217241,-39.44556,-37.827351,116.61025
4021250000,-37.36446,-10.362677,-0.62393212,-39.740555,-0.636338,-39.561909,-38.01046,115.8381
4021562500,-37.448902,-11.550116,-0.62223589,-39.847549,-0.63175076,-39.650562,-38.039715,115.10461
4021875000,-37.515308,-11.289946,-0.61974305,-39.958862,-0.63455647,-39.791069,-38.186146,114.00713
4022187500,-37.500599,-11.313416,-0.62275672,-40.074512,-0.63335109,-39.902695,-38.155331,113.75954
4022500000,-37.454018,-10.89194,-0.62038881,-40.19236,-0.63187569,-40.024597,-38.12339,113.16492
4022812500,-37.530865,-10.144144,-0.6200093,-40.303722,-0.63095766,-40.131893,-37.971062,113.27633
4023125000,-37.614697,-10.564208,-0.62223238,-40.406605,-0.63157821,-40.246452,-37.943439,113.49238
4023437500,-37.562141,-9.9865723,-0.62192798,-40.539333,-0.63149673,-40.362617,-37.84129,113.68801
4023750000,-37.562313,-10.13903,-0.61940074,-40.666588,-0.63193911,-40.48877,-37.84293,113.09313
4024062500,-37.495365,-10.612229,-0.62058979,-40.783062,-0.63171858,-40.580017,-37.893902,113.25779
4024375000,-37.46096,-10.746192,-0.62036842,-40.905445,-0.63301349,-40.684933,-37.82991,112.49346
4024687500,-37.43021,-10.566531,-0.62166101,-41.025822,-0.63529581,-40.79858,-37.786072,111.96718
4025000000,-37.415791,-11.129815,-0.62043995,-41.147282,-0.63230741,-40.916569,-37.999428,111.98668
4025312500,-37.478302,-11.462893,-0.62159222,-41.23814,-0.63241333,-41.046482,-38.067051,111.73385
4025625000,-37.570034,-11.009769,-0.62135088,-41.361847,-0.63227302,-41.158188,-38.189793,112.09792
4025937500,-37.809624,-11.425296,-0.62264425,-41.471397,-0.63220298,-41.25322,-38.347511,112.65182
4026250000,-38.019772,-11.076561,-0.61977416,-41.589581,-0.6325469,-41.401402,-38.277817,113.00214
4026562500,-38.199738,-10.779399,-0.62106264,-41.713764,-0.63506836,-41.484283,-38.423714,113.62184
4026875000,-38.127712,-8.9966412,-0.6220867,-41.815247,-0.63292682,-41.643639,-38.190529,112.81011
4027187500,-38.07164,-8.2050371,-0.62572879,-41.926834,-0.63097727,-41.740982,-38.186623,112.12328
4027500000,-38.079861,-8.0001526,-0.62626475,-42.044762,-0.63094234,-41.867851,-38.054077,110.44286
4027812500,-38.011944,-7.9341655,-0.62428921,-42.146103,-0.62906766,-41.953671,-38.016781,109.34498
4028125000,-37.905308,-8.0969658,-0.62565166,-42.251354,-0.63258457,-42.067429,-38.169521,109.18351
4028437500,-37.95652,-9.6620312,-0.62160444,-42.373516,-0.63257843,-42.206448,-38.251495,107.54722
4028750000,-38.072674,-10.306455,-0.62349206,-42.500565,-0.63185799,-42.315479,-38.2668,107.16473
4029062500,-38.250141,-11.681824,-0.62079704,-42.596161,-0.63142419,-42.428379,-38.440845,107.51015
4029375000,-38.350632,-10.558901,-0.62527454,-42.726021,-0.63006139,-42.551987,-38.411949,107.18455
4029687500,-38.308651,-10.824406,-0.62173319,-42.810661,-0.62891078,-42.656208,-38.474934,106.77411
4030000000,-38.198399,-9.3789711,-0.62322789,-42.962688,-0.63183737,-42.760155,-38.325935,107.09847
4030312500,-38.054302,-8.0932398,-0.62187612,-43.066235,-0.63395011,-42.880684,-38.28059,107.30779
4030625000,-37.927181,-7.3089309,-0.62426394,-43.179974,-0.63365573,-43.013,-38.229744,107.44181
4030937500,-37.820984,-6.7270231,-0.62485391,-43.284534,-0.63181722,-43.111973,-38.101353,109.14509
4031250000,-37.888859,-7.0120864,-0.62026387,-43.394665,-0.63037324,-43.22213,-38.197418,107.70759
4031562500,-37.933514,-6.8470736,-0.62088108,-43.527966,-0.63119531,-43.349335,-38.265392,108.00303
4031875000,-37.840179,-7.2806931,-0.62169456,-43.640957,-0.63273174,-43.470917,-38.456394,107.74181
4032187500,-38.015633,-8.0560732,-0.61811227,-43.750687,-0.63309741,-43.581959,-38.590786,107.65295
4032500000,-37.832275,-7.853899,-0.62074333,-43.87286,-0.63184285,-43.666954,-38.506744,107.53217
4032812500,-37.956425,-8.1989126,-0.62041044,-43.979065,-0.63171387,-43.794693,-38.747749,106.80578
4033125000,-37.947441,-7.9486389,-0.62276357,-44.10009,-0.63113493,-43.900288,-38.797798,107.66026
4033437500,-37.893665,-8.1140518,-0.61727417,-44.212006,-0.63201904,-44.023304,-38.90485,106.9055
4033750000,-37.897259,-7.7471218,-0.62499708,-44.337326,-0.63509822,-44.136784,-38.938499,106.29644
4034062500,-37.879238,-7.9633484,-0.62231839,-44.443169,-0.63109571,-44.253494,-38.911327,106.58196
4034375000,-37.987427,-7.5328465,-0.62688059,-44.571812,-0.63050556,-44.384598,-38.736824,105.69162
4034687500,-37.974087,-7.0190463,-0.62441808,-44.657879,-0.63151813,-44.503418,-38.74181,104.44913
4035000000,-38.083191,-6.4709144,-0.62570852,-44.783638,-0.63380796,-44.615349,-38.681328,103.72354
4035312500,-38.145233,-5.2427158,-0.62293005,-44.900002,-0.63188082,-44.743275,-38.745693,103.06118
4035625000,-38.182587,-5.2690148,-0.6242975,-45.006519,-0.62983704,-44.866222,-38.840538,103.79394
4035937500,-38.092773,-5.3130102,-0.6215542,-45.147533,-0.63012904,-44.980465,-38.879013,103.07164
4036250000,-37.930042,-6.4344454,-0.62355721,-45.237755,-0.63348126,-45.0891,-38.863682,103.38979
4036562500,-37.917328,-6.7068548,-0.62173837,-45.370934,-0.63566875,-45.208668,-39.026836,103.59571
4036875000,-37.798569,-7.550921,-0.62049168,-45.484337,-0.63430566,-45.294453,-38.962032,103.98112
4037187500,-37.889896,-7.6141148,-0.6211201,-45.591766,-0.63166958,-45.41758,-38.84977,104.25529
4037500000,-37.978436,-7.3481565,-0.62436205,-45.688896,-0.6329307,-45.526367,-38.721889,103.79933
4037812500,-38.160042,-5.5140858,-0.62574387,-45.809895,-0.63273412,-45.647621,-38.691696,102.63508
4038125000,-38.241276,-4.3511877,-0.62188727,-45.93425,-0.63482648,-45.77948,-38.629208,101.70705
4038437500,-38.449894,-3.6272221,-0.62418342,-46.066631,-0.63081706,-45.883736,-38.619884,101.08054
4038750000,-38.338184,-2.8830655,-0.62221831,-46.16449,-0.63378131,-46.012032,-38.791538,100.71973
4039062500,-38.138985,-2.9864354,-0.62154174,-46.285702,-0.63651454,-46.103867,-38.760284,100.70841
4039375000,-38.24482,-2.5320868,-0.62061512,-46.399906,-0.63667572,-46.230888,-38.852421,99.761765
4039687500,-38.120941,-2.9489913,-0.62206763,-46.492855,-0.63633716,-46.341019,-38.937271,100.13703
4040000000,-38.151478,-2.8212447,-0.62113905,-46.61496,-0.63548875,-46.44772,-39.092075,100.3366
4040312500,-38.169559,-2.1109979,-0.62102747,-46.737465,-0.63461721,-46.569595,-39.013477,99.49926
4040625000,-38.214466,-2.4218693,-0.62302905,-46.86026,-0.63334072,-46.672905,-39.178246,100.82143
4040937500,-38.248875,-3.2336891,-0.62649268,-46.968334,-0.63110042,-46.767506,-39.122093,101.36989
4041250000,-38.291927,-2.3265662,-0.62524176,-47.091743,-0.63062024,-46.890072,-39.128708,101.27119
