!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, May 21, 2014 10:51:10
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-43.077091,-129.94887,-0.41607803,-133.68193,-0.41250634,-133.69849,-60.681175,-2.774518
1001484375,-43.554092,-128.40163,-0.40898761,-134.4353,-0.40975076,-134.43416,-56.999699,36.248535
1002968750,-43.231121,-134.35957,-0.41287321,-135.16846,-0.40967298,-135.15735,-60.105812,14.1073
1004453125,-43.486351,-130.94299,-0.41089922,-135.87257,-0.40975162,-135.88557,-57.772045,60.527805
1005937500,-44.011894,-134.63068,-0.41310278,-136.60561,-0.40832153,-136.62022,-62.166176,68.496613
1007421875,-43.744232,-137.19887,-0.41036186,-137.33234,-0.41350132,-137.35901,-57.134739,88.219994
1008906250,-43.64616,-144.24586,-0.41111863,-138.07565,-0.41468707,-138.07397,-53.969688,86.070831
1010390625,-43.227207,-142.46346,-0.41235706,-138.81207,-0.41322175,-138.81985,-54.218288,71.77478
1011875000,-44.21344,-144.99792,-0.4117263,-139.53674,-0.41379559,-139.53549,-52.792278,85.426628
1013359375,-43.979675,-148.71187,-0.41520926,-140.271,-0.4134737,-140.27763,-55.614983,89.041977
1014843750,-43.131451,-151.76746,-0.41293755,-140.98825,-0.41657615,-141.0018,-50.523499,84.78125
1016328125,-44.310917,-152.94022,-0.41362846,-141.72824,-0.41291878,-141.75372,-51.975315,96.582184
1017812500,-43.885471,-156.40062,-0.4128592,-142.48343,-0.41405112,-142.45222,-51.266521,87.337273
1019296875,-42.767719,-161.89301,-0.41422182,-143.18124,-0.41728312,-143.16811,-49.594212,92.20443
1020781250,-43.858826,-164.71059,-0.41214219,-143.91335,-0.41679758,-143.9344,-49.195641,89.699249
1022265625,-43.532093,-166.89693,-0.41533956,-144.66586,-0.41476449,-144.66685,-49.810192,85.572296
1023750000,-43.351151,-166.79594,-0.41424683,-145.36104,-0.41578349,-145.40894,-48.681671,95.64238
1025234375,-43.51474,-169.90211,-0.41634387,-146.10506,-0.41552964,-146.14127,-48.175102,92.951302
1026718750,-43.678295,-176.95801,-0.41421369,-146.85106,-0.41611266,-146.86507,-47.871414,95.269218
1028203125,-43.601952,-174.50119,-0.41474384,-147.58844,-0.41509795,-147.56401,-47.044605,89.964806
