!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, January 15, 2014 17:12:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
4000000000,-32.626064,-161.09607,-0.86775404,130.485,-0.88342428,130.67245,-31.934793,-120.008
4000312500,-32.604385,-161.75476,-0.85569209,130.51556,-0.86198795,130.54414,-31.832077,-120.48234
4000625000,-32.561802,-162.12558,-0.85887295,130.3354,-0.86126983,130.3932,-31.834671,-120.3602
4000937500,-32.555443,-162.5327,-0.85874325,130.17854,-0.85810715,130.21916,-31.808241,-120.24832
4001250000,-32.521255,-162.33989,-0.86065465,130.00926,-0.86070484,130.06425,-31.809448,-120.10116
4001562500,-32.50148,-163.15201,-0.85958999,129.85655,-0.8566196,129.90984,-31.783176,-120.21103
4001875000,-32.513733,-162.83064,-0.85950321,129.72986,-0.85860699,129.76498,-31.778019,-120.42699
4002187500,-32.579712,-162.37575,-0.8594476,129.54907,-0.85968149,129.59108,-31.767878,-120.35064
4002500000,-32.530071,-161.99733,-0.86244851,129.41791,-0.85990709,129.41322,-31.824814,-120.31794
4002812500,-32.506866,-161.83237,-0.86044669,129.259,-0.85878885,129.27612,-31.843735,-120.21453
4003125000,-32.521969,-161.9471,-0.86087465,129.0799,-0.86065209,129.11621,-31.831825,-120.24686
4003437500,-32.513058,-161.9915,-0.86137104,128.92754,-0.86139852,128.95201,-31.841362,-120.08068
4003750000,-32.550865,-162.6082,-0.86250299,128.77417,-0.85919052,128.79391,-31.859098,-119.99846
4004062500,-32.611591,-163.35161,-0.86298501,128.62398,-0.85900444,128.64288,-31.883316,-119.83926
4004375000,-32.619247,-163.97128,-0.86265546,128.44981,-0.85989308,128.46791,-31.84033,-119.42419
4004687500,-32.753918,-164.24953,-0.86349863,128.28154,-0.86361158,128.33069,-31.832392,-119.41434
4005000000,-32.776958,-164.95694,-0.86409748,128.119,-0.86010367,128.18256,-31.803858,-119.58899
4005312500,-32.735378,-164.58034,-0.86011207,127.96589,-0.85656363,128.00056,-31.757006,-119.52962
4005625000,-32.719208,-164.74876,-0.86275083,127.79823,-0.86060297,127.87724,-31.829273,-119.85603
4005937500,-32.772472,-164.85106,-0.85748619,127.63647,-0.85816222,127.71144,-31.823797,-120.12035
4006250000,-32.699467,-164.22092,-0.86028528,127.47272,-0.85781443,127.56188,-31.821825,-120.14352
4006562500,-32.663921,-165.11095,-0.85884064,127.31851,-0.85624903,127.40041,-31.824728,-120.51083
4006875000,-32.690544,-165.34737,-0.85957229,127.14391,-0.86036688,127.24581,-31.790476,-120.80579
4007187500,-32.621876,-165.88193,-0.85887337,127.01059,-0.85959715,127.09052,-31.780163,-121.04448
4007500000,-32.644272,-166.07544,-0.86111253,126.86439,-0.85783195,126.90736,-31.738482,-121.0375
4007812500,-32.634315,-166.52132,-0.86014467,126.70158,-0.85980487,126.75072,-31.702959,-121.32166
4008125000,-32.565456,-166.54454,-0.86089641,126.5379,-0.86024582,126.59286,-31.702682,-121.30124
4008437500,-32.615501,-166.82813,-0.85858643,126.39955,-0.86015284,126.42083,-31.734722,-120.73139
4008750000,-32.610725,-167.183,-0.86137229,126.23292,-0.85762143,126.28438,-31.713276,-120.69624
4009062500,-32.634632,-167.50711,-0.86104375,126.09215,-0.85765338,126.09715,-31.802092,-120.28267
4009375000,-32.608902,-167.80489,-0.85936439,125.89886,-0.85916197,125.93574,-31.780886,-120.3899
4009687500,-32.664185,-167.7563,-0.85947686,125.75171,-0.8587662,125.79255,-31.78937,-120.68032
4010000000,-32.627617,-167.89687,-0.85837793,125.58905,-0.85878378,125.62881,-31.754782,-120.71252
4010312500,-32.644791,-168.13173,-0.85705477,125.42197,-0.86268026,125.46144,-31.84339,-121.36082
4010625000,-32.628143,-168.45219,-0.86054873,125.27625,-0.8625924,125.2997,-31.802261,-121.18565
4010937500,-32.614632,-168.38417,-0.85633808,125.11913,-0.86252719,125.14498,-31.787737,-121.57484
4011250000,-32.609665,-168.47313,-0.85844189,124.97179,-0.86172611,124.99473,-31.777582,-121.5828
4011562500,-32.626686,-169.19177,-0.85922039,124.81526,-0.85865593,124.84932,-31.802483,-121.46191
4011875000,-32.652287,-169.60841,-0.85883927,124.65389,-0.86351699,124.67543,-31.843729,-121.50436
4012187500,-32.605953,-170.04175,-0.85710669,124.4845,-0.86117339,124.52272,-31.858597,-121.8211
4012500000,-32.665245,-170.29622,-0.85625076,124.32967,-0.86113656,124.37049,-31.798565,-121.62424
4012812500,-32.564148,-170.92145,-0.86042953,124.15956,-0.86249429,124.20624,-31.787762,-121.53607
4013125000,-32.637806,-170.6597,-0.86334437,124.01929,-0.85968018,124.05643,-31.733849,-121.24876
4013437500,-32.646122,-170.32675,-0.86068803,123.8542,-0.8593536,123.91978,-31.737621,-120.53022
4013750000,-32.691692,-170.35606,-0.859088,123.7035,-0.86018479,123.73804,-31.712601,-120.41472
4014062500,-32.666737,-170.82368,-0.8579827,123.53921,-0.8587653,123.59496,-31.655888,-120.32418
4014375000,-32.6717,-170.82095,-0.86402136,123.411,-0.86188191,123.43917,-31.715288,-120.42242
4014687500,-32.778797,-171.40854,-0.86052525,123.23308,-0.86103892,123.27251,-31.78648,-121.19556
4015000000,-32.799702,-171.50908,-0.86324173,123.09879,-0.86218327,123.10571,-31.833149,-121.71513
4015312500,-32.93259,-171.81364,-0.86109841,122.90596,-0.86229479,122.96117,-31.835842,-121.75893
4015625000,-32.920647,-172.34775,-0.86251563,122.76883,-0.86532581,122.78034,-31.905296,-122.22697
4015937500,-32.91518,-172.11807,-0.86304963,122.62263,-0.85835439,122.62307,-31.930529,-122.24726
4016250000,-32.899036,-172.64493,-0.85948288,122.43768,-0.86222517,122.46915,-31.902512,-121.69801
4016562500,-32.837784,-172.85829,-0.86045188,122.27973,-0.86223561,122.3191,-31.919586,-121.59519
4016875000,-32.736134,-173.54292,-0.86090314,122.13478,-0.86217129,122.14227,-31.94631,-121.45007
4017187500,-32.759769,-174.07567,-0.85896909,121.9673,-0.86289424,121.99004,-31.922174,-121.40308
4017500000,-32.714878,-174.39365,-0.86006409,121.79539,-0.86387581,121.84403,-31.950718,-121.40974
4017812500,-32.806786,-174.9142,-0.86246747,121.64903,-0.85917544,121.68693,-32.030617,-121.52763
4018125000,-32.781311,-175.31749,-0.86360848,121.49926,-0.85938984,121.51225,-32.042885,-121.34696
4018437500,-32.851978,-175.24246,-0.86132365,121.3382,-0.85816324,121.3588,-32.079262,-121.03859
4018750000,-32.865768,-175.94508,-0.86248678,121.16328,-0.85844284,121.21276,-31.968136,-120.92096
4019062500,-32.835861,-175.87204,-0.86321056,121.00863,-0.85556787,121.0383,-31.950222,-121.16209
4019375000,-32.766796,-175.91501,-0.86207134,120.84641,-0.85684717,120.87946,-31.818514,-121.62038
4019687500,-32.778763,-175.87245,-0.86186033,120.68333,-0.85793531,120.71742,-31.726572,-122.38022
4020000000,-32.649124,-176.19511,-0.85842073,120.519,-0.85940742,120.56149,-31.690798,-123.51337
4020312500,-32.715302,-175.96756,-0.8620587,120.35574,-0.86000133,120.40352,-31.602633,-123.9834
4020625000,-32.669685,-176.11446,-0.85972404,120.20232,-0.86002713,120.2529,-31.581392,-123.87443
4020937500,-32.714989,-176.07294,-0.85783237,120.03345,-0.86173457,120.08975,-31.594307,-123.37009
4021250000,-32.714951,-176.7475,-0.85916311,119.88392,-0.85959905,119.94929,-31.681095,-122.93687
4021562500,-32.759434,-177.08208,-0.85933131,119.7027,-0.86524558,119.80794,-31.664101,-122.4262
4021875000,-32.776424,-177.46892,-0.86294341,119.56339,-0.86219221,119.63882,-31.639481,-121.80364
4022187500,-32.756413,-177.72456,-0.86184502,119.41846,-0.86417574,119.4922,-31.690161,-121.63625
4022500000,-32.806938,-178.15623,-0.86183363,119.25749,-0.86260086,119.31902,-31.693832,-121.9688
4022812500,-32.844753,-178.46957,-0.86285138,119.08354,-0.85845953,119.16267,-31.797213,-121.85189
4023125000,-32.864231,-178.44722,-0.86576468,118.94341,-0.86313301,119.00066,-31.791191,-122.29095
4023437500,-32.883354,-178.87987,-0.86323923,118.78416,-0.86059499,118.83106,-31.806648,-122.3721
4023750000,-32.896187,-179.20113,-0.86434364,118.64054,-0.86368257,118.65508,-31.788332,-122.74854
4024062500,-32.883465,-179.63788,-0.86245328,118.47968,-0.86176932,118.50826,-31.846903,-122.66603
4024375000,-32.790535,-179.53067,-0.86366177,118.31313,-0.86345756,118.35162,-31.843946,-123.11179
4024687500,-32.812004,-179.57817,-0.8629269,118.17666,-0.86704576,118.19366,-31.843708,-122.56876
4025000000,-32.790989,179.79599,-0.85965431,118.02716,-0.86201996,118.0281,-31.843306,-122.52224
4025312500,-32.769749,179.79431,-0.86066395,117.83552,-0.86562198,117.87383,-31.806232,-122.43085
4025625000,-32.810356,179.48956,-0.85972482,117.70235,-0.86179107,117.70213,-31.824205,-122.55157
