!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, January 28, 2014 16:06:30
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-32.077496,4.8426371,-0.36492208,-74.995895,-0.36305898,-75.015625,-32.216862,6.0638971
1001484375,-31.988382,5.007,-0.36134061,-75.648628,-0.36240566,-75.684349,-32.097656,6.0566788
1002968750,-31.9736,4.0811329,-0.36612278,-76.267838,-0.36189657,-76.310654,-32.249966,3.8393526
1004453125,-31.988708,1.8297174,-0.3649233,-76.926117,-0.36568335,-76.961571,-32.191818,3.72967
1005937500,-31.999949,1.7665211,-0.36240458,-77.570526,-0.36537912,-77.611717,-32.237713,4.8338099
1007421875,-32.040012,1.2542679,-0.36268026,-78.21302,-0.3629182,-78.23587,-32.131866,4.4444184
1008906250,-31.863623,0.2083158,-0.36939567,-78.862129,-0.36096346,-78.88575,-32.111633,2.4427207
1010390625,-32.023838,-0.51858079,-0.36811399,-79.468285,-0.36554202,-79.526428,-32.034107,1.528082
1011875000,-32.139618,-1.5245683,-0.36693642,-80.14006,-0.36723679,-80.162109,-31.98962,1.587248
1013359375,-32.115456,-0.48821682,-0.362533,-80.784332,-0.36675552,-80.79641,-32.058022,0.12487756
1014843750,-32.063942,-2.9702446,-0.36544546,-81.412727,-0.36495942,-81.472946,-32.250656,-0.96082234
1016328125,-32.069138,-2.7057838,-0.369091,-82.057465,-0.36411065,-82.130646,-32.371624,-1.9915591
1017812500,-32.046753,-4.0579033,-0.36594591,-82.719582,-0.36836833,-82.754387,-32.155952,-2.694124
1019296875,-31.929722,-4.6729331,-0.36399263,-83.336014,-0.36477765,-83.38633,-32.411507,-1.9560556
1020781250,-32.078648,-4.5260072,-0.36643353,-84.003403,-0.36942315,-84.020134,-32.186352,-4.5868969
1022265625,-32.232635,-4.6172662,-0.37051687,-84.637863,-0.36939967,-84.698769,-32.265705,-3.4064522
1023750000,-31.974354,-6.1577263,-0.3660292,-85.290909,-0.36753872,-85.344978,-32.340172,-4.9321327
1025234375,-32.05999,-6.8619704,-0.36858061,-85.937759,-0.36555061,-85.965034,-32.296238,-5.8118205
1026718750,-32.206676,-7.746582,-0.36736181,-86.570923,-0.36749712,-86.614258,-32.33511,-6.5752459
1028203125,-32.191814,-7.5673256,-0.36753368,-87.24263,-0.36620513,-87.222626,-32.347031,-6.1774106
1029687500,-32.500027,-9.1197996,-0.36735818,-87.875099,-0.36724246,-87.893509,-32.302704,-6.5021734
1031171875,-32.137859,-8.686265,-0.36763829,-88.516251,-0.36939353,-88.548729,-32.582127,-9.6442642
1032656250,-32.34679,-9.7481956,-0.36661687,-89.130417,-0.36944219,-89.168892,-32.510628,-8.9781876
1034140625,-32.419407,-9.4661818,-0.37129202,-89.814041,-0.36746883,-89.834816,-32.442848,-10.068604
1035625000,-32.290928,-10.075564,-0.36978593,-90.430222,-0.36966535,-90.484329,-32.317608,-10.87701
1037109375,-32.407887,-10.997579,-0.36469939,-91.082367,-0.36936995,-91.119888,-32.732059,-11.708769
1038593750,-32.500664,-11.566716,-0.36810228,-91.716148,-0.36733508,-91.768745,-32.548065,-13.107115
1040078125,-32.570465,-12.01943,-0.36927491,-92.37384,-0.3708106,-92.398232,-32.438301,-13.269889
1041562500,-32.556221,-10.837654,-0.37170604,-93.016167,-0.36609352,-93.063835,-32.441753,-15.070391
1043046875,-32.519974,-13.687303,-0.36861646,-93.657913,-0.37255633,-93.700607,-32.49295,-15.566985
1044531250,-32.565865,-13.462907,-0.37234926,-94.310738,-0.36996904,-94.320442,-32.492935,-16.206959
1046015625,-32.451084,-13.993989,-0.37244675,-94.928818,-0.36896122,-94.999741,-32.654457,-16.945787
1047500000,-32.707249,-14.605713,-0.36897016,-95.586021,-0.3726666,-95.616592,-32.57354,-16.639435
1048984375,-32.458729,-14.925715,-0.37164867,-96.220772,-0.37203968,-96.284904,-32.775402,-18.298456
1050468750,-32.56794,-16.166967,-0.37363636,-96.868591,-0.36968112,-96.908081,-32.739693,-18.005039
1051953125,-32.690174,-16.743195,-0.37157723,-97.531265,-0.37234834,-97.520058,-32.7575,-19.619011
1053437500,-32.726871,-16.551802,-0.37474197,-98.165993,-0.37202024,-98.214462,-32.833179,-21.584639
1054921875,-32.709812,-17.24547,-0.37200573,-98.817825,-0.37244806,-98.858223,-32.840668,-20.784277
1056406250,-32.854527,-17.202019,-0.3751812,-99.438362,-0.36878732,-99.470078,-32.660145,-22.742376
1057890625,-32.85022,-18.588955,-0.37263635,-100.10036,-0.37341183,-100.13746,-32.858166,-22.672541
1059375000,-32.798035,-19.831394,-0.37195435,-100.73339,-0.37323374,-100.77934,-32.885242,-23.48023
1060859375,-33.119907,-19.210503,-0.3712678,-101.39669,-0.37410614,-101.42586,-32.785923,-23.127199
1062343750,-33.041821,-19.946653,-0.37374356,-102.01611,-0.372886,-102.06397,-33.038532,-24.934687
1063828125,-32.986984,-20.942677,-0.37543604,-102.65699,-0.36958301,-102.69056,-33.042759,-25.693857
1065312500,-32.937626,-20.745731,-0.37445816,-103.31129,-0.37205151,-103.35351,-32.944077,-26.510447
1066796875,-32.80484,-22.139837,-0.37707135,-103.94515,-0.37466815,-103.99615,-33.066948,-28.363884
1068281250,-32.894714,-21.537601,-0.37088603,-104.59498,-0.37596196,-104.65117,-32.996185,-27.31605
1069765625,-32.975029,-23.053556,-0.37461704,-105.23532,-0.37504384,-105.32273,-32.967247,-29.190374
1071250000,-33.024021,-23.715214,-0.3715075,-105.88856,-0.37708181,-105.94131,-33.018978,-29.791142
1072734375,-33.237286,-22.711227,-0.37448695,-106.52054,-0.37381727,-106.5799,-33.058556,-29.757332
1074218750,-33.187691,-25.279011,-0.37760666,-107.18085,-0.37592661,-107.20342,-33.15786,-30.154066
1075703125,-33.182117,-25.489056,-0.37589541,-107.80606,-0.37551606,-107.85961,-33.271145,-31.854862
1077187500,-33.061443,-25.848202,-0.38192755,-108.46406,-0.37480655,-108.48846,-33.059097,-33.129089
1078671875,-33.118404,-27.282272,-0.37468749,-109.12237,-0.37685066,-109.15005,-33.10305,-32.665615
1080156250,-33.384613,-26.885983,-0.37715232,-109.77048,-0.37471315,-109.78028,-33.107086,-34.292179
1081640625,-33.242504,-28.123457,-0.37667385,-110.39048,-0.37902936,-110.43578,-33.191097,-33.45977
1083125000,-33.35231,-28.577202,-0.37646523,-111.04061,-0.37666985,-111.08251,-33.244713,-34.960373
1084609375,-33.289959,-28.743763,-0.37725198,-111.69372,-0.37727299,-111.72086,-33.389828,-34.188259
1086093750,-33.4184,-29.172342,-0.37679398,-112.33683,-0.37541828,-112.35581,-33.474174,-35.246891
1087578125,-33.318043,-30.974438,-0.37980646,-112.96765,-0.3797861,-113.01505,-33.21196,-36.090054
1089062500,-33.668774,-30.360765,-0.38030949,-113.60093,-0.37702942,-113.66886,-33.541687,-36.641594
1090546875,-33.571644,-32.190441,-0.37841323,-114.25765,-0.37775388,-114.31544,-33.480553,-36.59824
1092031250,-33.631409,-32.439445,-0.37868246,-114.89904,-0.37898302,-114.93911,-33.385345,-37.106911
1093515625,-33.779381,-33.023052,-0.38026288,-115.52732,-0.38057941,-115.60273,-33.718327,-39.698959
1095000000,-33.542564,-33.621716,-0.37938026,-116.17155,-0.38045433,-116.22164,-33.721767,-38.369511
1096484375,-33.806961,-33.852097,-0.37861824,-116.81969,-0.37961379,-116.88955,-33.895462,-40.142754
1097968750,-33.843578,-35.122597,-0.37794679,-117.45118,-0.37791258,-117.53457,-33.750729,-40.167274
1099453125,-33.921825,-35.830078,-0.38103586,-118.13285,-0.37859508,-118.15423,-33.708408,-40.195404
1100937500,-33.894047,-36.151592,-0.38213953,-118.78033,-0.37868538,-118.79745,-33.881153,-41.915672
1102421875,-33.82859,-36.983463,-0.37746266,-119.41348,-0.38229278,-119.45259,-33.829769,-41.639957
1103906250,-34.01329,-37.701153,-0.38237023,-120.04916,-0.37823063,-120.08458,-33.855457,-42.985306
1105390625,-34.240421,-36.440777,-0.3812753,-120.70876,-0.38461328,-120.72095,-33.969547,-43.671959
1106875000,-34.073837,-38.424866,-0.38024533,-121.34058,-0.38320771,-121.37861,-33.900135,-43.839745
1108359375,-34.278572,-39.087368,-0.38317761,-121.95812,-0.38195139,-122.01995,-34.152824,-44.868591
1109843750,-34.497009,-40.264465,-0.37905803,-122.62878,-0.38085723,-122.64937,-33.982933,-45.779896
1111328125,-34.298321,-40.557915,-0.37832174,-123.23746,-0.38510144,-123.34503,-34.161701,-47.398983
1112812500,-34.409924,-42.120552,-0.38304669,-123.89159,-0.38351598,-123.92604,-34.408813,-47.062424
1114296875,-34.49379,-41.458591,-0.38358873,-124.56915,-0.37990928,-124.58284,-34.278671,-49.701729
1115781250,-34.761478,-40.828476,-0.37980631,-125.21383,-0.3844856,-125.20812,-34.425129,-48.754364
1117265625,-34.603889,-43.630741,-0.3814106,-125.83469,-0.38198784,-125.88532,-34.895073,-50.297367
1118750000,-34.726906,-43.457214,-0.38102305,-126.48746,-0.38451037,-126.5349,-34.465004,-48.905891
1120234375,-35.031521,-44.886345,-0.38387224,-127.13976,-0.38316649,-127.15211,-34.728443,-50.12368
1121718750,-34.74836,-43.527828,-0.38289145,-127.76579,-0.38173214,-127.79661,-34.909683,-52.293404
1123203125,-35.031387,-43.426308,-0.38300249,-128.41385,-0.38297653,-128.48264,-34.813911,-51.509357
1124687500,-35.076805,-45.410027,-0.38644981,-129.06885,-0.38128474,-129.11235,-34.950306,-52.420101
1126171875,-35.334442,-46.42667,-0.38382605,-129.72701,-0.3836123,-129.75488,-34.888821,-54.149849
1127656250,-35.29554,-45.786106,-0.38631207,-130.34026,-0.38366359,-130.39261,-35.319328,-55.911789
1129140625,-35.375774,-46.041565,-0.38291752,-130.99391,-0.38086236,-131.04015,-35.545082,-55.440418
1130625000,-35.446011,-48.369759,-0.38518932,-131.64857,-0.38279012,-131.66811,-35.449089,-56.149395
1132109375,-35.823708,-48.899185,-0.38548833,-132.30173,-0.38249645,-132.31921,-35.570614,-56.237495
1133593750,-35.886993,-49.461269,-0.38846454,-132.93738,-0.38066387,-132.95984,-35.654594,-56.55035
1135078125,-35.775993,-50.107498,-0.38302839,-133.57658,-0.38517773,-133.6067,-35.864857,-58.704021
1136562500,-36.119892,-49.640385,-0.38300192,-134.21037,-0.38549861,-134.25705,-35.981121,-58.614418
1138046875,-36.125896,-49.819008,-0.38349506,-134.84784,-0.38530391,-134.91196,-36.085999,-59.584763
1139531250,-36.316269,-50.46645,-0.38341928,-135.50308,-0.38414836,-135.54225,-36.209572,-59.299786
