!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, June 23, 2015 15:21:58
!Source: Standard

BEGIN CH20_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-38.395592,44.737888,-0.32964385,-38.484863,-0.32981026,-38.50423,-37.477684,20.497976
1001484375,-38.176651,44.748741,-0.33122513,-39.083542,-0.33582532,-39.082329,-37.608887,22.294794
1002968750,-38.416298,43.352081,-0.33543256,-39.656788,-0.33153161,-39.679871,-37.724579,21.597841
1004453125,-38.337559,43.025845,-0.33518445,-40.245541,-0.33342078,-40.256882,-37.722729,20.891972
1005937500,-38.305454,41.374969,-0.33130789,-40.844334,-0.33632192,-40.831104,-37.347855,19.078436
1007421875,-38.592842,40.106205,-0.33609924,-41.459766,-0.33126992,-41.410763,-37.593346,18.080957
1008906250,-38.441162,40.009953,-0.33797726,-42.047001,-0.33383745,-42.033733,-37.1152,18.955666
1010390625,-38.400414,40.933434,-0.33249247,-42.624271,-0.3312175,-42.609592,-37.487381,18.695324
1011875000,-38.250347,37.72707,-0.33367661,-43.195354,-0.33407521,-43.20945,-37.396084,17.268175
1013359375,-38.034546,36.700752,-0.3358998,-43.798313,-0.33313096,-43.796265,-36.958687,15.643324
1014843750,-38.38055,36.906105,-0.33559155,-44.386997,-0.33534244,-44.384041,-37.128269,17.754936
1016328125,-38.234932,35.772995,-0.3342593,-44.996422,-0.33439592,-44.955265,-37.298096,15.190553
1017812500,-38.458805,37.661423,-0.33459237,-45.563862,-0.33405858,-45.590767,-37.271564,14.130429
1019296875,-38.316402,35.811329,-0.33629987,-46.160767,-0.33462977,-46.138157,-37.46722,13.462638
1020781250,-38.250679,36.501198,-0.33530945,-46.751286,-0.33430931,-46.735237,-37.747063,13.312551
1022265625,-38.185242,32.289867,-0.33679479,-47.318638,-0.33520174,-47.352211,-37.438877,11.894621
1023750000,-38.007801,32.866653,-0.33911002,-47.934864,-0.33750379,-47.928356,-37.357937,12.082266
1025234375,-38.090145,31.344585,-0.33837467,-48.51479,-0.33689979,-48.503918,-37.419136,11.494141
1026718750,-38.054226,32.303017,-0.33706999,-49.094982,-0.33437181,-49.128578,-37.08847,12.246818
1028203125,-38.404053,31.532,-0.34028542,-49.700912,-0.33732617,-49.700188,-36.894466,10.853423
1029687500,-38.006008,28.975367,-0.33973342,-50.2738,-0.33771163,-50.283924,-37.04538,10.843006
1031171875,-37.948685,32.023579,-0.33699927,-50.869816,-0.33645123,-50.870762,-37.096474,10.145577
1032656250,-38.013889,30.088062,-0.33888018,-51.469776,-0.33908123,-51.471874,-36.997475,8.5396261
1034140625,-37.92358,29.461708,-0.34014523,-52.061321,-0.34081629,-52.039219,-37.031845,8.4621305
1035625000,-38.541203,25.755013,-0.34031215,-52.646469,-0.33416271,-52.632549,-37.252365,6.1551285
1037109375,-37.926025,28.777851,-0.34170789,-53.21899,-0.34037969,-53.248199,-36.854797,6.8027086
1038593750,-37.804523,25.043844,-0.34055811,-53.819832,-0.33705276,-53.843624,-36.78706,5.2041459
1040078125,-38.022198,25.674202,-0.34036848,-54.401665,-0.34091142,-54.418507,-36.795395,5.6968198
1041562500,-37.983105,25.484722,-0.33777064,-55.015007,-0.34348372,-54.98103,-36.845928,4.6053157
1043046875,-38.062,25.526167,-0.34223983,-55.596714,-0.33743417,-55.606487,-37.134502,5.45891
1044531250,-37.948437,24.099277,-0.33905989,-56.172714,-0.33971891,-56.17939,-36.90564,4.3736777
1046015625,-38.091969,25.613495,-0.34240535,-56.785263,-0.33803403,-56.761013,-37.034286,4.230917
1047500000,-37.694256,22.119402,-0.34264594,-57.378372,-0.34358174,-57.33976,-36.883415,3.3987186
1048984375,-37.873577,25.241894,-0.34245956,-57.935612,-0.34293017,-57.964073,-36.576805,0.96284419
1050468750,-38.088898,20.786341,-0.33862036,-58.519211,-0.3389211,-58.528519,-37.116211,1.1146533
1051953125,-37.931652,19.553932,-0.34253162,-59.123425,-0.34072432,-59.127625,-36.952179,1.6949648
1053437500,-37.911579,20.881289,-0.34501156,-59.730915,-0.34216896,-59.704781,-36.792946,0.53631097
1054921875,-37.879002,21.181465,-0.34515813,-60.328308,-0.34274012,-60.314198,-36.298992,-0.41968724
1056406250,-37.845181,21.515759,-0.34396932,-60.894779,-0.33872133,-60.888813,-36.596977,-0.90894043
1057890625,-38.132477,19.589083,-0.34188226,-61.485386,-0.33973682,-61.472584,-36.90535,-2.152384
1059375000,-37.793514,17.443092,-0.34254226,-62.06918,-0.34426495,-62.055611,-36.437412,-5.1675582
1060859375,-37.920067,17.182972,-0.34280002,-62.669178,-0.34039354,-62.656448,-36.834133,-3.8087487
1062343750,-37.935333,18.280611,-0.34174722,-63.260979,-0.34074724,-63.270878,-36.75531,-3.8749959
1063828125,-37.964081,15.839868,-0.34587869,-63.844444,-0.34264383,-63.842625,-36.243828,-3.5838425
1065312500,-37.964958,16.593536,-0.34481317,-64.427322,-0.34280214,-64.43367,-36.57486,-6.6361222
1066796875,-37.885601,15.060158,-0.34725663,-65.016754,-0.34160608,-65.032669,-36.617256,-7.0688882
1068281250,-38.306503,14.203693,-0.3451865,-65.610428,-0.34223828,-65.617744,-36.450497,-7.1789436
1069765625,-38.077667,12.776992,-0.34727812,-66.216797,-0.34228727,-66.205002,-36.49313,-8.0407
1071250000,-38.017002,15.422989,-0.34389272,-66.807129,-0.34535715,-66.792656,-36.597973,-8.032793
1072734375,-38.056053,13.821405,-0.34527189,-67.375923,-0.34155443,-67.37896,-36.563656,-8.4512329
1074218750,-37.882923,12.100951,-0.34770069,-67.996437,-0.34537172,-67.987732,-36.591179,-10.109662
1075703125,-38.097282,11.97541,-0.3471356,-68.554794,-0.34622386,-68.565605,-36.39328,-11.083309
1077187500,-38.183533,11.035745,-0.34569851,-69.165123,-0.34499308,-69.162094,-36.559807,-9.4635544
1078671875,-38.116512,10.281452,-0.34516889,-69.751839,-0.34554949,-69.713249,-36.633659,-13.28219
1080156250,-38.204765,10.948389,-0.34485671,-70.351616,-0.34318045,-70.335312,-36.49152,-11.762589
1081640625,-37.947311,9.0937223,-0.34791693,-70.919914,-0.34770024,-70.911919,-36.791302,-13.047386
1083125000,-38.015404,8.7005033,-0.3467153,-71.505447,-0.34592476,-71.50724,-36.423569,-13.318437
1084609375,-38.129601,9.3226461,-0.34858674,-72.125252,-0.34373969,-72.113609,-36.573658,-14.354394
1086093750,-38.063244,7.2988949,-0.34717789,-72.700882,-0.34878844,-72.713593,-36.491047,-14.119948
1087578125,-38.222919,8.2941818,-0.35205764,-73.304085,-0.34434906,-73.257401,-36.303207,-16.585613
1089062500,-38.033295,6.2957253,-0.34892309,-73.838058,-0.3441411,-73.871422,-36.294323,-17.741892
1090546875,-38.306408,6.2723551,-0.35149661,-74.458916,-0.34622833,-74.496147,-36.450863,-18.056519
1092031250,-38.383522,6.6614652,-0.34810054,-75.052948,-0.34776852,-75.047874,-36.259953,-18.154949
1093515625,-38.172428,5.5326409,-0.34832022,-75.676086,-0.34566832,-75.664841,-36.222107,-18.28569
1095000000,-38.433895,6.1067953,-0.35109925,-76.245331,-0.34195989,-76.240707,-36.597603,-18.839241
1096484375,-38.432022,6.8306661,-0.35148352,-76.789551,-0.34993619,-76.846855,-36.375496,-20.8652
1097968750,-38.243202,3.6199636,-0.34854943,-77.424332,-0.34745187,-77.403458,-36.685677,-20.90167
1099453125,-38.630741,4.1692848,-0.34924522,-78.003967,-0.35107383,-77.990715,-36.512234,-21.625957
1100937500,-38.409046,2.059104,-0.34920308,-78.576385,-0.35301533,-78.621323,-36.110489,-24.127815
1102421875,-38.460945,0.79718161,-0.35066944,-79.175613,-0.35146567,-79.186089,-36.518047,-21.524567
1103906250,-38.216064,2.2874219,-0.34866518,-79.761917,-0.3478274,-79.798965,-36.681511,-24.686842
1105390625,-38.334095,1.5445681,-0.34664482,-80.33947,-0.34889126,-80.36998,-36.526039,-22.411457
1106875000,-38.500835,3.4888847,-0.34881201,-80.961998,-0.35202941,-80.944641,-36.777168,-26.067324
1108359375,-38.392178,-1.2158431,-0.35070166,-81.552383,-0.35180864,-81.530708,-36.515537,-25.714405
1109843750,-38.705162,1.1646837,-0.35039276,-82.107903,-0.35174832,-82.11396,-36.647053,-25.88892
1111328125,-38.662689,1.1928265,-0.3498973,-82.708717,-0.35124591,-82.732506,-36.808315,-26.839075
1112812500,-38.736649,-0.19745104,-0.35001883,-83.322914,-0.35222337,-83.326241,-36.873421,-26.474062
1114296875,-38.799866,0.29162517,-0.35026169,-83.873924,-0.3496348,-83.894104,-36.432072,-28.529604
1115781250,-38.751713,-1.6059488,-0.35320371,-84.47084,-0.35159132,-84.503281,-36.413715,-28.838486
1117265625,-39.095009,-0.54385781,-0.35230064,-85.058861,-0.35004595,-85.081741,-36.208252,-29.158875
1118750000,-38.728191,-4.5629344,-0.3529228,-85.661758,-0.35160586,-85.651123,-36.538017,-29.502686
1120234375,-38.707729,-4.6282377,-0.35331085,-86.253494,-0.35374129,-86.26339,-36.538563,-28.990746
1121718750,-38.712002,-2.7004862,-0.35225341,-86.863808,-0.34905374,-86.852333,-36.722916,-30.042772
1123203125,-38.942574,-3.7647405,-0.35073638,-87.448662,-0.35622573,-87.425346,-36.578876,-31.847311
1124687500,-38.817913,-5.624311,-0.35157105,-88.020966,-0.34907374,-88.018265,-36.473595,-31.701128
1126171875,-39.178318,-5.1157832,-0.35310498,-88.617371,-0.35099658,-88.60862,-36.973545,-33.667347
1127656250,-38.706997,-5.829093,-0.35182077,-89.20192,-0.35424182,-89.202866,-36.526604,-33.292332
1129140625,-39.126141,-5.9154062,-0.3532398,-89.761948,-0.352375,-89.794167,-36.596554,-33.468403
1130625000,-38.891777,-6.7062001,-0.35617819,-90.400536,-0.35406959,-90.362396,-36.501465,-33.758659
1132109375,-38.967701,-8.8449898,-0.35291591,-90.964569,-0.35322508,-90.971657,-36.41058,-33.81847
1133593750,-38.88121,-8.0141172,-0.35356748,-91.55648,-0.35377565,-91.55912,-36.803139,-34.133297
1135078125,-39.188969,-11.972011,-0.35664222,-92.159065,-0.35456958,-92.163223,-36.34523,-34.823772
1136562500,-38.889538,-11.34238,-0.35725775,-92.737648,-0.35635212,-92.729965,-36.794338,-38.08865
1138046875,-39.199444,-9.8786612,-0.35603032,-93.330353,-0.35300401,-93.341606,-36.527142,-38.528111
1139531250,-38.670589,-13.172671,-0.35416856,-93.931496,-0.35265121,-93.925964,-36.415985,-37.422974
1141015625,-39.096687,-11.837356,-0.35519844,-94.523323,-0.35301441,-94.505363,-36.64077,-38.107815
1142500000,-38.789379,-12.385666,-0.35551947,-95.096748,-0.35542208,-95.113441,-36.599068,-40.143883
1143984375,-39.431065,-13.133636,-0.35010332,-95.693092,-0.35462561,-95.678146,-36.683216,-39.935741
1145468750,-39.228893,-13.869228,-0.35480863,-96.28315,-0.35722572,-96.289116,-37.152477,-39.523331
1146953125,-39.09391,-13.14686,-0.35444698,-96.883087,-0.35624528,-96.874908,-36.770962,-42.296448
1148437500,-39.283035,-13.623535,-0.35718459,-97.460037,-0.35621041,-97.45002,-37.095154,-42.702087
1149921875,-39.577259,-17.067688,-0.35680231,-98.052719,-0.35747752,-98.040718,-36.848141,-42.693748
1151406250,-39.944073,-17.918839,-0.35795507,-98.633064,-0.35564384,-98.629036,-36.76384,-44.71315
1152890625,-39.338474,-17.677017,-0.36247769,-99.22847,-0.35711032,-99.231178,-36.683552,-43.891521
1154375000,-39.474594,-16.399982,-0.35884967,-99.813179,-0.35772297,-99.825615,-36.767262,-44.298275
1155859375,-39.678391,-13.504283,-0.35649952,-100.41494,-0.35585931,-100.42049,-37.03344,-46.327888
1157343750,-39.772175,-18.897667,-0.35905793,-100.99767,-0.35121292,-100.98766,-36.686378,-46.900459
1158828125,-39.842453,-18.79682,-0.36223906,-101.60985,-0.3584258,-101.58088,-37.077358,-44.267971
1160312500,-39.628349,-18.449024,-0.35752335,-102.17765,-0.36161974,-102.18317,-36.988377,-45.25589
1161796875,-39.783939,-22.882763,-0.35975137,-102.78329,-0.35843337,-102.74356,-37.126938,-47.607922
1163281250,-39.851051,-20.152653,-0.36206883,-103.3385,-0.35554805,-103.35715,-36.750736,-50.026627
1164765625,-39.891457,-20.752262,-0.35820985,-103.93951,-0.36011386,-103.97075,-37.244987,-48.296844
1166250000,-39.629593,-19.615726,-0.35975808,-104.54001,-0.35973248,-104.54556,-37.513103,-47.078041
1167734375,-40.206318,-25.125788,-0.3630335,-105.13709,-0.36026755,-105.13794,-37.517612,-50.928085
1169218750,-39.814754,-20.572405,-0.35873896,-105.72334,-0.3608785,-105.73169,-37.517643,-50.578312
1170703125,-39.819344,-25.395802,-0.36393565,-106.30527,-0.35586566,-106.29326,-37.316311,-51.413101
1172187500,-40.342018,-25.366791,-0.35738784,-106.90665,-0.35998836,-106.88464,-37.388447,-50.297047
1173671875,-40.255466,-23.687288,-0.36076084,-107.48066,-0.3548916,-107.49868,-37.368355,-52.294098
1175156250,-39.771736,-24.342072,-0.3601281,-108.05299,-0.35648555,-108.08665,-37.496155,-54.281509
1176640625,-40.339844,-27.61071,-0.36306149,-108.65775,-0.3556138,-108.65987,-37.28883,-51.852581
1178125000,-40.178066,-25.041527,-0.36131853,-109.25161,-0.36035341,-109.26389,-37.324558,-53.540455
1179609375,-40.897251,-24.849693,-0.36174712,-109.85305,-0.36122596,-109.84433,-37.585106,-53.27084
1181093750,-40.664806,-27.357792,-0.3632966,-110.45099,-0.3586024,-110.44647,-37.315384,-55.374104
1182578125,-40.129196,-24.919346,-0.36256394,-111.02248,-0.36187637,-111.02505,-37.355793,-54.789471
1184062500,-40.511486,-29.054344,-0.36439285,-111.62162,-0.36064798,-111.62556,-37.86594,-56.624969
1185546875,-40.401535,-30.347521,-0.36189449,-112.20835,-0.36520183,-112.2301,-38.203533,-57.248398
1187031250,-40.874657,-28.825096,-0.36254522,-112.79535,-0.36291695,-112.77642,-37.636478,-55.962036
1188515625,-40.704784,-30.787102,-0.36379096,-113.3964,-0.36080495,-113.38737,-38.043583,-57.499107
1190000000,-40.603306,-29.279621,-0.3654553,-113.94791,-0.36029172,-113.97093,-37.894108,-59.701939
1191484375,-41.057766,-30.957586,-0.36426324,-114.57157,-0.36273009,-114.53989,-37.92239,-57.440811
1192968750,-41.062519,-31.872662,-0.36675972,-115.13781,-0.36377692,-115.16171,-38.199852,-58.286594
1194453125,-41.122936,-32.258846,-0.36555555,-115.75921,-0.36096838,-115.73947,-38.291985,-55.702591
1195937500,-41.293133,-34.675774,-0.36095119,-116.34368,-0.3638826,-116.34579,-38.168026,-59.549919
