!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, April 02, 2014 18:23:02
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
1000000000,-37.171623,0.84695387,-0.18241477,-95.465996,-0.17990261,-95.438751,-37.229488,-30.75832
1001484375,-37.277431,-1.0109128,-0.18255848,-96.143478,-0.1744456,-96.101814,-36.827286,-34.63266
1002968750,-37.258743,0.44742376,-0.18177532,-96.819992,-0.17832594,-96.802994,-37.340008,-34.561211
1004453125,-37.22924,-1.9069341,-0.18255463,-97.516266,-0.1827548,-97.45089,-37.027519,-35.488873
1005937500,-37.351669,-0.59782666,-0.18405074,-98.161095,-0.18041997,-98.178078,-37.237122,-36.760303
1007421875,-37.931831,-2.3680115,-0.18454018,-98.887527,-0.17857739,-98.826393,-37.339317,-36.348103
1008906250,-37.382412,0.78913963,-0.18658283,-99.514427,-0.17952311,-99.493317,-37.48196,-38.275169
1010390625,-37.507351,-2.2317269,-0.18643956,-100.1879,-0.18103404,-100.1608,-37.748318,-36.108479
1011875000,-37.291595,-0.64164865,-0.18765056,-100.84553,-0.17977175,-100.84665,-38.033684,-38.093536
1013359375,-37.735699,-4.1970987,-0.18647045,-101.56133,-0.18016683,-101.52806,-37.795719,-37.878372
1014843750,-37.67382,-4.1579762,-0.18561257,-102.25108,-0.18179967,-102.18713,-37.796089,-36.563511
1016328125,-37.720745,-3.8643022,-0.18585733,-102.90526,-0.18219793,-102.8536,-37.791481,-40.867023
1017812500,-37.58519,-3.8635175,-0.18496156,-103.57432,-0.18228573,-103.54951,-38.27383,-37.149151
1019296875,-37.939083,-5.5328555,-0.18471374,-104.25877,-0.18180005,-104.24526,-38.266254,-38.318302
1020781250,-38.182537,-7.2378745,-0.18686494,-104.93474,-0.18222977,-104.90213,-38.231922,-38.56892
1022265625,-38.074005,-5.3457928,-0.18721154,-105.60856,-0.18157165,-105.58545,-38.146408,-40.357048
1023750000,-38.076733,-9.7054644,-0.19172594,-106.29124,-0.18268846,-106.25825,-38.705917,-42.0616
1025234375,-38.210606,-7.6045108,-0.18961936,-106.93515,-0.18616524,-106.91901,-38.510258,-40.759319
1026718750,-38.549801,-8.9650536,-0.1860029,-107.62643,-0.18488306,-107.59191,-38.273895,-41.178268
1028203125,-38.664963,-10.715584,-0.18868275,-108.30807,-0.18480389,-108.26102,-38.123035,-43.401703
1029687500,-38.387413,-9.1331501,-0.19089662,-108.9817,-0.18153915,-108.9594,-39.165443,-47.094543
1031171875,-38.473209,-12.823651,-0.19005169,-109.63659,-0.18081044,-109.63828,-38.705265,-45.083038
1032656250,-38.978237,-11.531734,-0.18882309,-110.31506,-0.18189262,-110.27885,-39.167908,-43.685776
1034140625,-39.098934,-12.498123,-0.18618755,-111.0082,-0.18102878,-110.96182,-39.184673,-43.442684
1035625000,-39.045605,-13.471629,-0.18717369,-111.67963,-0.18109512,-111.65293,-38.893608,-46.021904
1037109375,-38.975945,-16.478189,-0.18551475,-112.32845,-0.18513834,-112.35243,-39.786472,-47.14521
1038593750,-38.781082,-15.961355,-0.19021191,-113.0423,-0.18497747,-112.96532,-39.033024,-44.079075
1040078125,-39.346611,-17.126663,-0.18864669,-113.70778,-0.18174018,-113.69753,-39.51807,-45.691341
1041562500,-39.401428,-16.92449,-0.18680516,-114.38026,-0.18329436,-114.35757,-39.578144,-46.191013
1043046875,-39.648689,-19.919561,-0.19029596,-115.06313,-0.18584068,-115.01214,-39.591545,-46.445019
1044531250,-39.825783,-20.265722,-0.18662302,-115.73804,-0.18244867,-115.67747,-40.077518,-46.070877
1046015625,-40.248718,-17.80505,-0.18992506,-116.42008,-0.1850189,-116.37664,-40.007782,-47.186691
1047500000,-40.207558,-18.958775,-0.18624476,-117.08095,-0.18343641,-117.03804,-40.605801,-44.001381
1048984375,-40.404232,-22.340244,-0.18989766,-117.75848,-0.18235059,-117.77061,-40.540092,-53.170437
1050468750,-40.334881,-17.581619,-0.18700716,-118.45485,-0.18351923,-118.41513,-40.411068,-46.29192
1051953125,-40.789917,-19.097675,-0.19063577,-119.11902,-0.18410052,-119.07205,-40.74485,-47.069599
1053437500,-41.061172,-21.246984,-0.1893806,-119.80816,-0.18543789,-119.75854,-40.700653,-49.414715
1054921875,-41.467472,-23.373955,-0.18815362,-120.44919,-0.18125531,-120.43941,-40.606014,-50.054249
1056406250,-41.865665,-24.382011,-0.19084615,-121.13671,-0.18426841,-121.07509,-41.261997,-52.809826
1057890625,-41.367023,-22.842768,-0.18810432,-121.79449,-0.18562619,-121.76198,-41.31189,-54.343056
1059375000,-41.44746,-24.538317,-0.19280836,-122.47445,-0.18497552,-122.43513,-41.770599,-51.493435
1060859375,-42.224964,-25.386057,-0.19072887,-123.14421,-0.18393376,-123.14989,-41.749001,-47.008091
1062343750,-41.652012,-24.828705,-0.19093288,-123.81716,-0.18783486,-123.78177,-41.821026,-58.470055
1063828125,-41.718311,-27.276751,-0.19012567,-124.49274,-0.18399423,-124.48072,-42.140377,-50.374519
1065312500,-42.682888,-25.923885,-0.19064678,-125.16385,-0.18448637,-125.1452,-42.927975,-53.421612
1066796875,-43.696476,-23.642975,-0.19219264,-125.8667,-0.18125381,-125.81957,-42.700928,-56.942646
1068281250,-43.16003,-28.314262,-0.19399767,-126.52797,-0.18014854,-126.50262,-42.567478,-61.543098
1069765625,-42.643616,-26.320139,-0.18726112,-127.20131,-0.18657815,-127.18475,-43.258335,-49.138046
1071250000,-43.99118,-23.487949,-0.19308455,-127.86124,-0.18256314,-127.86633,-42.440327,-56.592575
1072734375,-43.99411,-29.013489,-0.19108826,-128.55562,-0.18387026,-128.52016,-43.101601,-51.670692
1074218750,-43.436874,-27.315924,-0.18894143,-129.22989,-0.18520974,-129.2029,-43.47422,-50.66827
1075703125,-44.56406,-25.215538,-0.19236229,-129.90068,-0.18622021,-129.87477,-44.070232,-55.654945
1077187500,-44.074131,-28.575344,-0.19188301,-130.58255,-0.18274978,-130.54102,-44.40937,-61.429508
1078671875,-44.867264,-31.489594,-0.19012176,-131.24007,-0.18945205,-131.20757,-45.09576,-45.847118
