!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Friday, April 04, 2014 10:46:39
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
4000000000,-35.457623,-70.015396,-0.44990104,-42.121853,-0.46157268,-42.01424,-49.039566,130.52373
4000312500,-35.305447,-69.692841,-0.44024453,-42.133877,-0.44343096,-42.154953,-51.722141,136.40321
4000625000,-35.295658,-67.9207,-0.44733638,-42.349392,-0.45067477,-42.321579,-49.889561,128.30022
4000937500,-35.235172,-66.293922,-0.44423831,-42.556194,-0.45386788,-42.499001,-48.156479,122.70908
4001250000,-35.216042,-64.854744,-0.44556892,-42.750256,-0.45779526,-42.686825,-46.647652,120.13886
4001562500,-35.067158,-63.347633,-0.44853169,-42.9445,-0.45925069,-42.860577,-46.063217,118.80836
4001875000,-35.02486,-62.561066,-0.44916525,-43.113091,-0.45846695,-43.024647,-45.607857,115.29273
4002187500,-34.943295,-61.564121,-0.44930282,-43.29533,-0.46054122,-43.194454,-45.170128,112.52722
4002500000,-34.936066,-60.834965,-0.45046887,-43.463413,-0.46134016,-43.383499,-45.189747,111.18331
4002812500,-34.805977,-59.817787,-0.44762218,-43.625725,-0.4598335,-43.555016,-44.836525,109.18076
4003125000,-34.771999,-58.474747,-0.45024166,-43.793674,-0.45883486,-43.728748,-44.253063,109.568
4003437500,-34.686607,-57.244877,-0.44923279,-43.980625,-0.46043611,-43.882099,-43.711132,108.63615
4003750000,-34.567184,-56.342735,-0.44910803,-44.127995,-0.45754343,-44.101639,-43.108913,107.57782
4004062500,-34.497219,-55.348122,-0.45117053,-44.302948,-0.45756119,-44.25853,-42.464764,107.52703
4004375000,-34.385933,-54.672188,-0.44582361,-44.482117,-0.45827267,-44.442055,-41.889179,106.42503
4004687500,-34.201527,-54.163181,-0.44677693,-44.650196,-0.45747167,-44.588768,-41.685776,103.18995
