!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Saturday, January 18, 2014 11:59:49
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
4000000000,-36.156277,-169.70491,-0.87744588,65.972412,-0.87955791,65.966408,-36.547314,135.81786
4000312500,-36.617702,-167.67311,-0.87037939,65.950508,-0.86034894,65.873444,-36.735901,132.03758
4000625000,-36.466888,-167.57301,-0.86998904,65.746323,-0.86739725,65.689842,-36.681808,131.60957
4000937500,-36.288715,-168.61761,-0.87531912,65.5252,-0.87266636,65.513718,-36.673309,131.38289
4001250000,-36.163326,-168.87915,-0.87644887,65.327347,-0.87773317,65.339081,-36.655449,131.40295
4001562500,-36.118694,-168.9995,-0.87630194,65.151604,-0.87427312,65.178108,-36.627686,132.25462
4001875000,-36.127228,-170.35075,-0.8746413,64.984589,-0.87355119,65.032913,-36.609932,133.3643
4002187500,-36.107265,-170.28418,-0.87604392,64.83506,-0.87715316,64.866219,-36.568939,134.60165
4002500000,-36.140781,-170.77402,-0.8724466,64.684357,-0.8783195,64.694168,-36.622734,135.18687
4002812500,-36.249401,-170.63126,-0.87455809,64.527199,-0.87786961,64.552658,-36.576263,135.21466
4003125000,-36.361008,-171.34813,-0.87679368,64.364204,-0.87759131,64.412376,-36.773258,134.94806
4003437500,-36.351437,-172.42383,-0.87733847,64.187538,-0.87604147,64.226791,-36.773178,134.77385
4003750000,-36.464958,-172.56929,-0.87835521,64.046928,-0.8750627,64.051247,-36.805424,134.02348
4004062500,-36.681107,-172.86726,-0.87742215,63.871441,-0.87496823,63.870983,-36.892521,133.49704
4004375000,-36.732445,-172.87199,-0.87911081,63.690422,-0.87705928,63.707546,-36.868183,133.14978
4004687500,-36.814777,-172.68979,-0.87863582,63.526394,-0.87305415,63.55323,-36.923378,133.43945
4005000000,-36.953384,-173.38991,-0.87606752,63.349773,-0.87365609,63.404495,-36.830318,133.1216
4005312500,-36.953068,-172.99948,-0.87381667,63.183712,-0.87490904,63.254425,-36.837765,132.69757
4005625000,-37.117809,-172.82291,-0.87443966,63.057392,-0.8779155,63.061951,-36.815445,132.57607
4005937500,-37.003811,-172.90582,-0.87469542,62.883217,-0.876441,62.900246,-36.864613,132.8647
4006250000,-36.879181,-172.94528,-0.87099987,62.723808,-0.87508816,62.731632,-36.925373,132.43956
4006562500,-36.723442,-173.54329,-0.87349147,62.562641,-0.87326896,62.554638,-36.989353,131.86209
4006875000,-36.569542,-173.75916,-0.87290788,62.372337,-0.87520605,62.398819,-37.054935,131.07671
4007187500,-36.512447,-174.13667,-0.87158263,62.214676,-0.87601691,62.241322,-37.155128,131.16843
4007500000,-36.551044,-173.70625,-0.87526071,62.059361,-0.87872648,62.080471,-37.139343,130.64688
4007812500,-36.56115,-173.6757,-0.87540489,61.893456,-0.87704277,61.927036,-37.200752,131.19505
4008125000,-36.712444,-172.86702,-0.87543744,61.751537,-0.87733322,61.773651,-37.155411,131.48286
4008437500,-36.760353,-172.65901,-0.87830764,61.60033,-0.87847185,61.60656,-37.134117,132.41959
4008750000,-36.993847,-172.38734,-0.87753958,61.416317,-0.88041848,61.421604,-37.177635,133.37915
4009062500,-36.923527,-172.39992,-0.8791405,61.238861,-0.87823826,61.261055,-37.171349,132.09503
4009375000,-36.947834,-172.12309,-0.87736231,61.097244,-0.87889296,61.109634,-37.319687,131.87282
4009687500,-36.948849,-172.20105,-0.87782013,60.950104,-0.87910271,60.964424,-37.434711,130.46002
4010000000,-37.010288,-172.31755,-0.8754968,60.786915,-0.87670881,60.775433,-37.469723,128.80486
4010312500,-36.964966,-171.42226,-0.87463427,60.609291,-0.87745637,60.620438,-37.528797,127.32372
4010625000,-37.084152,-172.32607,-0.87580979,60.437962,-0.87834382,60.448566,-37.507835,127.66259
4010937500,-37.122047,-173.4093,-0.87589306,60.26548,-0.87573314,60.298214,-37.394989,127.29993
4011250000,-37.104671,-173.04079,-0.87743169,60.108341,-0.87747097,60.119019,-37.348946,128.00377
4011562500,-37.095604,-173.12373,-0.87619138,59.940388,-0.87715125,59.943989,-37.435715,128.48149
4011875000,-37.112411,-173.62839,-0.8769756,59.774639,-0.87852281,59.795773,-37.459641,128.87253
4012187500,-37.205345,-173.82983,-0.87508625,59.60004,-0.88370162,59.618454,-37.516552,128.81247
4012500000,-37.204754,-173.78006,-0.87990063,59.433964,-0.87552565,59.46283,-37.685883,127.4861
4012812500,-37.335426,-173.32581,-0.8779332,59.261753,-0.87988126,59.278679,-37.811123,127.6469
4013125000,-37.380375,-174.00351,-0.87830067,59.087769,-0.87597108,59.153141,-37.899158,126.74319
4013437500,-37.466583,-173.66562,-0.877267,58.94043,-0.87606025,58.966129,-37.960297,126.56927
4013750000,-37.331684,-174.7083,-0.88049632,58.797398,-0.88086331,58.803154,-38.038651,126.95997
4014062500,-37.353943,-175.26582,-0.87970579,58.64283,-0.88037723,58.622265,-37.986694,127.46186
4014375000,-37.29311,-175.22217,-0.8773393,58.485409,-0.87784427,58.496548,-37.898758,128.23711
4014687500,-37.355312,-175.47874,-0.87974542,58.304913,-0.8780157,58.314323,-38.03083,128.46599
4015000000,-37.370659,-175.60527,-0.87705559,58.157646,-0.87915099,58.168377,-37.932755,127.89951
4015312500,-37.315224,-175.45764,-0.87859249,58.005203,-0.87975907,57.985363,-37.948223,127.43452
4015625000,-37.285828,-175.5143,-0.87780243,57.835228,-0.8796742,57.838528,-37.962345,126.00833
4015937500,-37.392868,-174.03549,-0.87534237,57.658859,-0.88061547,57.652977,-37.995243,125.67886
4016250000,-37.300316,-174.28528,-0.87873733,57.496593,-0.88037902,57.471058,-38.00536,125.30951
4016562500,-37.39209,-174.50485,-0.88040006,57.329159,-0.87544262,57.305286,-38.020103,124.84873
4016875000,-37.470524,-174.37198,-0.87599695,57.161003,-0.8772617,57.165104,-38.054897,124.15643
4017187500,-37.621639,-175.30249,-0.88099158,57.001221,-0.87473643,56.976116,-38.089405,124.25677
4017500000,-37.64621,-174.98582,-0.87690961,56.8442,-0.87491554,56.811333,-38.116089,123.6027
4017812500,-37.780022,-175.58542,-0.87730676,56.681351,-0.87593895,56.660267,-38.159588,123.39801
4018125000,-37.796635,-175.83189,-0.88097113,56.508308,-0.87913775,56.495522,-38.263481,124.59541
4018437500,-37.623894,-175.17606,-0.88008964,56.361137,-0.87645286,56.333481,-38.521687,124.81253
4018750000,-37.862034,-176.02065,-0.87905288,56.181301,-0.87747967,56.172882,-38.671124,124.97983
4019062500,-37.825943,-176.49773,-0.87781584,56.007,-0.87775087,56.0331,-38.854397,125.03513
4019375000,-37.765152,-177.04057,-0.88125157,55.83963,-0.8783716,55.857452,-38.856052,124.37452
4019687500,-37.799179,-177.17506,-0.874255,55.687382,-0.87790322,55.709385,-38.594952,123.37569
4020000000,-37.772175,-177.832,-0.87623221,55.5224,-0.87829709,55.543945,-38.552383,122.74406
4020312500,-37.845219,-178.2632,-0.87462795,55.384251,-0.8779093,55.388451,-38.227501,122.95401
4020625000,-37.744305,-178.3593,-0.87375373,55.20723,-0.87871403,55.216202,-38.102814,122.35884
4020937500,-37.857136,-178.07086,-0.87515152,55.018787,-0.87992978,55.051231,-38.104153,122.46502
4021250000,-37.980217,-177.91245,-0.87727851,54.860607,-0.87712288,54.893692,-38.298359,123.49834
4021562500,-37.887119,-177.74594,-0.87897438,54.705948,-0.87993419,54.740639,-38.435642,123.22388
4021875000,-37.987774,-176.78235,-0.87675035,54.546223,-0.87657666,54.567429,-38.638084,123.14192
4022187500,-37.87532,-177.007,-0.87804747,54.367428,-0.8757143,54.38884,-38.729843,123.15539
4022500000,-37.912941,-177.06114,-0.87517136,54.208988,-0.8795175,54.244839,-38.834751,122.64756
4022812500,-38.032772,-177.92932,-0.87566155,54.043182,-0.88093537,54.05323,-38.769321,122.518
4023125000,-38.127811,-178.14705,-0.87601966,53.902,-0.88079268,53.906818,-38.91264,122.6714
4023437500,-38.195393,-178.50377,-0.87370878,53.714058,-0.88172334,53.769119,-38.919853,122.52856
4023750000,-38.264164,-178.31084,-0.87408799,53.591167,-0.88207203,53.590271,-38.899471,121.58022
4024062500,-38.187389,-178.75047,-0.87711251,53.402214,-0.87957591,53.387028,-38.598736,123.20715
4024375000,-38.40971,-177.88211,-0.87704521,53.237709,-0.8780582,53.241657,-38.802803,123.9623
4024687500,-38.332664,-178.10054,-0.87982899,53.079407,-0.8743971,53.059036,-38.70084,124.63271
4025000000,-38.369995,-177.34094,-0.87842822,52.917217,-0.87549126,52.915108,-38.761105,124.83731
4025312500,-38.391747,-177.88835,-0.88072091,52.741024,-0.8758378,52.759785,-38.786831,124.48676
4025625000,-38.378441,-178.15706,-0.88300246,52.593166,-0.8788656,52.595123,-38.957161,123.44323
4025937500,-38.524193,-178.02942,-0.88155836,52.448288,-0.87714535,52.417831,-39.078857,124.50661
4026250000,-38.635754,-177.67435,-0.88287771,52.28706,-0.87838376,52.272881,-39.321381,123.73191
4026562500,-38.553684,-178.07045,-0.87940013,52.11351,-0.8775236,52.100475,-39.439072,124.53003
4026875000,-38.467884,-178.86137,-0.87905806,51.951771,-0.88072401,51.944946,-39.382286,123.58222
4027187500,-38.408646,-179.20518,-0.87878931,51.776669,-0.87737632,51.798557,-39.377647,123.95512
4027500000,-38.43,-179.9536,-0.87889987,51.610126,-0.87978745,51.607674,-39.28447,122.64339
4027812500,-38.380337,179.5009,-0.87852418,51.464535,-0.8843118,51.464981,-39.114296,122.27832
4028125000,-38.438904,179.80438,-0.87596166,51.285442,-0.88237458,51.295174,-39.147022,121.63039
4028437500,-38.423172,179.87975,-0.87721884,51.127449,-0.87977165,51.128513,-39.096264,120.83083
4028750000,-38.5406,179.67816,-0.87676454,50.974472,-0.88138336,50.959702,-39.097946,120.82835
4029062500,-38.425415,-179.73534,-0.87659246,50.796299,-0.87625855,50.809887,-39.33477,120.30244
4029375000,-38.383141,179.32179,-0.87793458,50.613369,-0.88090903,50.647709,-39.249989,120.58257
4029687500,-38.582546,-179.95076,-0.88026106,50.462456,-0.88056868,50.504551,-39.328644,119.64545
4030000000,-38.69849,179.31995,-0.87972474,50.305298,-0.87730908,50.321259,-39.454727,120.27868
4030312500,-38.790878,178.6662,-0.88311762,50.158932,-0.88145858,50.132965,-39.6059,120.30997
4030625000,-38.737736,177.74147,-0.8795889,49.948521,-0.88017088,49.978874,-39.732624,120.23128
4030937500,-38.974777,178.36391,-0.88103044,49.809887,-0.87988114,49.832584,-39.838558,119.97457
4031250000,-38.889534,178.84227,-0.87897569,49.635784,-0.88161522,49.639786,-39.670525,120.36866
4031562500,-38.945152,178.93257,-0.87744153,49.466789,-0.87715602,49.497246,-39.868599,120.51353
4031875000,-38.990471,179.54749,-0.87756747,49.321098,-0.87709463,49.319191,-39.78091,119.5546
4032187500,-38.961376,179.35718,-0.8788057,49.132202,-0.87998098,49.153629,-39.744732,118.4612
4032500000,-39.008667,-179.50233,-0.8775667,48.987682,-0.87843096,49.005638,-39.805035,118.72797
4032812500,-38.836872,-178.97813,-0.87658989,48.809917,-0.87807959,48.822315,-39.723873,118.85699
4033125000,-38.685989,-179.13528,-0.87588376,48.641251,-0.88059354,48.681736,-39.705009,118.59733
4033437500,-38.746876,-178.53201,-0.878447,48.493256,-0.88217402,48.53133,-39.966305,117.49265
4033750000,-38.787079,-179.48111,-0.8781386,48.3358,-0.88161999,48.370575,-39.914669,117.95905
4034062500,-38.777912,-179.00671,-0.87758338,48.173244,-0.87696171,48.195541,-39.905865,118.61492
4034375000,-39.047859,-179.72635,-0.87679857,47.989872,-0.87879401,48.056084,-39.914719,117.86948
4034687500,-39.11055,179.82153,-0.87739694,47.861771,-0.87714541,47.876572,-39.943916,117.89825
4035000000,-39.29018,179.82249,-0.8777054,47.700233,-0.87977052,47.706257,-39.875423,117.76859
4035312500,-39.480553,-179.34692,-0.87673438,47.542656,-0.87861598,47.560944,-39.903965,116.89001
4035625000,-39.50988,-179.02454,-0.87774771,47.392311,-0.87609726,47.374714,-39.756256,117.15234
4035937500,-39.526291,179.95596,-0.8775692,47.210033,-0.87817866,47.231915,-39.844231,116.77962
4036250000,-39.598812,-179.29402,-0.87621784,47.047844,-0.88168985,47.042213,-39.914883,115.7061
4036562500,-39.514267,179.74207,-0.87672877,46.894962,-0.87995458,46.889065,-39.906509,116.46162
4036875000,-39.564556,178.97339,-0.87859851,46.726505,-0.87761778,46.727695,-39.975651,115.2625
4037187500,-39.724037,179.26767,-0.87792856,46.561718,-0.8760345,46.548454,-40.136379,115.29444
4037500000,-39.701866,178.32658,-0.878649,46.388931,-0.87808895,46.381229,-40.240055,116.23426
4037812500,-39.756954,177.62349,-0.88066667,46.256584,-0.87359667,46.218166,-40.346474,117.02702
4038125000,-39.770039,177.1311,-0.8843022,46.074638,-0.87501889,46.053921,-40.299946,118.35958
4038437500,-39.78756,176.29622,-0.88321722,45.908169,-0.87797314,45.925713,-40.477512,119.83859
4038750000,-39.653187,177.22423,-0.88381845,45.734035,-0.87671876,45.733009,-40.494831,120.29505
4039062500,-39.525349,177.61902,-0.88229501,45.588295,-0.87805939,45.573421,-40.469421,118.97398
4039375000,-39.560684,177.07713,-0.88243055,45.39698,-0.87844533,45.454315,-40.689987,119.082
4039687500,-39.48592,176.59912,-0.88226825,45.206333,-0.8851251,45.252495,-40.816071,118.14606
4040000000,-39.541073,177.17044,-0.88231844,45.039448,-0.88076961,45.08511,-40.847412,117.17862
4040312500,-39.586735,176.53853,-0.88000709,44.875275,-0.88117993,44.920063,-40.661842,116.91231
4040625000,-39.816711,177.03055,-0.87973136,44.715496,-0.88048267,44.760765,-40.791424,116.98068
4040937500,-39.997616,177.56882,-0.88278073,44.578766,-0.88076651,44.581394,-40.831875,116.66104
