!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, January 28, 2014 15:48:28
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-31.358049,37.142799,-0.34467497,-49.73576,-0.34336373,-49.740322,-31.248293,29.194565
1001484375,-31.28141,37.497108,-0.34581456,-50.36689,-0.34124905,-50.334114,-31.24365,29.3584
1002968750,-31.169416,36.318726,-0.34649867,-50.957268,-0.34201947,-50.94017,-31.11278,26.854429
1004453125,-31.105227,34.566212,-0.34477323,-51.56345,-0.34741148,-51.544075,-31.13636,26.501337
1005937500,-31.124569,34.434757,-0.34054926,-52.160622,-0.34593162,-52.169071,-31.231066,27.454447
1007421875,-31.109705,34.117069,-0.34360194,-52.776318,-0.34090745,-52.753395,-31.189013,27.142246
1008906250,-30.949966,33.245876,-0.34927133,-53.362648,-0.34158018,-53.359741,-31.001724,25.286501
1010390625,-31.00387,32.498394,-0.34777868,-53.967434,-0.34739861,-53.994209,-30.954998,24.943422
1011875000,-31.029722,31.587095,-0.3479448,-54.587814,-0.34459916,-54.580242,-30.918228,24.599436
1013359375,-31.042358,32.459248,-0.34609383,-55.195724,-0.34616265,-55.176205,-30.878553,22.81348
1014843750,-30.916819,30.340569,-0.34619498,-55.792553,-0.34644315,-55.782043,-30.961685,21.745432
1016328125,-30.918972,30.650406,-0.35115364,-56.387451,-0.34543854,-56.409187,-30.971601,20.63673
1017812500,-30.807837,29.569439,-0.3471069,-57.026031,-0.34893304,-57.00827,-30.789215,20.145618
1019296875,-30.732077,29.303589,-0.34436637,-57.622208,-0.34690419,-57.604477,-30.990416,19.956541
1020781250,-30.794172,28.900023,-0.34652892,-58.210075,-0.34702316,-58.220848,-30.698421,18.319195
1022265625,-30.903843,28.480125,-0.34996426,-58.829731,-0.34556863,-58.816353,-30.871494,18.76652
1023750000,-30.6791,27.728363,-0.34558535,-59.438889,-0.34926504,-59.445618,-30.772745,17.876802
1025234375,-30.669859,27.298538,-0.34893966,-60.053257,-0.34936634,-60.034008,-30.706974,16.660921
1026718750,-30.707947,26.145046,-0.34683448,-60.646973,-0.34833264,-60.630661,-30.701529,15.762643
1028203125,-30.729357,26.482212,-0.35034332,-61.267666,-0.34650418,-61.238724,-30.742437,15.940619
1029687500,-30.852993,24.898617,-0.34733939,-61.870792,-0.34952822,-61.858818,-30.669798,15.782104
1031171875,-30.526356,25.763073,-0.34883124,-62.452545,-0.35102171,-62.470509,-30.666847,12.507508
1032656250,-30.669033,24.628445,-0.34762171,-63.064068,-0.35001817,-63.071976,-30.688879,13.151593
1034140625,-30.737295,24.805559,-0.35177618,-63.683025,-0.34951162,-63.68401,-30.576254,12.366242
1035625000,-30.528046,24.514099,-0.35088703,-64.265152,-0.34946427,-64.278618,-30.429871,11.905776
1037109375,-30.634056,23.575079,-0.34461874,-64.890747,-0.34943745,-64.885559,-30.678087,10.287983
1038593750,-30.697004,22.502367,-0.35271063,-65.47818,-0.34763414,-65.48555,-30.447884,9.1655369
1040078125,-30.650293,22.494593,-0.35014844,-66.107201,-0.3500483,-66.10379,-30.413193,9.339571
1041562500,-30.637953,23.83511,-0.35081875,-66.712463,-0.34905684,-66.68174,-30.314644,8.4124479
1043046875,-30.552353,21.343828,-0.35314357,-67.309227,-0.35320416,-67.327057,-30.324501,7.4740167
1044531250,-30.58322,21.458067,-0.35192984,-67.935547,-0.34912664,-67.915009,-30.3123,6.8353677
1046015625,-30.451805,21.258539,-0.35275906,-68.512108,-0.35271764,-68.542046,-30.364017,5.780817
1047500000,-30.589762,20.233223,-0.34960157,-69.143715,-0.35540715,-69.152588,-30.379126,5.85502
1048984375,-30.430973,20.354637,-0.35293236,-69.727837,-0.35129684,-69.751305,-30.435497,4.4913774
1050468750,-30.481432,19.594355,-0.3534939,-70.343735,-0.35013759,-70.341721,-30.346241,4.7427621
