!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, January 28, 2014 16:27:26
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-31.621069,37.284939,-0.34535724,-37.595825,-0.34132159,-37.591919,-31.800903,50.445084
1001484375,-31.574932,37.650543,-0.34371915,-38.202148,-0.34295171,-38.172585,-31.758337,50.285271
1002968750,-31.428032,36.564629,-0.34592086,-38.755924,-0.34022677,-38.770859,-31.663691,48.040367
1004453125,-31.256075,35.103371,-0.34522462,-39.356884,-0.34852418,-39.351219,-31.610861,47.962093
1005937500,-31.298607,34.718796,-0.34356469,-39.947052,-0.34837398,-39.971485,-31.720619,48.807953
1007421875,-31.237942,34.367077,-0.34632584,-40.534889,-0.34177589,-40.52948,-31.648129,48.796322
1008906250,-31.062704,33.766129,-0.35016233,-41.124474,-0.34372118,-41.119267,-31.454073,46.782127
1010390625,-31.067949,32.578896,-0.34811398,-41.697094,-0.34766728,-41.742893,-31.380663,46.948307
1011875000,-31.078671,31.710127,-0.34811977,-42.302391,-0.34697554,-42.296009,-31.305912,46.84412
1013359375,-31.146524,32.075695,-0.34483513,-42.893997,-0.34436736,-42.875191,-31.268709,45.103115
1014843750,-30.865063,30.041031,-0.34711862,-43.459888,-0.34887719,-43.464523,-31.387627,44.090321
1016328125,-30.915388,30.387867,-0.35224065,-44.056053,-0.34703022,-44.077892,-31.358438,42.858521
1017812500,-30.777925,29.45904,-0.34762579,-44.644726,-0.34819883,-44.668121,-31.104761,42.821259
1019296875,-30.702423,29.235723,-0.34530815,-45.233025,-0.34737855,-45.246574,-31.376688,42.698792
1020781250,-30.757542,28.334427,-0.34520978,-45.821526,-0.35125992,-45.824215,-31.066097,41.255486
1022265625,-30.882,27.647175,-0.3496106,-46.426468,-0.34870684,-46.421474,-31.256863,41.596786
1023750000,-30.608534,27.447447,-0.34663352,-46.982384,-0.35208932,-47.035393,-31.161606,40.729164
1025234375,-30.593847,26.383806,-0.35049295,-47.584984,-0.35062444,-47.622036,-31.053959,40.278122
1026718750,-30.593302,25.239613,-0.34764445,-48.175476,-0.34865573,-48.188076,-31.038923,39.042515
1028203125,-30.640404,25.411903,-0.34930685,-48.795612,-0.35028222,-48.76688,-31.0646,39.303074
1029687500,-30.67235,23.399128,-0.34702897,-49.360126,-0.35259649,-49.352158,-31.04933,39.298328
1031171875,-30.493181,24.607229,-0.34956104,-49.924652,-0.34939072,-49.949783,-31.067392,36.179893
1032656250,-30.556976,23.085442,-0.3488687,-50.504654,-0.35037988,-50.522427,-31.096088,36.690414
1034140625,-30.663778,22.882278,-0.35224074,-51.143261,-0.34765431,-51.132511,-30.954142,36.449741
1035625000,-30.463524,22.945784,-0.35020912,-51.686943,-0.35318318,-51.722176,-30.791956,36.099491
1037109375,-30.495108,21.543226,-0.34942132,-52.293873,-0.35045543,-52.30386,-31.057093,34.306927
1038593750,-30.557337,20.35297,-0.34939012,-52.893257,-0.35087338,-52.869312,-30.818228,33.524616
1040078125,-30.499598,20.011709,-0.3515195,-53.469074,-0.35067046,-53.476311,-30.776808,33.768948
1041562500,-30.604177,21.118017,-0.35323903,-54.054409,-0.35063124,-54.071751,-30.67868,32.917908
1043046875,-30.38113,19.070454,-0.35176665,-54.643059,-0.35594669,-54.632244,-30.706936,31.942186
1044531250,-30.462053,19.027933,-0.35145944,-55.223736,-0.35174578,-55.246643,-30.703695,31.583643
1046015625,-30.361195,18.9114,-0.3505922,-55.823204,-0.35377043,-55.836613,-30.719339,30.581495
1047500000,-30.402805,17.39678,-0.34870243,-56.421352,-0.35636765,-56.416454,-30.719015,30.821867
1048984375,-30.32378,17.95228,-0.35173336,-56.972229,-0.35452217,-57.023415,-30.781591,29.383963
1050468750,-30.301048,17.058014,-0.356372,-57.580475,-0.35506698,-57.590694,-30.723301,29.439301
1051953125,-30.339802,15.990666,-0.35653049,-58.173035,-0.35334709,-58.164436,-30.692171,28.086485
1053437500,-30.361027,15.590019,-0.35488459,-58.760159,-0.35132214,-58.786018,-30.657045,26.633545
1054921875,-30.335564,15.438055,-0.35249609,-59.355801,-0.3543312,-59.366825,-30.723585,26.921497
1056406250,-30.407772,14.780416,-0.35519844,-59.921585,-0.35276806,-59.946255,-30.471304,26.018314
1057890625,-30.307171,13.889676,-0.3509841,-60.531322,-0.35704556,-60.55085,-30.609249,25.5728
1059375000,-30.171879,13.118824,-0.35442829,-61.129669,-0.35766163,-61.123077,-30.640816,24.60655
1060859375,-30.40324,12.390722,-0.35451788,-61.707714,-0.35385349,-61.707706,-30.591606,25.091831
1062343750,-30.353964,12.125033,-0.35435861,-62.275711,-0.35603413,-62.299175,-30.668968,23.18404
1063828125,-30.289474,11.649797,-0.35641962,-62.858723,-0.35639706,-62.894897,-30.604145,22.482006
