!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, January 28, 2014 15:42:56
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-23.551991,-108.65137,-0.7337743,61.118385,-0.73884296,61.063503,-24.814425,53.239613
4000312500,-23.627258,-109.09666,-0.77031958,59.243763,-0.71590239,60.912548,-24.781534,50.851025
4000625000,-23.56728,-109.13171,-0.75511402,59.643787,-0.72520417,60.781731,-24.81201,51.246662
4000937500,-23.579922,-109.09529,-0.74567837,60.043072,-0.73151743,60.663296,-24.823286,51.655342
4001250000,-23.590286,-109.2324,-0.73918331,60.374008,-0.73315942,60.535442,-24.865637,51.980125
4001562500,-23.595442,-109.13333,-0.73606265,60.473896,-0.73599672,60.402149,-24.852652,51.900246
4001875000,-23.591255,-109.21529,-0.73348534,60.398865,-0.73600566,60.237202,-24.831366,51.731186
4002187500,-23.598581,-109.05084,-0.73673087,60.227238,-0.73697132,60.117947,-24.830193,51.59544
4002500000,-23.582027,-109.13673,-0.7394557,60.037766,-0.73695982,59.957294,-24.814842,51.203415
4002812500,-23.567884,-109.0752,-0.73503482,59.831352,-0.73901904,59.821972,-24.792505,51.038273
4003125000,-23.601286,-109.16637,-0.73357093,59.706429,-0.73804796,59.687447,-24.820326,50.621834
4003437500,-23.613266,-109.21262,-0.73346752,59.559818,-0.73805219,59.56002,-24.837963,50.465858
4003750000,-23.64064,-109.13312,-0.7331329,59.430275,-0.73875552,59.419628,-24.850307,50.0583
4004062500,-23.651964,-109.14799,-0.73412377,59.292183,-0.73798579,59.292217,-24.852602,49.920197
4004375000,-23.661625,-109.01604,-0.73502165,59.165047,-0.73461491,59.163406,-24.852894,49.661362
4004687500,-23.681156,-109.10658,-0.73378456,59.040764,-0.73675239,59.032562,-24.876905,49.343533
4005000000,-23.667091,-109.06297,-0.73623133,58.890854,-0.73720956,58.880432,-24.887308,49.007683
4005312500,-23.660063,-109.18688,-0.73451316,58.747776,-0.73653322,58.752251,-24.893581,48.970741
4005625000,-23.63073,-109.22324,-0.73595828,58.622913,-0.73497218,58.615536,-24.893562,48.853035
4005937500,-23.618542,-109.14255,-0.73707408,58.475578,-0.73754168,58.488087,-24.924263,48.666882
4006250000,-23.631044,-109.1896,-0.73722243,58.328472,-0.73495436,58.35265,-24.927586,48.397335
4006562500,-23.622931,-109.1239,-0.73804152,58.204037,-0.73459947,58.234596,-24.966793,48.047565
4006875000,-23.628397,-109.07767,-0.73752028,58.071308,-0.73432809,58.101585,-24.979269,47.805058
4007187500,-23.657181,-109.14235,-0.73607099,57.938004,-0.73708189,57.94199,-24.99194,47.620705
4007500000,-23.637291,-109.27269,-0.73700362,57.795792,-0.73611748,57.823597,-24.99037,47.300045
4007812500,-23.644814,-109.41216,-0.73494154,57.67543,-0.73620003,57.684753,-24.965197,47.11792
4008125000,-23.638454,-109.65261,-0.73592317,57.527973,-0.73804444,57.554214,-24.942066,46.867157
4008437500,-23.649,-109.71144,-0.73709249,57.385262,-0.74011171,57.417309,-24.976126,46.508495
4008750000,-23.673714,-109.88488,-0.73466039,57.272663,-0.741409,57.285725,-24.962435,46.40781
4009062500,-23.674906,-109.85078,-0.73697358,57.118141,-0.74095726,57.135117,-24.958252,46.084156
4009375000,-23.658752,-109.93923,-0.73316288,56.989014,-0.73783427,57.006836,-24.94615,45.882389
4009687500,-23.660686,-109.74293,-0.73551857,56.860596,-0.73906213,56.875114,-24.955883,45.601719
4010000000,-23.684406,-109.81797,-0.73459548,56.716286,-0.73856968,56.728107,-24.959656,45.409229
4010312500,-23.672989,-109.76575,-0.73741239,56.573044,-0.73524302,56.576221,-24.943544,45.189617
4010625000,-23.68532,-109.6945,-0.73488504,56.451225,-0.73791581,56.456417,-24.951927,44.91254
4010937500,-23.706671,-109.74344,-0.73581392,56.315636,-0.7387858,56.322701,-24.949579,44.530563
4011250000,-23.732281,-109.57336,-0.73527783,56.170071,-0.73686302,56.18618,-24.966608,44.465321
4011562500,-23.75572,-109.57269,-0.73850447,56.0242,-0.73325151,56.060612,-24.960648,44.185654
4011875000,-23.752323,-109.62107,-0.73367077,55.894985,-0.73349023,55.925945,-24.962742,43.976669
4012187500,-23.745804,-109.63482,-0.73485512,55.769279,-0.73775226,55.7859,-24.978493,43.686932
4012500000,-23.747353,-109.51821,-0.73462462,55.632839,-0.73965526,55.639305,-25.011946,43.169502
4012812500,-23.731855,-109.77091,-0.73489088,55.505119,-0.73780966,55.499855,-25.019682,42.984428
4013125000,-23.747108,-109.83186,-0.7354008,55.387966,-0.73989141,55.377193,-25.081333,42.662178
4013437500,-23.751007,-109.95449,-0.73680955,55.250828,-0.73798209,55.24744,-25.045786,42.402283
4013750000,-23.756542,-109.79771,-0.73760611,55.110653,-0.73747176,55.093338,-25.060814,42.148548
4014062500,-23.732641,-109.7745,-0.73781908,54.966026,-0.73306119,54.969814,-25.042501,42.035915
4014375000,-23.738098,-109.92103,-0.73740429,54.823143,-0.73201466,54.816841,-25.040257,41.787724
4014687500,-23.729197,-109.8965,-0.73812741,54.682941,-0.73298848,54.698021,-25.021103,41.755974
