!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, February 11, 2014 11:35:25
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-35.243469,-89.922867,-0.25854266,51.706905,-0.25490418,51.685867,-38.428738,-10.607338
1001484375,-35.377625,-89.669441,-0.25642726,51.23867,-0.25652948,51.245934,-38.442787,-11.110966
1002968750,-35.059052,-89.381149,-0.25688028,50.771641,-0.2554563,50.744911,-38.784771,-11.11401
1004453125,-35.239552,-90.287727,-0.25540495,50.333607,-0.25680941,50.301083,-38.257481,-12.260548
1005937500,-35.510414,-91.11393,-0.25929239,49.872307,-0.25484803,49.844082,-38.384716,-11.663863
1007421875,-35.441895,-92.139137,-0.25786233,49.409668,-0.25515088,49.392128,-38.465656,-12.3752
1008906250,-35.809608,-93.292488,-0.26115394,48.967129,-0.25196692,48.933598,-38.787262,-15.032133
1010390625,-35.590172,-94.944641,-0.26104507,48.530045,-0.25583994,48.477734,-39.045547,-12.959341
1011875000,-35.579182,-93.789101,-0.2598843,48.054558,-0.25582784,48.030769,-38.653187,-10.216184
1013359375,-35.455166,-95.465439,-0.25859836,47.603176,-0.25720862,47.591122,-38.455086,-10.218554
1014843750,-35.84351,-96.700981,-0.256906,47.129761,-0.25735065,47.114422,-38.649429,-10.787596
1016328125,-35.936146,-96.016884,-0.26082405,46.691051,-0.25683177,46.646866,-39.06744,-13.423932
1017812500,-35.770065,-97.79364,-0.25925127,46.237732,-0.25770277,46.187771,-38.709721,-10.39287
1019296875,-35.974525,-99.582733,-0.25689152,45.760189,-0.26111105,45.734703,-38.678577,-12.282434
1020781250,-35.93446,-100.479,-0.25615153,45.310833,-0.25780666,45.267807,-39.324776,-11.638571
1022265625,-36.084568,-99.35154,-0.25905195,44.846447,-0.25920954,44.835567,-38.903973,-9.7396736
1023750000,-36.073723,-100.22169,-0.25971028,44.399857,-0.25909412,44.366447,-39.342789,-11.080417
1025234375,-36.183586,-101.30257,-0.25940526,43.925026,-0.25769123,43.921589,-39.583633,-10.274564
1026718750,-36.135475,-101.30807,-0.26130551,43.488457,-0.25833851,43.452557,-39.474236,-9.1926718
1028203125,-36.037277,-103.70742,-0.25957021,43.052334,-0.25816563,42.984493,-39.830006,-11.020876
1029687500,-36.147476,-103.04604,-0.26070157,42.58197,-0.2585634,42.558872,-39.489201,-11.432065
1031171875,-36.055065,-103.99823,-0.26223511,42.129227,-0.26101333,42.086353,-39.757008,-10.766794
1032656250,-36.169193,-105.24662,-0.26074675,41.664009,-0.25795075,41.636364,-39.626446,-8.5393696
1034140625,-36.334637,-105.2881,-0.26063335,41.196976,-0.25873479,41.188126,-39.588444,-9.2357721
1035625000,-36.235302,-106.27817,-0.26128659,40.750626,-0.2584922,40.730602,-39.560898,-8.5803118
1037109375,-36.321987,-106.97456,-0.26240873,40.293888,-0.25732231,40.274338,-39.823151,-10.163647
1038593750,-36.448383,-108.33429,-0.26205185,39.81823,-0.25993937,39.832832,-39.733253,-8.1250563
1040078125,-36.561089,-110.95207,-0.26262221,39.389408,-0.2569055,39.349827,-39.899044,-8.0029545
1041562500,-36.367702,-109.27165,-0.26061416,38.930214,-0.25984585,38.902176,-39.627827,-8.0432339
1043046875,-36.406227,-112.58545,-0.26167166,38.481815,-0.25867632,38.46159,-40.220303,-10.223669
1044531250,-36.587276,-112.55078,-0.26178867,38.009739,-0.26318306,38.006042,-39.835178,-10.831305
1046015625,-36.564899,-112.81339,-0.26138565,37.547195,-0.26108113,37.534367,-39.744762,-8.8971767
1047500000,-36.650753,-114.01937,-0.26304367,37.088566,-0.25706413,37.083359,-40.060684,-6.8628597
1048984375,-36.724735,-113.64024,-0.26282191,36.65424,-0.26001132,36.60022,-39.872665,-11.960227
1050468750,-36.735065,-114.9716,-0.26007771,36.179207,-0.25975963,36.152,-40.065548,-10.162378
1051953125,-36.877068,-115.82758,-0.26192716,35.726151,-0.25805062,35.677471,-39.869118,-5.0581427
1053437500,-36.730751,-115.38177,-0.26312128,35.283279,-0.26058102,35.242092,-39.990974,-8.3785877
1054921875,-36.849823,-118.10294,-0.26277921,34.820354,-0.26339003,34.790081,-40.274101,-6.9303875
1056406250,-36.633877,-119.71809,-0.26345241,34.345078,-0.26179725,34.340797,-40.054291,-8.9118309
1057890625,-36.691753,-117.65742,-0.26213247,33.88575,-0.25984436,33.868137,-40.198032,-6.0583258
1059375000,-36.87122,-122.13972,-0.26078323,33.451679,-0.26410303,33.444214,-40.628273,-6.8461905
1060859375,-37.030384,-121.66457,-0.26491734,32.980282,-0.26101929,32.969677,-40.256191,-6.7097664
1062343750,-37.141983,-122.59034,-0.26280534,32.540089,-0.26379868,32.509979,-40.2934,-7.6402507
1063828125,-37.016937,-125.33701,-0.26400268,32.064339,-0.26241946,32.068634,-40.664383,-5.6610708
1065312500,-37.120941,-123.83584,-0.26305315,31.634172,-0.26017094,31.603029,-40.633137,-4.2899227
