!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, April 02, 2014 17:51:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
4000000000,-28.777283,-5.7061191,-0.58514816,23.437023,-0.59236389,23.643099,-26.984308,-128.12013
4000312500,-29.107836,-2.879071,-0.57614875,23.468586,-0.57726246,23.544935,-27.186563,-129.99338
4000625000,-28.987686,-4.1124253,-0.57625163,23.306898,-0.58201927,23.438911,-27.152351,-129.3172
4000937500,-28.914356,-5.2565608,-0.5798403,23.180786,-0.58625078,23.303528,-27.091402,-128.67055
4001250000,-28.852606,-6.4032307,-0.58267075,23.025331,-0.58957297,23.205051,-27.08634,-128.2345
4001562500,-28.761103,-6.9112344,-0.58101225,22.896738,-0.59147644,23.064522,-27.058727,-127.84528
4001875000,-28.769442,-7.2090673,-0.58213359,22.770514,-0.59131259,22.973223,-27.054005,-127.55849
4002187500,-28.787247,-7.7415509,-0.58086061,22.693205,-0.59075272,22.846062,-27.103575,-127.68151
4002500000,-28.792614,-7.7153068,-0.58173347,22.56946,-0.59238887,22.736864,-27.134151,-127.55672
4002812500,-28.83666,-8.0418348,-0.58340615,22.479689,-0.59040576,22.651333,-27.167576,-127.74915
4003125000,-28.805189,-8.3130579,-0.58314764,22.354881,-0.59083205,22.526896,-27.172644,-127.53155
4003437500,-28.812246,-8.5138988,-0.58307892,22.262197,-0.59080487,22.417416,-27.186197,-127.30499
4003750000,-28.796099,-8.7785101,-0.58664405,22.148302,-0.58961189,22.306652,-27.168697,-127.07093
4004062500,-28.785835,-8.8843822,-0.58154291,22.027124,-0.58941805,22.177135,-27.145643,-127.10037
4004375000,-28.79143,-9.2563925,-0.58149236,21.930668,-0.58889478,22.050556,-27.101068,-126.94469
4004687500,-28.745258,-9.3797617,-0.58218962,21.839148,-0.59114468,21.969942,-27.149521,-127.3055
4005000000,-28.68013,-9.2698278,-0.58017713,21.688656,-0.59292871,21.839727,-27.152201,-127.2187
4005312500,-28.65011,-9.3894148,-0.57809758,21.584778,-0.59312475,21.759014,-27.167662,-127.37647
4005625000,-28.633101,-9.5334864,-0.57730603,21.460653,-0.59169817,21.663445,-27.177282,-127.21716
4005937500,-28.634008,-9.5621748,-0.57662541,21.372761,-0.5944587,21.553921,-27.167089,-127.56698
4006250000,-28.645607,-10.112215,-0.57927787,21.255533,-0.59429353,21.438307,-27.146473,-127.53335
4006562500,-28.665781,-10.138982,-0.58290493,21.148918,-0.58556092,21.313854,-27.104799,-127.5639
4006875000,-28.639843,-10.744554,-0.583332,21.044544,-0.58851159,21.20999,-27.094936,-127.4749
4007187500,-28.685543,-11.254932,-0.58266187,20.914631,-0.59202158,21.085493,-27.081026,-127.54899
4007500000,-28.682892,-11.930496,-0.58228964,20.825396,-0.58999705,20.964346,-27.070847,-127.4125
4007812500,-28.662163,-12.254443,-0.58476144,20.704065,-0.59375268,20.871618,-27.125139,-127.40934
4008125000,-28.642563,-12.6479,-0.58300954,20.580561,-0.5934791,20.767693,-27.186878,-127.39662
4008437500,-28.64773,-13.095833,-0.58094591,20.467165,-0.59673464,20.629152,-27.219528,-127.4346
4008750000,-28.644537,-13.306344,-0.57879364,20.384357,-0.59541571,20.521973,-27.235706,-127.29684
4009062500,-28.681864,-13.360173,-0.58642584,20.258148,-0.59419686,20.408073,-27.237972,-127.0945
4009375000,-28.643208,-13.730742,-0.58010352,20.145113,-0.59319746,20.321468,-27.210424,-127.21177
4009687500,-28.62356,-13.716573,-0.58276755,20.021782,-0.5923667,20.21241,-27.137571,-127.05807
4010000000,-28.625748,-13.898991,-0.58292675,19.90765,-0.59349155,20.090088,-27.081276,-127.24101
4010312500,-28.618225,-13.78883,-0.58203995,19.800676,-0.59177858,19.987946,-27.044264,-126.97734
4010625000,-28.605719,-14.145537,-0.58419776,19.69636,-0.59075028,19.884296,-27.058456,-126.9875
4010937500,-28.609018,-14.477368,-0.58148038,19.59021,-0.58978003,19.752693,-27.0944,-127.17138
4011250000,-28.621521,-14.451506,-0.58226305,19.482601,-0.59155118,19.661106,-27.142168,-127.24759
4011562500,-28.618011,-14.985103,-0.58366555,19.381256,-0.59019434,19.55105,-27.161709,-127.05714
4011875000,-28.623844,-15.242162,-0.58307874,19.269312,-0.59502757,19.40469,-27.204151,-127.22369
4012187500,-28.628244,-15.311819,-0.58290881,19.147671,-0.59547335,19.305651,-27.202971,-127.46215
4012500000,-28.652016,-15.483955,-0.58403367,19.043699,-0.59145355,19.225023,-27.189697,-127.41087
4012812500,-28.723263,-15.47393,-0.58406526,18.915804,-0.58996719,19.119576,-27.193699,-127.66197
4013125000,-28.728191,-15.64681,-0.58629209,18.819695,-0.5916205,19.008062,-27.178638,-127.92013
4013437500,-28.676992,-15.939117,-0.5816204,18.697931,-0.59406435,18.902674,-27.192261,-128.1496
4013750000,-28.674345,-15.953426,-0.58025169,18.587399,-0.59450895,18.787193,-27.214552,-128.23106
4014062500,-28.653784,-16.300978,-0.58075589,18.505398,-0.59235734,18.682796,-27.295906,-128.06763
4014375000,-28.643438,-16.525696,-0.57806885,18.372616,-0.59278077,18.557156,-27.311035,-128.20226
4014687500,-28.606548,-16.74299,-0.58043909,18.271275,-0.59617418,18.461367,-27.313271,-128.07114
4015000000,-28.620449,-16.734549,-0.58160996,18.159601,-0.59307808,18.311367,-27.321505,-127.83984
4015312500,-28.624754,-17.154358,-0.5821048,18.052984,-0.59185648,18.212868,-27.236177,-127.7239
4015625000,-28.625448,-17.367134,-0.58318681,17.94795,-0.59151632,18.141796,-27.205132,-127.3839
4015937500,-28.631149,-17.603289,-0.5848974,17.822355,-0.59134924,17.973862,-27.137499,-127.43823
4016250000,-28.653172,-17.923521,-0.5832293,17.710165,-0.59494603,17.888248,-27.102879,-127.32726
4016562500,-28.667841,-17.977688,-0.58472157,17.609112,-0.58927995,17.786709,-27.078592,-127.03896
4016875000,-28.69705,-17.847908,-0.5863238,17.488077,-0.5925985,17.653755,-27.043074,-127.05946
4017187500,-28.735771,-18.257963,-0.58277303,17.372099,-0.5925802,17.551708,-27.018007,-126.852
4017500000,-28.696716,-18.429998,-0.58487225,17.273718,-0.59146142,17.448904,-27.012314,-126.86475
4017812500,-28.730991,-18.59993,-0.58387542,17.141672,-0.59332371,17.325966,-27.015915,-127.09724
4018125000,-28.747822,-19.317633,-0.58437914,17.038776,-0.59283292,17.209875,-27.054447,-127.24177
4018437500,-28.700655,-19.791515,-0.5829801,16.934704,-0.59307235,17.10149,-27.081236,-127.27425
4018750000,-28.690056,-20.404684,-0.58279258,16.828672,-0.59617329,17.011805,-27.127798,-127.25034
4019062500,-28.634214,-20.78993,-0.58364469,16.73237,-0.59491688,16.88586,-27.141594,-127.24786
4019375000,-28.682707,-21.131651,-0.582506,16.616365,-0.59300685,16.781443,-27.145031,-126.95771
4019687500,-28.668449,-21.334263,-0.58535105,16.518848,-0.59142238,16.688547,-27.134398,-127.01559
4020000000,-28.71068,-21.453911,-0.58314985,16.390131,-0.59657794,16.572248,-27.11059,-127.01083
4020312500,-28.72221,-21.80628,-0.5844987,16.28828,-0.59066504,16.461666,-27.100149,-126.40676
4020625000,-28.702621,-21.837429,-0.58176214,16.157116,-0.58980906,16.331425,-27.075882,-126.49956
4020937500,-28.690178,-22.21394,-0.58563393,16.054445,-0.59338832,16.222626,-27.132307,-126.72376
4021250000,-28.691765,-22.532078,-0.58304662,15.936981,-0.5956021,16.098906,-27.191986,-127.03619
4021562500,-28.607222,-22.696884,-0.5843066,15.826109,-0.59509033,15.996315,-27.169376,-127.23312
4021875000,-28.605837,-22.887316,-0.58423203,15.726321,-0.59399086,15.890448,-27.209238,-127.22189
4022187500,-28.620007,-23.158827,-0.58295691,15.616979,-0.59473765,15.780864,-27.180645,-127.31747
4022500000,-28.569042,-23.551003,-0.58126855,15.511609,-0.5959987,15.673902,-27.172321,-127.27675
4022812500,-28.65299,-23.772297,-0.58219165,15.404855,-0.59457248,15.57107,-27.131357,-127.16259
4023125000,-28.653189,-23.778734,-0.58324277,15.288682,-0.59565359,15.438031,-27.103441,-126.99638
4023437500,-28.665295,-24.109903,-0.58052135,15.161132,-0.59780699,15.337272,-27.102543,-126.94501
4023750000,-28.660755,-24.385582,-0.58056355,15.056542,-0.59359366,15.245765,-27.08923,-126.81557
4024062500,-28.65909,-24.357637,-0.58498019,14.955192,-0.59435159,15.176549,-27.087755,-126.85444
4024375000,-28.653397,-24.477081,-0.58178532,14.844257,-0.59108788,15.038743,-27.077919,-126.9285
4024687500,-28.660452,-24.533548,-0.58277762,14.713795,-0.59660071,14.917604,-27.116644,-126.97038
4025000000,-28.633492,-24.621569,-0.58373266,14.589257,-0.59607905,14.794748,-27.119801,-126.98386
4025312500,-28.655876,-24.961815,-0.58344579,14.499849,-0.59379292,14.689816,-27.107918,-127.01254
4025625000,-28.573975,-25.500731,-0.58261997,14.377463,-0.59627038,14.587379,-27.163328,-126.8214
4025937500,-28.563475,-26.269857,-0.58114302,14.269578,-0.59634107,14.455061,-27.196571,-126.58971
4026250000,-28.545088,-26.511339,-0.58413953,14.16169,-0.59376913,14.367346,-27.208719,-126.42637
4026562500,-28.541874,-27.247168,-0.58042765,14.059012,-0.59282166,14.23216,-27.213221,-126.51353
4026875000,-28.588676,-27.470007,-0.58174419,13.948669,-0.59493297,14.138906,-27.171646,-126.39565
4027187500,-28.62804,-27.586098,-0.58774132,13.84003,-0.59516293,14.029144,-27.132454,-126.58501
4027500000,-28.708447,-27.995123,-0.58166438,13.726213,-0.59349918,13.906446,-27.115088,-126.73693
4027812500,-28.719704,-28.049231,-0.58350909,13.628098,-0.59092999,13.815728,-27.070955,-126.68078
4028125000,-28.761877,-28.414154,-0.58444995,13.519036,-0.59069037,13.690983,-27.074774,-126.88755
4028437500,-28.654583,-28.314247,-0.58422846,13.393033,-0.59244782,13.594754,-27.108261,-127.24215
4028750000,-28.568668,-28.426622,-0.58393753,13.295567,-0.59522063,13.486978,-27.13714,-127.10551
4029062500,-28.483332,-28.714567,-0.58380073,13.1933,-0.5935415,13.363888,-27.151751,-127.36583
4029375000,-28.472124,-29.168638,-0.58577687,13.088443,-0.58978307,13.253169,-27.15871,-127.24317
4029687500,-28.525717,-29.420828,-0.58436072,12.981485,-0.59373593,13.143908,-27.119707,-127.11328
4030000000,-28.57028,-29.463568,-0.58586085,12.873828,-0.5906952,13.023518,-27.094948,-127.231
4030312500,-28.628622,-29.822205,-0.58556902,12.740907,-0.59152532,12.922187,-27.074591,-126.95512
4030625000,-28.6759,-29.908876,-0.58456016,12.645082,-0.59499371,12.790026,-27.048111,-126.64603
4030937500,-28.706646,-30.007126,-0.58371526,12.509249,-0.59178978,12.70803,-27.040649,-126.51967
4031250000,-28.70887,-30.309563,-0.58533114,12.397851,-0.59339821,12.57393,-27.027292,-126.29604
4031562500,-28.683578,-30.37689,-0.58358496,12.304705,-0.59263098,12.46419,-27.040209,-126.1772
4031875000,-28.667608,-30.586882,-0.58184838,12.194271,-0.59112215,12.377329,-27.055752,-126.22118
