!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, May 21, 2014 10:54:30
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-30.658625,34.729668,-0.8275786,-169.26518,-0.83611673,-169.34274,-30.750481,168.37901
4000312500,-30.572458,32.443016,-0.85782576,-171.14537,-0.81685805,-169.49992,-30.569395,166.93288
4000625000,-30.583691,32.696266,-0.84945077,-170.7697,-0.82040584,-169.63824,-30.609762,166.63666
4000937500,-30.623171,33.214108,-0.83817542,-170.36421,-0.82485551,-169.79214,-30.766596,166.32788
4001250000,-30.586737,33.118195,-0.83023673,-170.08296,-0.83054143,-169.94202,-30.759312,165.45778
4001562500,-30.665522,33.267704,-0.83269876,-169.99358,-0.83232582,-170.09315,-30.802877,165.73647
4001875000,-30.64385,33.294392,-0.82982862,-170.06961,-0.8293131,-170.26891,-30.890131,165.43361
4002187500,-30.704872,33.298809,-0.83070916,-170.26855,-0.83003283,-170.42081,-30.880049,165.49765
4002500000,-30.746271,33.360226,-0.83209467,-170.48283,-0.83022338,-170.56564,-30.947502,165.54932
4002812500,-30.736662,33.705345,-0.8324843,-170.68777,-0.82893097,-170.7186,-30.883064,165.51747
4003125000,-30.745668,33.459805,-0.83463746,-170.83417,-0.8299498,-170.87415,-30.83923,165.23514
4003437500,-30.716307,33.019451,-0.83311427,-171.01627,-0.83137441,-171.04581,-30.783096,165.37186
4003750000,-30.745693,32.953636,-0.83092624,-171.15118,-0.83147287,-171.21654,-30.766853,165.46812
4004062500,-30.796053,32.427334,-0.8325389,-171.3053,-0.83154202,-171.3457,-30.738623,165.37332
4004375000,-30.827572,32.071014,-0.8314299,-171.44971,-0.83312416,-171.5105,-30.682444,164.9005
4004687500,-30.82601,31.925339,-0.8281126,-171.60951,-0.82838827,-171.65125,-30.762617,164.5354
4005000000,-30.908567,31.866592,-0.83178568,-171.7701,-0.83253759,-171.81012,-30.868206,164.41357
4005312500,-30.848291,31.819389,-0.83256304,-171.9454,-0.83342797,-171.93341,-30.948675,164.09607
4005625000,-30.870924,31.564877,-0.8300826,-172.1208,-0.83147621,-172.09746,-31.036428,163.41881
4005937500,-30.870213,31.534092,-0.83156139,-172.26813,-0.8330552,-172.22398,-31.065243,163.23584
4006250000,-30.78801,31.616383,-0.83322173,-172.40787,-0.82960314,-172.40128,-30.986582,163.12277
4006562500,-30.782316,31.348253,-0.83201969,-172.56334,-0.82996309,-172.58307,-30.958172,163.16583
4006875000,-30.751455,31.10696,-0.83169609,-172.72173,-0.82915574,-172.71089,-30.942038,162.85069
4007187500,-30.774967,31.038845,-0.83518076,-172.86885,-0.82951325,-172.89369,-30.946785,163.05914
4007500000,-30.804609,30.902464,-0.83334374,-173.00287,-0.82795435,-173.05072,-30.873606,162.76974
4007812500,-30.892618,30.99626,-0.83285481,-173.15472,-0.83009344,-173.19434,-30.869217,162.29089
4008125000,-30.884649,31.027819,-0.83496332,-173.32565,-0.83122903,-173.34489,-30.797989,162.11929
4008437500,-30.960642,31.106667,-0.83601439,-173.45914,-0.83038551,-173.48767,-30.868721,161.63675
