!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, April 02, 2014 18:13:39
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
4000000000,-28.408537,58.889515,-0.24495359,-82.387871,-0.2518523,-82.187431,-28.216284,-50.189636
4000312500,-28.658918,62.49929,-0.23603436,-82.338074,-0.23436248,-82.260551,-28.264332,-54.410126
4000625000,-28.561947,61.299679,-0.23653592,-82.460533,-0.2368647,-82.362091,-28.250805,-53.268311
4000937500,-28.482662,60.078079,-0.23958978,-82.601578,-0.2422583,-82.459984,-28.261183,-52.303207
4001250000,-28.40996,58.768635,-0.24040765,-82.732735,-0.24401917,-82.583878,-28.274199,-51.388039
4001562500,-28.369211,58.356804,-0.24235885,-82.815239,-0.24956508,-82.64669,-28.248409,-51.136047
4001875000,-28.352861,58.151836,-0.2418935,-82.941238,-0.24999136,-82.745651,-28.279598,-51.375275
4002187500,-28.304636,58.214317,-0.24293984,-83.019226,-0.25121054,-82.863327,-28.231232,-51.873768
4002500000,-28.310783,58.380611,-0.24448693,-83.099388,-0.25213099,-82.923897,-28.254787,-52.381229
4002812500,-28.292673,58.612236,-0.2412816,-83.181892,-0.25038752,-83.012512,-28.254147,-52.931721
4003125000,-28.270628,58.543819,-0.2416846,-83.269638,-0.24942423,-83.100769,-28.222351,-53.177639
4003437500,-28.25919,58.373653,-0.24200059,-83.357719,-0.24936122,-83.209335,-28.280539,-53.085651
4003750000,-28.26853,58.141937,-0.24101384,-83.454918,-0.24829561,-83.322647,-28.269758,-52.927158
4004062500,-28.212505,58.027103,-0.24237244,-83.534531,-0.25047642,-83.413994,-28.300518,-53.178421
4004375000,-28.216776,58.158405,-0.2423313,-83.646912,-0.25002152,-83.501579,-28.285597,-53.096256
4004687500,-28.241499,58.395927,-0.24027474,-83.712364,-0.2528843,-83.593193,-28.27948,-53.422031
4005000000,-28.257357,58.56105,-0.23819323,-83.811668,-0.25216797,-83.672684,-28.221447,-53.469921
4005312500,-28.271242,58.692116,-0.23806131,-83.916573,-0.24811865,-83.762337,-28.236675,-53.574471
4005625000,-28.280533,59.046139,-0.23813142,-83.999069,-0.25129804,-83.823875,-28.172356,-54.040344
4005937500,-28.270761,59.159119,-0.23604801,-84.09304,-0.25151008,-83.928391,-28.149052,-54.239002
4006250000,-28.240358,59.254086,-0.2408949,-84.17543,-0.25103578,-84.003494,-28.129536,-54.265697
4006562500,-28.151529,59.332691,-0.2416697,-84.268059,-0.24949366,-84.090889,-28.120699,-54.179302
4006875000,-28.124977,59.271938,-0.24098422,-84.340363,-0.24691942,-84.214157,-28.061857,-54.184948
4007187500,-28.079369,58.924854,-0.24145845,-84.446815,-0.24706738,-84.296066,-28.046999,-54.27142
4007500000,-28.030483,59.093288,-0.23984757,-84.52079,-0.2471099,-84.379913,-28.044949,-54.028008
4007812500,-27.998539,59.050415,-0.24148984,-84.636047,-0.25067332,-84.475494,-28.072243,-54.494099
4008125000,-27.979364,58.645706,-0.24176353,-84.705231,-0.2521303,-84.577972,-28.085569,-55.236195
4008437500,-27.940531,58.572559,-0.24176779,-84.819557,-0.25570896,-84.661667,-28.111553,-55.551334
4008750000,-27.892166,58.598072,-0.24081355,-84.912102,-0.25289196,-84.749138,-28.107758,-55.897957
4009062500,-27.913525,58.29496,-0.24124166,-84.996101,-0.25369015,-84.861732,-28.108744,-55.82098
4009375000,-27.928499,58.58926,-0.24182864,-85.090446,-0.25346822,-84.942909,-28.087006,-55.544586
4009687500,-27.88187,58.365601,-0.2426409,-85.184586,-0.25112474,-85.045654,-28.06773,-55.393383
4010000000,-27.869213,58.656723,-0.24031393,-85.284576,-0.25174892,-85.121658,-28.046198,-55.171585
4010312500,-27.911005,58.664993,-0.24198705,-85.385239,-0.25296727,-85.197517,-28.059273,-55.179451
4010625000,-27.861748,58.92728,-0.24279489,-85.470604,-0.24668273,-85.270622,-28.033379,-55.478409
4010937500,-27.863314,58.965851,-0.24161865,-85.544319,-0.25092736,-85.3536,-28.014137,-55.795258
4011250000,-27.88093,58.945122,-0.24130894,-85.637497,-0.25115058,-85.489471,-28.000586,-56.332817
4011562500,-27.873579,58.993301,-0.24052109,-85.720871,-0.24911611,-85.547935,-28.014362,-56.877987
4011875000,-27.902704,58.786064,-0.23821737,-85.799072,-0.25020346,-85.652702,-27.985735,-57.046158
4012187500,-27.885004,58.725071,-0.24211857,-85.903839,-0.24582735,-85.728714,-27.994049,-57.192085
4012500000,-27.873373,58.424026,-0.2423628,-86.010109,-0.25067949,-85.825607,-27.914721,-57.273232
4012812500,-27.890478,57.874523,-0.24671915,-86.11718,-0.24966712,-85.916901,-27.871326,-57.247364
4013125000,-27.86289,57.963383,-0.24012195,-86.187859,-0.25017279,-86.008499,-27.81064,-57.239201
4013437500,-27.855827,57.748695,-0.24409293,-86.269928,-0.24909787,-86.0839,-27.806948,-57.649952
4013750000,-27.843582,57.68222,-0.24493586,-86.370781,-0.24729417,-86.192581,-27.74781,-58.239124
4014062500,-27.835987,57.858498,-0.24099126,-86.456146,-0.2488863,-86.262016,-27.745169,-58.585709
4014375000,-27.845367,57.868183,-0.23878083,-86.542648,-0.25217021,-86.364738,-27.718281,-59.022255
4014687500,-27.847162,58.088615,-0.24079803,-86.621048,-0.25221953,-86.451172,-27.723385,-59.445328
4015000000,-27.845879,57.982166,-0.23993798,-86.722885,-0.25163788,-86.543922,-27.730125,-59.333813
4015312500,-27.846794,58.024883,-0.24221613,-86.794304,-0.25545648,-86.654228,-27.757853,-59.04023
4015625000,-27.843288,58.359699,-0.24169776,-86.89904,-0.25107703,-86.723488,-27.745089,-58.649948
4015937500,-27.832907,58.329029,-0.24534503,-86.994278,-0.24878682,-86.824394,-27.713825,-58.485073
4016250000,-27.844942,58.12252,-0.24445589,-87.095779,-0.25217032,-86.922104,-27.738037,-58.222458
4016562500,-27.867975,58.235451,-0.24686658,-87.170143,-0.25086313,-87.009346,-27.741287,-57.821808
4016875000,-27.836136,58.096935,-0.24664004,-87.277145,-0.24896304,-87.090935,-27.744719,-57.859142
4017187500,-27.835409,57.620434,-0.24572422,-87.364586,-0.25146577,-87.21376,-27.720556,-57.715927
4017500000,-27.805174,57.491364,-0.24323536,-87.469566,-0.24618477,-87.287903,-27.703108,-57.571548
4017812500,-27.790791,57.172485,-0.24615724,-87.550079,-0.25064179,-87.371727,-27.691587,-57.640751
4018125000,-27.731943,57.24725,-0.24550188,-87.634758,-0.25031942,-87.475945,-27.655771,-58.286644
4018437500,-27.690203,57.087997,-0.24229474,-87.722488,-0.25101066,-87.569794,-27.689304,-58.806557
4018750000,-27.62888,57.052933,-0.24520332,-87.809196,-0.2511664,-87.671753,-27.694128,-59.048203
4019062500,-27.584785,57.195271,-0.24357164,-87.890556,-0.25272012,-87.764542,-27.692371,-59.630421
4019375000,-27.599508,57.22971,-0.24270438,-87.996063,-0.25475815,-87.840424,-27.739473,-59.532784
4019687500,-27.572416,57.037453,-0.24625196,-88.077599,-0.2502251,-87.912613,-27.713814,-59.518616
4020000000,-27.565601,57.080933,-0.24466683,-88.182587,-0.2518577,-88.001633,-27.740063,-59.54887
4020312500,-27.556913,56.767742,-0.24507909,-88.275192,-0.25260422,-88.112259,-27.745995,-59.706043
4020625000,-27.579227,56.936859,-0.24829091,-88.369331,-0.25380892,-88.170357,-27.74865,-59.929985
4020937500,-27.578283,56.672653,-0.24385111,-88.443108,-0.25053069,-88.284821,-27.703648,-60.209927
4021250000,-27.561525,56.782833,-0.24160604,-88.534668,-0.25311866,-88.372307,-27.619854,-60.733402
4021562500,-27.526598,56.664478,-0.24639773,-88.621033,-0.25186983,-88.465561,-27.576313,-60.967464
