!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, May 21, 2014 11:25:21
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-30.360186,16.491594,-0.51302034,-74.991425,-0.52080995,-75.081146,-32.054859,6.8633013
4000312500,-30.539978,17.982325,-0.54834008,-76.937248,-0.50338376,-75.29821,-32.317982,4.3577633
4000625000,-30.542814,17.206068,-0.53508192,-76.620773,-0.5083369,-75.497009,-32.209557,3.1436458
4000937500,-30.549807,17.096487,-0.52597791,-76.273666,-0.51560408,-75.715576,-32.136089,3.0040488
4001250000,-30.554008,16.562038,-0.52034837,-76.020645,-0.51640588,-75.908257,-32.074764,2.8438592
4001562500,-30.495329,16.575306,-0.51722878,-75.976402,-0.51642132,-76.10463,-32.071716,2.6560862
4001875000,-30.41782,16.803823,-0.51747006,-76.119576,-0.51935124,-76.301498,-32.116364,2.2829828
4002187500,-30.384199,16.67403,-0.51866776,-76.359039,-0.51704639,-76.506668,-32.072849,2.5203302
4002500000,-30.342245,16.44009,-0.52023178,-76.631569,-0.51493496,-76.719856,-32.082405,2.2394316
4002812500,-30.345642,16.675297,-0.51825994,-76.897881,-0.51736736,-76.921074,-32.122261,1.9987798
4003125000,-30.322075,16.654749,-0.51806527,-77.080063,-0.51655,-77.125694,-31.983236,1.6313413
4003437500,-30.386965,16.771347,-0.51997048,-77.283226,-0.5185889,-77.335716,-32.025505,1.4228015
4003750000,-30.381247,17.048677,-0.51940489,-77.474251,-0.51769149,-77.546562,-31.900612,1.3424711
4004062500,-30.446693,17.375601,-0.51798135,-77.684738,-0.51779562,-77.737137,-31.890854,1.5244563
4004375000,-30.392349,17.565197,-0.51990253,-77.888802,-0.51845348,-77.947723,-31.945271,0.81385183
4004687500,-30.427397,17.25872,-0.51872224,-78.113266,-0.51597303,-78.154137,-31.993465,0.53533185
4005000000,-30.393869,17.131985,-0.51730859,-78.312042,-0.51645428,-78.335709,-32.113796,-0.44505909
4005312500,-30.364351,16.883228,-0.51795137,-78.516373,-0.51655173,-78.545479,-32.214233,-1.4629406
4005625000,-30.349274,16.98213,-0.51946425,-78.719009,-0.51940513,-78.726768,-32.246109,-1.8077735
4005937500,-30.37221,16.565187,-0.51716137,-78.933617,-0.5168801,-78.928627,-32.223675,-2.6670563
4006250000,-30.449383,16.631382,-0.51766586,-79.137581,-0.51597083,-79.133545,-32.157017,-3.1402533
4006562500,-30.474615,16.76211,-0.52064371,-79.332626,-0.51794118,-79.339401,-32.140305,-3.2196083
4006875000,-30.511822,17.001068,-0.51973075,-79.548218,-0.51451027,-79.571434,-32.075283,-3.5466087
4007187500,-30.495905,17.216955,-0.51997972,-79.718445,-0.51578534,-79.76194,-32.036663,-4.1487355
4007500000,-30.46051,17.111906,-0.51954275,-79.922234,-0.51473027,-79.969116,-31.967735,-4.6891575
4007812500,-30.458717,16.872271,-0.5225578,-80.128937,-0.51648033,-80.178032,-31.942631,-5.2753096
4008125000,-30.459108,16.765144,-0.52379966,-80.34404,-0.51691425,-80.402634,-31.913824,-5.772697
4008437500,-30.470802,15.877258,-0.52481133,-80.547676,-0.51827461,-80.594543,-31.914307,-6.1813183
4008750000,-30.467731,15.664839,-0.52209425,-80.753235,-0.51533794,-80.769478,-31.874226,-6.2711263
4009062500,-30.446611,15.827596,-0.52108645,-80.975815,-0.51732236,-80.961594,-32.020588,-6.3144522
4009375000,-30.500456,15.961777,-0.51971239,-81.158363,-0.51854169,-81.174187,-32.076103,-6.5413685
4009687500,-30.543232,15.765555,-0.52257556,-81.354454,-0.51770258,-81.371292,-32.089977,-6.5294003
4010000000,-30.549149,15.879494,-0.51957321,-81.541985,-0.51364833,-81.579285,-32.080372,-6.3552337
4010312500,-30.56024,15.515664,-0.51777947,-81.765305,-0.51683825,-81.778206,-32.158295,-6.3404636
4010625000,-30.622993,15.727686,-0.51860321,-81.956299,-0.51446575,-81.992165,-32.111202,-7.3230181
4010937500,-30.586554,16.391001,-0.52030188,-82.141716,-0.51662004,-82.199036,-32.086437,-8.1334419
4011250000,-30.603636,16.85693,-0.52036595,-82.358368,-0.51439202,-82.409927,-32.128704,-8.6859102
