!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, May 21, 2014 12:21:17
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-25.115892,7.262723,-0.50678396,-108.57739,-0.56580317,-108.5918,-31.837175,-120.69741
4000312500,-25.061722,8.1285458,-0.539442,-110.41889,-0.54950315,-108.69183,-31.603571,-123.29246
4000625000,-25.08213,7.954493,-0.52577245,-109.98253,-0.55097061,-108.77668,-31.522837,-123.20068
4000937500,-25.137291,7.5755301,-0.51367652,-109.49888,-0.5580669,-108.8755,-31.557421,-122.80443
4001250000,-25.139397,7.3700919,-0.50972915,-109.16473,-0.56095952,-108.96615,-31.556129,-122.42035
4001562500,-25.164883,7.1786866,-0.51128095,-109.03362,-0.56095988,-109.05356,-31.555984,-122.73234
4001875000,-25.143736,6.8372788,-0.51257944,-109.05094,-0.56371075,-109.16665,-31.588669,-122.41636
4002187500,-25.125256,6.4584961,-0.50786746,-109.16885,-0.56032032,-109.23555,-31.603762,-122.97311
4002500000,-25.113211,6.2268972,-0.51182657,-109.34493,-0.56260884,-109.326,-31.628454,-123.06079
4002812500,-25.121565,6.2469211,-0.51219052,-109.47173,-0.56274641,-109.41737,-31.719418,-122.84029
4003125000,-25.142519,6.0233808,-0.5104956,-109.57491,-0.56136781,-109.52351,-31.668816,-122.61766
4003437500,-25.137777,6.1505685,-0.50735462,-109.67017,-0.56120151,-109.62491,-31.625856,-122.19362
4003750000,-25.152561,6.0554442,-0.50999653,-109.75964,-0.56414306,-109.7103,-31.670223,-122.29909
4004062500,-25.156591,6.089355,-0.50776446,-109.8485,-0.56379324,-109.81117,-31.664282,-122.04626
4004375000,-25.13343,6.0129786,-0.50737345,-109.94718,-0.56429696,-109.89721,-31.620193,-121.98373
4004687500,-25.142647,5.6900077,-0.51016319,-110.02145,-0.56512332,-109.97665,-31.716553,-123.06799
4005000000,-25.143812,5.4305792,-0.50803453,-110.12564,-0.56440204,-110.09563,-31.658659,-123.97474
4005312500,-25.135023,5.0401835,-0.50593048,-110.24252,-0.56378108,-110.17429,-31.676111,-124.4539
4005625000,-25.17487,4.8012533,-0.50733864,-110.34415,-0.56383371,-110.24258,-31.698883,-125.08363
4005937500,-25.191484,4.8191504,-0.5076834,-110.44436,-0.56319624,-110.33925,-31.621017,-124.62799
4006250000,-25.210714,4.8078465,-0.50796461,-110.52347,-0.55992287,-110.45274,-31.582373,-124.91039
4006562500,-25.223825,5.032505,-0.50922191,-110.62411,-0.55821455,-110.53243,-31.523273,-124.44563
4006875000,-25.229763,5.1736002,-0.50891703,-110.73489,-0.5617134,-110.64052,-31.534788,-124.52883
4007187500,-25.220253,4.9360332,-0.50936592,-110.81631,-0.55832416,-110.73773,-31.530468,-124.07745
4007500000,-25.205666,4.8216381,-0.51082546,-110.88105,-0.56062108,-110.83,-31.520376,-124.0659
4007812500,-25.253044,4.2996426,-0.50949049,-110.97731,-0.56133759,-110.93965,-31.46674,-123.97134
4008125000,-25.240891,3.8037999,-0.51144439,-111.07457,-0.55830979,-111.01089,-31.431108,-124.38508
4008437500,-25.271637,3.5427768,-0.51220608,-111.16776,-0.55964363,-111.11149,-31.389374,-124.56661
4008750000,-25.299557,3.1251156,-0.51174855,-111.2579,-0.56466818,-111.18443,-31.423965,-124.84571
4009062500,-25.328859,3.1625514,-0.51094049,-111.35291,-0.56120038,-111.28953,-31.492561,-125.13366
4009375000,-25.350643,3.2545114,-0.50854743,-111.44801,-0.56070101,-111.37735,-31.526176,-124.86396
4009687500,-25.36721,3.0559986,-0.50807327,-111.54121,-0.56157595,-111.46209,-31.575695,-124.69778
4010000000,-25.398212,3.0394742,-0.50667971,-111.63194,-0.55973369,-111.56212,-31.581268,-125.06877
4010312500,-25.391623,3.0645897,-0.50852108,-111.71244,-0.56167847,-111.66348,-31.647215,-125.20618
4010625000,-25.398531,3.0954437,-0.50719398,-111.80849,-0.56321108,-111.75716,-31.569052,-124.82378
4010937500,-25.404743,3.0719519,-0.50937635,-111.89498,-0.56197566,-111.85425,-31.571815,-125.50344
4011250000,-25.386116,2.919023,-0.50575548,-111.97621,-0.55950934,-111.95512,-31.563776,-125.87743
4011562500,-25.338074,2.8837585,-0.50855595,-112.05331,-0.56089646,-112.05273,-31.449547,-126.19977
4011875000,-25.362307,2.8389907,-0.50962126,-112.15901,-0.56046504,-112.14857,-31.449142,-126.35014
4012187500,-25.344404,2.6514993,-0.50962722,-112.25122,-0.56144571,-112.23286,-31.452005,-126.36385
4012500000,-25.375082,2.3831863,-0.50597322,-112.3381,-0.56146526,-112.33311,-31.388388,-126.02829
4012812500,-25.360674,2.0755405,-0.50662673,-112.43983,-0.5603804,-112.41808,-31.396257,-125.90331
4013125000,-25.393106,1.8844714,-0.51032931,-112.54819,-0.55976015,-112.51512,-31.405619,-125.7197
4013437500,-25.38143,1.5463331,-0.5082075,-112.64735,-0.56126422,-112.60683,-31.343777,-125.94949
4013750000,-25.396549,1.5181698,-0.51033783,-112.73092,-0.55955327,-112.67918,-31.387297,-125.70454
