!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, May 21, 2014 11:58:25
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-28.959751,135.92403,-0.09184207,-155.54214,-0.090414889,-155.56059,-28.853992,92.990883
1001484375,-29.124046,135.74379,-0.086701877,-155.78856,-0.08839605,-155.78271,-28.771503,91.433678
1002968750,-28.97574,135.27771,-0.089620523,-156.00005,-0.090289593,-156.00339,-28.867006,92.345665
1004453125,-29.099092,135.51723,-0.085422948,-156.22102,-0.089517027,-156.23624,-28.733984,91.695541
1005937500,-29.116856,134.6407,-0.089363106,-156.46315,-0.084665336,-156.47081,-28.7509,92.40416
1007421875,-29.093367,134.78522,-0.085390307,-156.67609,-0.089664198,-156.69936,-28.651596,91.82766
1008906250,-28.936947,134.1848,-0.089635991,-156.9021,-0.088937052,-156.91661,-28.550613,91.154083
1010390625,-28.994944,134.8949,-0.090412788,-157.15256,-0.08794903,-157.15977,-28.722439,90.552742
1011875000,-29.10891,133.89963,-0.090562813,-157.37419,-0.090276398,-157.38409,-28.581636,90.612961
1013359375,-29.054979,133.60403,-0.091988266,-157.61714,-0.086738251,-157.61298,-28.76602,91.120026
1014843750,-28.909101,133.80153,-0.085864298,-157.82587,-0.092986487,-157.85526,-28.580397,89.567024
1016328125,-29.068735,133.05844,-0.090277128,-158.05014,-0.088133253,-158.06718,-28.658325,90.311119
1017812500,-29.014265,132.83415,-0.088213079,-158.30739,-0.085080393,-158.283,-28.695776,89.311073
1019296875,-28.789648,133.38908,-0.092328832,-158.53664,-0.091203816,-158.52538,-28.584076,88.946068
1020781250,-28.965826,132.03897,-0.091117702,-158.76764,-0.09012714,-158.77068,-28.600019,88.596596
1022265625,-28.90184,132.01485,-0.089022964,-158.98535,-0.09115196,-159.01366,-28.701138,88.453911
1023750000,-28.870028,132.36093,-0.088929303,-159.20389,-0.09107703,-159.23434,-28.566782,88.682961
1025234375,-28.945404,132.06662,-0.087754205,-159.43523,-0.088391431,-159.46375,-28.595076,88.244583
1026718750,-28.881046,130.80199,-0.088459946,-159.6763,-0.091988295,-159.68509,-28.581976,88.116486
1028203125,-28.95713,131.30362,-0.087633878,-159.90111,-0.088849641,-159.88164,-28.575899,87.482925
1029687500,-28.956795,131.54803,-0.089950576,-160.14973,-0.091504052,-160.12701,-28.575241,87.549835
1031171875,-28.962481,130.83221,-0.089138657,-160.36095,-0.091825664,-160.37039,-28.610773,87.035538
1032656250,-28.91449,130.19023,-0.091581814,-160.61133,-0.092160501,-160.58362,-28.611021,87.369125
1034140625,-28.918736,130.25113,-0.092326909,-160.81165,-0.088253401,-160.8275,-28.663641,86.906479
1035625000,-28.923477,129.11241,-0.093750536,-161.05345,-0.092501275,-161.05801,-28.611731,86.806808
1037109375,-29.046103,128.88382,-0.089004025,-161.25731,-0.092440397,-161.28505,-28.576008,86.783821
1038593750,-29.076866,129.43251,-0.088163659,-161.51459,-0.093389913,-161.51923,-28.547287,86.369019
1040078125,-29.065435,128.76109,-0.088294543,-161.74042,-0.091308601,-161.76186,-28.674433,84.953857
1041562500,-29.022181,129.30336,-0.09083388,-161.9702,-0.091478564,-161.99911,-28.688347,85.916153
1043046875,-28.978678,128.48491,-0.094349779,-162.19072,-0.095006347,-162.21526,-28.713335,86.054588
1044531250,-28.927732,128.19339,-0.093961902,-162.43234,-0.091891527,-162.44409,-28.765972,85.777695
1046015625,-29.126945,127.70158,-0.093390837,-162.67491,-0.0901898,-162.67226,-28.645172,85.499863
1047500000,-29.223116,127.14195,-0.091996722,-162.89333,-0.089565717,-162.88863,-28.700563,85.153519
1048984375,-29.119398,126.25481,-0.088043772,-163.12735,-0.092270806,-163.14932,-28.80191,85.506531
1050468750,-29.137655,127.07594,-0.090787672,-163.35133,-0.092036717,-163.36246,-28.780304,84.364189
1051953125,-29.138908,125.47948,-0.09310858,-163.60193,-0.089015149,-163.58809,-28.729082,84.409187
1053437500,-29.252205,125.81211,-0.089761332,-163.83385,-0.090437792,-163.81911,-28.757505,84.223892
1054921875,-29.173386,126.14171,-0.090736806,-164.06487,-0.089782633,-164.0403,-28.788521,85.065735
1056406250,-29.251461,124.89444,-0.094202302,-164.28008,-0.089752018,-164.26575,-28.87825,84.621353
1057890625,-29.320105,125.19667,-0.092786759,-164.51082,-0.091704011,-164.53773,-28.894194,83.706711
1059375000,-29.301603,125.18716,-0.093259402,-164.74574,-0.090238057,-164.76445,-28.891321,83.400566
1060859375,-29.245789,124.22927,-0.09352091,-164.96706,-0.090056308,-164.96741,-28.922152,83.470932
1062343750,-29.324627,125.22525,-0.087645993,-165.19757,-0.090638198,-165.21983,-28.918949,83.415192
1063828125,-29.315022,124.49706,-0.092219301,-165.43173,-0.09128961,-165.43025,-28.891176,83.951591
1065312500,-29.397669,123.9959,-0.091483928,-165.67181,-0.087760054,-165.66692,-28.968319,82.978455
1066796875,-29.471891,123.45787,-0.091103278,-165.90169,-0.09034235,-165.90692,-28.964481,82.732231
1068281250,-29.577837,124.10357,-0.093004502,-166.11302,-0.088566728,-166.17897,-29.013769,82.321426
1069765625,-29.50724,123.65543,-0.091041423,-166.3385,-0.092147484,-166.3877,-28.9956,82.269653
1071250000,-29.576254,123.52117,-0.09269423,-166.5843,-0.094274044,-166.58508,-29.091541,82.102295
1072734375,-29.632769,122.19633,-0.08944577,-166.80675,-0.091372088,-166.82022,-29.052835,80.728249
1074218750,-29.611519,121.93552,-0.094259731,-167.0217,-0.087559119,-167.06264,-29.100849,81.218536
1075703125,-29.594448,121.72564,-0.090950139,-167.27403,-0.090471439,-167.30101,-29.099974,80.756058
1077187500,-29.505428,122.00323,-0.091853298,-167.53055,-0.091184355,-167.49002,-29.223402,81.172676
1078671875,-29.597963,121.46217,-0.088109516,-167.76009,-0.09013056,-167.7357,-29.241257,80.167831
1080156250,-29.773268,121.73769,-0.09338659,-167.96776,-0.095686466,-167.98016,-29.12372,80.454163
1081640625,-29.81171,121.26031,-0.09234941,-168.21089,-0.091281824,-168.20563,-29.10774,80.889587
1083125000,-29.709425,121.10902,-0.092045285,-168.43214,-0.091848962,-168.46684,-29.256531,79.875267
1084609375,-29.773846,120.28883,-0.093689427,-168.65213,-0.088238835,-168.67004,-29.281355,79.05175
1086093750,-29.813002,120.67569,-0.093908854,-168.88661,-0.088988781,-168.90575,-29.30941,78.294128
1087578125,-29.888468,120.21446,-0.092299439,-169.10397,-0.094544522,-169.13852,-29.257988,78.601089
1089062500,-29.787891,120.62805,-0.092317387,-169.34413,-0.090895183,-169.36052,-29.328339,78.420479
1090546875,-29.877447,119.10141,-0.092176467,-169.59589,-0.095341809,-169.59564,-29.49321,78.381966
1092031250,-29.978043,119.88094,-0.091795892,-169.81119,-0.091249093,-169.82274,-29.368349,78.727722
1093515625,-29.850193,119.54525,-0.091947243,-170.04201,-0.090128817,-170.04395,-29.375967,77.048233
1095000000,-29.843967,118.26227,-0.090837814,-170.25725,-0.093295284,-170.29904,-29.397284,77.100098
1096484375,-30.002501,119.23727,-0.091859102,-170.50658,-0.091470338,-170.5094,-29.431971,77.455963
1097968750,-29.891638,118.99544,-0.09133973,-170.72076,-0.090319209,-170.7372,-29.626358,75.431366
1099453125,-30.026121,117.4087,-0.092962168,-170.96124,-0.092785843,-170.98708,-29.467991,76.804291
1100937500,-30.024691,117.57166,-0.088080324,-171.19547,-0.089951791,-171.1953,-29.513258,76.042618
1102421875,-30.193127,117.06479,-0.091906257,-171.4211,-0.092411578,-171.43858,-29.576366,76.166374
1103906250,-30.128941,118.01321,-0.094792418,-171.67043,-0.089891404,-171.6563,-29.529377,75.218704
1105390625,-30.210814,117.17309,-0.095493384,-171.91158,-0.093811572,-171.89687,-29.630659,75.052429
1106875000,-30.050312,117.83308,-0.089966044,-172.12505,-0.092397191,-172.1313,-29.552021,75.199379
1108359375,-30.122473,116.78275,-0.092363097,-172.36792,-0.08519572,-172.35034,-29.632334,75.001045
1109843750,-30.221874,116.37878,-0.094543763,-172.57813,-0.088254414,-172.58008,-29.63829,74.413338
1111328125,-30.276535,115.71327,-0.093426123,-172.81,-0.089917451,-172.80685,-29.623047,73.258972
