!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, May 21, 2014 12:10:49
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-29.968172,155.52089,-0.13993765,62.25201,-0.13691944,62.242386,-30.237436,156.81215
1001484375,-30.046686,154.05421,-0.1388979,61.786034,-0.13655119,61.787735,-30.059807,155.37711
1002968750,-29.923307,153.88138,-0.13769034,61.359886,-0.13661496,61.360222,-30.215437,155.95569
1004453125,-29.999514,153.00752,-0.1348601,60.932911,-0.13815932,60.92765,-29.971699,155.06616
1005937500,-29.943245,151.9485,-0.13771287,60.486641,-0.13642588,60.450077,-30.015509,155.58749
1007421875,-29.893597,151.5934,-0.1379568,60.05159,-0.13804474,60.01194,-29.895826,155.06433
1008906250,-29.701424,151.70863,-0.14439411,59.612923,-0.13827655,59.601051,-29.733841,154.30173
1010390625,-29.814709,151.48785,-0.14216414,59.149254,-0.13955949,59.129578,-29.816975,152.89394
1011875000,-29.744835,149.83922,-0.13630451,58.710926,-0.13994361,58.732967,-29.6751,153.01326
1013359375,-29.646036,149.53836,-0.14013082,58.276897,-0.14123563,58.26025,-29.819023,153.68648
1014843750,-29.628296,150.10654,-0.13654169,57.857277,-0.14207412,57.816608,-29.580709,151.49593
1016328125,-29.611811,148.17039,-0.14226347,57.38628,-0.13448127,57.386261,-29.608358,152.23547
1017812500,-29.51318,147.99223,-0.14066049,56.941105,-0.13577524,56.962257,-29.640257,151.02612
1019296875,-29.394102,149.21741,-0.13931872,56.509342,-0.14205502,56.506508,-29.451241,150.48965
1020781250,-29.390442,146.94569,-0.14032374,56.069073,-0.14095324,56.05603,-29.465891,149.82632
1022265625,-29.357037,146.86615,-0.14058065,55.609814,-0.13875912,55.629677,-29.564217,149.16812
1023750000,-29.374104,146.5507,-0.14027764,55.204296,-0.13900781,55.181007,-29.389679,149.53047
1025234375,-29.344671,145.66817,-0.14181648,54.770527,-0.14185256,54.723267,-29.371864,148.65756
1026718750,-29.20698,144.98737,-0.14344765,54.304237,-0.14006971,54.29562,-29.368734,148.73761
1028203125,-29.291363,144.41357,-0.13624346,53.856773,-0.14395565,53.895672,-29.252277,147.46037
1029687500,-29.342773,144.03506,-0.14224654,53.402485,-0.14161666,53.42202,-29.273048,147.45503
1031171875,-29.205414,143.40739,-0.14145514,52.981453,-0.14326061,52.963348,-29.205328,147.2112
1032656250,-29.125063,142.78714,-0.14358492,52.509975,-0.14661486,52.549694,-29.270306,147.28113
1034140625,-29.154669,142.30536,-0.14265552,52.097656,-0.13890623,52.093937,-29.258549,146.57378
1035625000,-29.030598,141.47578,-0.14418685,51.657402,-0.14277083,51.658691,-29.142895,146.25772
1037109375,-29.090546,140.17317,-0.14383268,51.251114,-0.13972907,51.220104,-29.027752,146.23433
1038593750,-29.160471,140.11505,-0.14191787,50.78764,-0.14343537,50.789536,-29.026045,145.2951
1040078125,-29.097019,139.39859,-0.13945356,50.324677,-0.13908699,50.32291,-29.089993,143.9043
1041562500,-29.121208,139.54907,-0.14279848,49.894657,-0.14463113,49.876266,-29.106892,144.69475
1043046875,-28.984533,138.86526,-0.14562123,49.452366,-0.14225741,49.437016,-29.140081,144.53021
1044531250,-28.936796,138.54349,-0.14311077,49.023983,-0.1391786,48.98703,-29.146679,144.20639
1046015625,-29.042068,136.98138,-0.14654858,48.573326,-0.14374962,48.567863,-29.014511,144.0036
1047500000,-29.032528,136.05182,-0.14500669,48.131985,-0.14157242,48.150787,-28.963161,143.34418
1048984375,-28.899712,135.41322,-0.14240862,47.696579,-0.14402013,47.68417,-29.083651,143.79289
1050468750,-29.005016,135.48436,-0.14199944,47.249962,-0.14480267,47.242245,-28.9855,142.41502
1051953125,-28.85375,134.32315,-0.14556839,46.807808,-0.14101948,46.803562,-28.986223,142.32707
1053437500,-28.966751,133.45798,-0.14457424,46.34882,-0.14276752,46.374134,-28.956581,142.091
1054921875,-28.946726,133.54462,-0.1440448,45.927746,-0.14418013,45.950134,-28.961237,142.89522
1056406250,-28.841579,132.24028,-0.1446541,45.47982,-0.14050792,45.484482,-29.005901,142.3791
1057890625,-28.983644,131.69899,-0.14339054,45.041245,-0.14662209,45.032684,-29.041849,141.22075
1059375000,-28.939722,131.65891,-0.14572337,44.602036,-0.14663486,44.588905,-28.991413,140.64973
1060859375,-28.83597,130.79639,-0.14599682,44.165218,-0.14252108,44.152172,-28.990314,140.58861
1062343750,-29.04365,130.72552,-0.14283869,43.729389,-0.14499146,43.713161,-28.960915,140.41176
1063828125,-28.953854,129.74153,-0.14490782,43.282509,-0.14149001,43.278309,-28.936817,140.79431
1065312500,-28.928762,129.05453,-0.14546733,42.826866,-0.1391335,42.847202,-28.950754,140.0247
