!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Friday, April 04, 2014 10:44:52
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
1000000000,-31.383286,163.07794,-0.21482974,168.72935,-0.22275269,168.72362,-29.746414,-11.886688
1001484375,-31.679338,161.11316,-0.21826868,167.908,-0.21600465,167.91505,-30.052046,-10.612061
1002968750,-32.053864,160.58624,-0.2183737,167.08781,-0.21430495,167.08313,-30.179825,-11.649771
1004453125,-32.169621,157.72006,-0.22328269,166.25639,-0.21100397,166.26431,-30.515709,-10.772017
1005937500,-32.519913,156.69366,-0.22046408,165.46547,-0.21940564,165.44148,-30.594769,-11.371357
1007421875,-33.076859,154.12421,-0.21934743,164.61798,-0.21640041,164.64067,-30.833014,-12.374043
1008906250,-33.052635,154.89348,-0.21932285,163.81502,-0.21446903,163.81664,-30.995199,-12.381169
1010390625,-33.3493,151.86879,-0.22395128,163.01909,-0.21824604,163.0092,-31.314285,-14.129821
1011875000,-33.467243,151.86469,-0.22257869,162.20842,-0.21977724,162.16373,-31.325281,-14.288931
1013359375,-33.757915,147.86676,-0.22319752,161.35501,-0.22078262,161.37531,-31.665329,-14.157153
1014843750,-33.932259,146.32689,-0.22153667,160.5282,-0.22317682,160.53363,-31.955801,-14.924503
1016328125,-34.159409,145.95111,-0.22185342,159.72374,-0.21644236,159.72604,-32.008507,-14.196431
1017812500,-34.061237,145.17737,-0.22196546,158.90785,-0.2213154,158.9122,-32.124092,-17.155731
1019296875,-34.224789,142.76572,-0.22044635,158.07817,-0.21813221,158.08168,-32.254654,-17.275213
1020781250,-34.449661,140.3427,-0.22241886,157.26892,-0.21971437,157.27731,-32.389698,-17.729345
1022265625,-34.446297,139.84123,-0.22072624,156.47809,-0.22081137,156.43971,-32.380066,-17.621517
1023750000,-34.465809,136.57538,-0.22297536,155.63794,-0.21954772,155.64642,-32.307636,-18.398277
1025234375,-34.495739,137.7433,-0.22479606,154.82672,-0.22074725,154.81078,-32.56152,-19.847738
1026718750,-34.650227,135.06972,-0.22101955,153.98538,-0.22028117,154.0002,-32.621239,-19.972788
1028203125,-34.48753,133.63425,-0.22221196,153.20004,-0.21953604,153.17668,-32.606174,-18.971502
1029687500,-34.466232,133.16634,-0.22681955,152.37175,-0.21628721,152.33626,-32.171227,-20.948223
1031171875,-34.323498,131.39131,-0.21969534,151.5489,-0.22237362,151.55864,-32.476227,-21.403339
1032656250,-34.372395,131.49515,-0.22357452,150.73183,-0.21820354,150.74344,-32.353428,-23.710421
1034140625,-34.332458,130.38391,-0.22378935,149.90257,-0.21748671,149.91589,-32.290161,-25.267706
1035625000,-34.103008,129.83038,-0.22366814,149.0941,-0.22027071,149.08649,-32.247154,-23.947365
