!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, January 15, 2014 17:34:30
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
4000000000,-39.820747,-106.64669,-1.0032498,169.35844,-1.0164313,169.49916,-38.304844,-116.3951
4000312500,-39.575993,-112.13357,-0.99314988,169.3271,-0.99143261,169.34807,-38.704945,-114.11548
4000625000,-39.494678,-111.55477,-0.99478668,169.13454,-0.99790156,169.17146,-38.71413,-114.31633
4000937500,-39.385986,-111.01842,-0.99368232,168.9294,-0.99234629,168.98398,-38.667122,-114.76667
4001250000,-39.193974,-111.34803,-0.99635565,168.76973,-0.99617851,168.80591,-38.698139,-114.48562
4001562500,-39.346313,-111.55701,-0.99623388,168.58966,-0.99690533,168.61124,-38.604744,-114.64392
4001875000,-39.407597,-110.79779,-0.99757373,168.40259,-0.99581462,168.43884,-38.684441,-114.74306
4002187500,-39.415028,-110.77376,-0.9978292,168.23705,-0.99327272,168.26378,-38.505875,-114.28645
4002500000,-39.493706,-109.24955,-0.99593961,168.05464,-0.99601012,168.07768,-38.54203,-114.49902
4002812500,-39.54332,-109.53551,-0.99276662,167.86713,-0.99270982,167.8842,-38.54686,-114.45435
4003125000,-39.470825,-108.86237,-0.99808079,167.69206,-0.99403369,167.7108,-38.508648,-114.8543
4003437500,-39.504047,-109.24225,-0.99720186,167.50786,-0.99423832,167.51422,-38.577152,-115.31712
4003750000,-39.447224,-110.17012,-0.99705786,167.31615,-0.99310541,167.30762,-38.467453,-114.76613
4004062500,-39.515907,-111.41734,-0.99880028,167.13377,-0.99400151,167.1346,-38.491852,-114.59103
4004375000,-39.49102,-113.16351,-0.99702173,166.94347,-0.99131978,166.93939,-38.598988,-114.10093
4004687500,-39.507793,-113.57909,-0.99688143,166.72974,-0.99320161,166.77223,-38.578491,-114.14275
4005000000,-39.588345,-114.23175,-0.99782068,166.57816,-0.99423009,166.59854,-38.585495,-114.19744
4005312500,-39.640984,-113.25819,-0.99588889,166.39297,-0.99439734,166.40668,-38.471622,-115.0453
4005625000,-39.742531,-113.51914,-0.9972043,166.19803,-0.99324203,166.23532,-38.411961,-115.36825
4005937500,-39.690742,-113.6719,-0.98920828,166.02101,-0.99609262,166.06754,-38.377518,-115.41393
4006250000,-39.489056,-113.64648,-0.99414402,165.81198,-0.99405885,165.91206,-38.376144,-115.14841
