!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Saturday, January 18, 2014 14:02:45
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
1000000000,-40.15324,-65.928444,-0.42953539,-148.26953,-0.42755416,-148.26889,-39.968906,-81.804306
1001476562.5,-40.998615,-63.896374,-0.42996919,-149.01968,-0.42299283,-149.01964,-39.039371,-80.609917
1002953125,-40.518101,-67.876587,-0.42895448,-149.78046,-0.42659619,-149.76337,-40.041958,-82.967171
1004429687.5,-41.033348,-66.769073,-0.427766,-150.5295,-0.42905486,-150.47742,-39.966351,-79.252426
1005906250,-40.672596,-66.899681,-0.42928109,-151.24768,-0.43096066,-151.22711,-40.266453,-77.100014
1007382812.5,-40.722626,-66.324577,-0.43204659,-152.02156,-0.42711401,-152.00926,-41.159058,-85.976372
1008859375,-40.722183,-70.883484,-0.42766112,-152.78671,-0.42793438,-152.75731,-40.487938,-83.178673
1010335937.5,-41.440369,-68.469826,-0.42853633,-153.53629,-0.43029422,-153.50563,-40.718975,-85.246315
1011812500,-41.375042,-65.099693,-0.43123755,-154.26843,-0.42666563,-154.25848,-40.53944,-90.765404
1013289062.5,-41.46384,-67.600647,-0.42918906,-155.00435,-0.43020597,-155.02168,-40.739651,-92.11174
1014765625,-41.323086,-68.555748,-0.43463624,-155.75432,-0.43013901,-155.77423,-41.13298,-86.958344
1016242187.5,-41.941448,-68.550926,-0.43167788,-156.48732,-0.42955482,-156.50407,-41.25013,-87.083618
1017718750,-41.502804,-69.408882,-0.43079609,-157.2532,-0.43450901,-157.23846,-41.070713,-94.418007
1019195312.5,-41.647148,-70.751694,-0.43106776,-158.00009,-0.42768812,-157.99527,-41.411324,-89.489235
1020671875,-42.441448,-69.100731,-0.43206182,-158.75888,-0.4246285,-158.74826,-41.700375,-92.742569
1022148437.5,-42.496304,-70.253014,-0.43661165,-159.50522,-0.42747694,-159.48117,-41.765209,-92.389694
1023625000,-42.778431,-72.487839,-0.43277031,-160.26698,-0.43549955,-160.2233,-41.827122,-91.305641
1025101562.5,-43.132462,-74.075615,-0.4315421,-160.99197,-0.43296221,-160.95934,-41.955708,-95.422134
1026578125,-42.840317,-68.756615,-0.43271199,-161.73994,-0.43467546,-161.74567,-41.941963,-90.040161
1028054687.5,-43.349335,-71.678307,-0.43533742,-162.4846,-0.43205529,-162.48814,-43.565628,-92.135384
1029531250,-43.896198,-74.079575,-0.43462446,-163.25719,-0.43379599,-163.22586,-42.732452,-93.56118
1031007812.5,-44.089481,-69.136391,-0.43611771,-164.00296,-0.4349362,-163.96788,-43.347443,-98.588989
1032484375,-43.478748,-70.264137,-0.43766445,-164.74274,-0.43169051,-164.73773,-43.559353,-101.04749
1033960937.5,-44.427414,-71.823677,-0.43213689,-165.48439,-0.43245232,-165.46785,-43.626781,-106.42696
1035437500,-45.179337,-66.453407,-0.4349069,-166.23541,-0.43385521,-166.26195,-43.770969,-98.769127
1036914062.5,-44.821701,-74.192085,-0.43635082,-166.95998,-0.43506062,-167.00075,-44.068951,-101.39806
1038390625,-45.935814,-65.837646,-0.43511415,-167.72928,-0.43345544,-167.7542,-44.326382,-104.0643
1039867187.5,-44.837639,-68.148415,-0.43566251,-168.48589,-0.4334572,-168.4762,-45.036861,-103.15915
1041343750,-46.332035,-63.488964,-0.43674996,-169.22931,-0.43285558,-169.21167,-44.821201,-104.93686
1042820312.5,-46.39909,-63.917664,-0.4360382,-169.98543,-0.43162757,-169.98325,-44.519592,-113.8258
1044296875,-48.163296,-69.163643,-0.4404588,-170.73102,-0.43725488,-170.72275,-45.259743,-113.24072
1045773437.5,-47.200249,-63.291355,-0.43959603,-171.4857,-0.4308244,-171.48882,-45.15963,-115.58937
1047250000,-47.134506,-65.649811,-0.43910772,-172.21007,-0.43723828,-172.19473,-45.93063,-119.49017
1048726562.5,-47.484325,-60.685242,-0.43721682,-172.955,-0.43620512,-172.94824,-47.234138,-117.63499
1050203125,-46.81546,-59.291008,-0.44150966,-173.73961,-0.43631819,-173.74806,-47.636147,-117.5057
1051679687.5,-48.002586,-52.324287,-0.43802285,-174.46205,-0.43339574,-174.45311,-47.651768,-128.71112
1053156250,-49.158821,-50.361847,-0.43775266,-175.22557,-0.44052517,-175.2319,-47.005062,-119.85429
1054632812.5,-48.610985,-49.698124,-0.43406355,-175.92805,-0.43729031,-175.96635,-48.821693,-118.78325
1056109375,-49.465603,-44.227543,-0.43949026,-176.72531,-0.43543667,-176.69453,-48.674549,-118.57538
1057585937.5,-49.528519,-47.391422,-0.44122022,-177.46667,-0.43567556,-177.44438,-49.708961,-128.20566
1059062500,-49.19841,-43.108463,-0.44018075,-178.22389,-0.4383238,-178.21564,-49.728119,-131.4269
1060539062.5,-49.403278,-37.686378,-0.44311076,-178.96558,-0.43805423,-178.96075,-49.378529,-126.43723
1062015625,-50.448082,-38.265984,-0.44289419,-179.69446,-0.43776545,-179.70573,-50.273067,-125.42346
1063492187.5,-50.739899,-47.01305,-0.44558057,179.53516,-0.43716848,179.52214,-49.630852,-144.38756
1064968750,-50.299484,-22.339064,-0.44324145,178.79181,-0.4383876,178.79668,-49.857891,-149.03336
1066445312.5,-49.847923,-35.163689,-0.44454402,178.06041,-0.43992162,178.01651,-50.910152,-140.48817
1067921875,-48.977638,-33.332424,-0.4417505,177.29012,-0.43775713,177.27448,-52.761082,-139.74081
1069398437.5,-50.968353,-27.360588,-0.44283736,176.55312,-0.44161874,176.55928,-53.395206,-151.71419
1070875000,-50.488686,-25.046787,-0.44175428,175.80202,-0.43909317,175.81821,-51.585049,-148.92624
1072351562.5,-50.710064,-18.433386,-0.4458839,175.06844,-0.44248047,175.03258,-51.641361,-150.40787
1073828125,-50.927765,-8.1393423,-0.4459928,174.31372,-0.44026235,174.3141,-55.990337,-155.02092
1075304687.5,-50.406647,-13.707563,-0.44258201,173.55438,-0.44441563,173.56398,-54.263554,164.5728
1076781250,-50.130989,-9.6493111,-0.44364083,172.79532,-0.44402766,172.8035,-55.732655,-178.74463
1078257812.5,-49.753647,-5.4812374,-0.44556019,172.03865,-0.44061619,172.07603,-58.299644,-174.80937
1079734375,-50.876934,-0.80459654,-0.44253686,171.31085,-0.44293675,171.32457,-54.454334,157.63129
1081210937.5,-49.842587,2.3726962,-0.44547385,170.54109,-0.44216594,170.57747,-56.464821,-169.82719
1082687500,-50.728249,6.6720366,-0.44970134,169.81517,-0.44399559,169.81627,-54.749699,170.18016
1084164062.5,-50.158554,-3.2074604,-0.44244838,169.06593,-0.44558582,169.0656,-54.996685,153.01256
1085640625,-48.371853,4.8618402,-0.44635698,168.31975,-0.44795483,168.3152,-58.222195,140.11499
1087117187.5,-48.356564,12.341529,-0.44812208,167.58351,-0.43978015,167.5632,-54.277199,120.29016
1088593750,-48.695118,7.9398489,-0.44814348,166.82256,-0.44853783,166.81079,-59.654449,134.59064
1090070312.5,-48.005363,9.4143753,-0.44682065,166.08626,-0.44429123,166.05148,-54.588165,119.57701
1091546875,-47.846321,15.559587,-0.45191309,165.32695,-0.44770813,165.31342,-52.623688,108.93304
1093023437.5,-47.398182,15.812166,-0.44892216,164.57593,-0.44891489,164.56715,-54.150112,102.52642
1094500000,-47.68615,16.46686,-0.44797492,163.84647,-0.44683525,163.85429,-52.744308,112.75808
1095976562.5,-47.338501,14.119531,-0.45152974,163.06891,-0.44811004,163.09723,-52.151749,100.36908
1097453125,-46.722301,20.5828,-0.45158076,162.32428,-0.44781873,162.32672,-53.16317,91.563881
