!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, January 28, 2014 15:46:49
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-27.171427,-97.358025,-0.68296731,165.60196,-0.68502027,165.52461,-27.996239,-117.07947
4000312500,-27.112333,-96.534874,-0.71612805,163.73666,-0.66533887,165.41277,-28.06978,-118.43877
4000625000,-27.136782,-96.485077,-0.70181561,164.14896,-0.67395538,165.26717,-28.035488,-118.62247
4000937500,-27.155922,-96.482269,-0.69296867,164.58446,-0.67764437,165.16708,-28.032349,-118.17973
4001250000,-27.16877,-96.625946,-0.68519199,164.88202,-0.68161982,165.0253,-27.994804,-118.18088
4001562500,-27.142101,-96.543114,-0.6813705,164.98598,-0.68379796,164.89095,-27.978029,-118.13299
4001875000,-27.137489,-96.958817,-0.68200397,164.91745,-0.68363971,164.77428,-27.944365,-118.2431
4002187500,-27.151909,-97.305031,-0.68295461,164.77147,-0.68541598,164.63361,-27.904192,-118.31293
4002500000,-27.149734,-97.402237,-0.68100959,164.57397,-0.68171114,164.50198,-27.913828,-118.57911
4002812500,-27.131519,-97.499336,-0.6791777,164.39024,-0.68250382,164.3638,-27.914141,-118.95235
4003125000,-27.131557,-97.434013,-0.68213326,164.27612,-0.68665946,164.24577,-27.908987,-119.13327
4003437500,-27.093658,-97.30558,-0.68128049,164.14581,-0.68298209,164.13094,-27.896479,-119.28842
4003750000,-27.056087,-97.254288,-0.68093652,164.01215,-0.68491524,163.98994,-27.859602,-119.54364
4004062500,-27.01643,-97.533318,-0.68049216,163.88901,-0.68647951,163.88167,-27.831646,-119.98215
4004375000,-27.005577,-97.443527,-0.68256456,163.76067,-0.68395907,163.73955,-27.850813,-120.33733
4004687500,-26.976807,-97.666382,-0.67923558,163.62793,-0.68265295,163.60803,-27.82449,-120.40333
4005000000,-27.014578,-97.711334,-0.68385738,163.50992,-0.68452668,163.48892,-27.813133,-120.40715
4005312500,-27.003777,-97.7864,-0.68182796,163.36987,-0.6838516,163.38391,-27.841162,-120.1549
4005625000,-27.046785,-98.025787,-0.68316466,163.22165,-0.68563783,163.24045,-27.837357,-120.32906
4005937500,-27.044476,-98.108543,-0.68375814,163.09047,-0.68327433,163.11894,-27.860256,-120.5872
4006250000,-27.034887,-97.944977,-0.68411851,162.97943,-0.68439412,163.00069,-27.891644,-120.79388
4006562500,-27.055605,-98.033112,-0.68331432,162.86115,-0.68356872,162.86143,-27.965452,-121.07699
4006875000,-27.068064,-98.191895,-0.68481201,162.72087,-0.68530583,162.74538,-27.95307,-121.29602
4007187500,-27.107481,-97.997215,-0.68220633,162.59346,-0.68458068,162.60519,-27.981266,-121.55292
4007500000,-27.08712,-97.986694,-0.683231,162.47145,-0.68493557,162.48087,-27.941404,-121.59878
4007812500,-27.11025,-97.979027,-0.6842432,162.3481,-0.68468821,162.35271,-27.865837,-121.82623
4008125000,-27.066767,-97.537811,-0.68372935,162.21758,-0.68334568,162.23889,-27.879511,-121.96416
4008437500,-27.102188,-97.724991,-0.68269074,162.08876,-0.68798983,162.12109,-27.842958,-122.3219
4008750000,-27.066589,-97.531013,-0.68127859,161.95671,-0.68608373,161.99104,-27.79458,-122.31653
4009062500,-27.074432,-97.861275,-0.68239492,161.84779,-0.68769902,161.84549,-27.75032,-122.66624
4009375000,-27.068596,-97.961441,-0.68208224,161.7052,-0.68739361,161.72375,-27.785135,-122.6681
4009687500,-27.040876,-98.00898,-0.68332815,161.58218,-0.68475264,161.59151,-27.802992,-122.79655
4010000000,-27.02923,-98.240341,-0.6818738,161.46986,-0.68472785,161.46129,-27.756048,-123.00645
4010312500,-27.014643,-97.997032,-0.68197083,161.32838,-0.68556476,161.33653,-27.769541,-123.28049
4010625000,-26.984779,-98.173355,-0.68337423,161.19987,-0.68518287,161.2191,-27.758627,-123.63234
4010937500,-26.958035,-98.183479,-0.68611896,161.07144,-0.68490177,161.07971,-27.753639,-123.79592
4011250000,-26.894712,-98.225586,-0.68287772,160.95338,-0.68248755,160.94952,-27.747648,-123.8976
4011562500,-26.904209,-98.240028,-0.68321133,160.80725,-0.68453509,160.84631,-27.746458,-123.99434
4011875000,-26.901913,-98.469597,-0.68407971,160.70117,-0.68375748,160.70917,-27.763926,-124.49716
4012187500,-26.90032,-98.406853,-0.68294966,160.57303,-0.68470138,160.56895,-27.745754,-124.50121
4012500000,-26.914093,-98.502533,-0.68195409,160.44363,-0.68440866,160.44983,-27.730343,-125.08377
4012812500,-26.951706,-98.381981,-0.68396503,160.31392,-0.68522632,160.31573,-27.762928,-125.25478
4013125000,-26.956713,-98.549881,-0.68439436,160.19116,-0.68553758,160.17702,-27.786892,-125.75857
4013437500,-26.984594,-98.539604,-0.68347687,160.06158,-0.68855,160.05472,-27.764124,-125.79046
4013750000,-26.948355,-98.632919,-0.6871801,159.93945,-0.6840722,159.92622,-27.75565,-126.0439
4014062500,-26.953978,-98.883217,-0.68432236,159.81236,-0.68325078,159.8219,-27.760242,-126.17509
4014375000,-26.98303,-99.03141,-0.684753,159.67668,-0.68215072,159.67981,-27.744131,-126.37838
4014687500,-26.964678,-99.057961,-0.6855377,159.54451,-0.68186998,159.55956,-27.767839,-126.39455
4015000000,-26.96788,-99.005096,-0.68226808,159.40891,-0.68291396,159.39874,-27.783337,-126.5079
4015312500,-26.971176,-98.864609,-0.68293053,159.28566,-0.68226922,159.30887,-27.787081,-126.30297
4015625000,-26.994169,-98.771271,-0.68375462,159.14888,-0.68221706,159.18236,-27.817698,-126.4584
