!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, January 28, 2014 15:57:27
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-37.507015,-73.761574,-0.65853482,-147.56792,-0.66188729,-147.66331,-38.050465,-63.258755
4000312500,-37.742237,-72.324936,-0.69556832,-149.4436,-0.64563125,-147.79312,-37.881031,-63.804752
4000625000,-37.776264,-72.465271,-0.67855489,-149.02577,-0.64905226,-147.89513,-37.894104,-64.399651
4000937500,-37.726715,-72.688194,-0.67075455,-148.60654,-0.65614754,-148.03172,-38.056431,-64.860184
4001250000,-37.772343,-73.172272,-0.66464251,-148.30577,-0.66101152,-148.14293,-37.844913,-65.120476
4001562500,-37.618683,-73.167633,-0.66038555,-148.18216,-0.65931648,-148.26297,-37.835114,-64.673172
4001875000,-37.55373,-73.496765,-0.65809476,-148.24104,-0.66387546,-148.40118,-37.792362,-64.805084
4002187500,-37.504864,-73.661835,-0.66124004,-148.3987,-0.66022474,-148.52988,-37.762478,-63.657444
4002500000,-37.395275,-73.328934,-0.65983701,-148.59308,-0.66158533,-148.66792,-37.742615,-63.929008
4002812500,-37.341587,-73.642143,-0.65830028,-148.76189,-0.6624772,-148.79315,-37.666584,-62.799049
4003125000,-37.25618,-74.131622,-0.65845829,-148.89919,-0.66258436,-148.92429,-37.70908,-64.442566
4003437500,-37.26939,-73.637459,-0.65730304,-149.01485,-0.66126996,-149.04314,-37.610817,-65.229362
4003750000,-37.317894,-73.040169,-0.65885079,-149.12808,-0.66340584,-149.17303,-37.603313,-65.138321
4004062500,-37.29924,-72.187416,-0.66155529,-149.26564,-0.66159242,-149.27644,-37.387066,-65.214073
4004375000,-37.193741,-71.864716,-0.658957,-149.37674,-0.66315633,-149.37579,-37.465263,-65.98262
4004687500,-37.124008,-72.307304,-0.65989274,-149.49982,-0.66264766,-149.52112,-37.351234,-66.201889
4005000000,-37.080399,-72.584969,-0.65842545,-149.61205,-0.6630649,-149.63901,-37.427715,-65.223129
4005312500,-37.07835,-72.840973,-0.66138124,-149.76413,-0.66044074,-149.77402,-37.462078,-65.895699
4005625000,-37.014069,-73.807693,-0.66130543,-149.88509,-0.66286987,-149.87369,-37.313522,-65.383369
4005937500,-37.05695,-74.20829,-0.66093051,-150.00746,-0.66176081,-150.0083,-37.390625,-65.725586
4006250000,-36.932674,-73.97361,-0.66104859,-150.12459,-0.6638996,-150.12517,-37.464241,-66.820091
4006562500,-36.841103,-74.228668,-0.6645751,-150.2659,-0.6605559,-150.24423,-37.412926,-66.832306
4006875000,-36.950188,-74.159706,-0.66128594,-150.3819,-0.66326183,-150.3896,-37.509228,-67.93882
4007187500,-36.804134,-74.332687,-0.66195786,-150.51448,-0.66214401,-150.50146,-37.495934,-67.667442
4007500000,-36.889591,-74.368546,-0.66206646,-150.63741,-0.66442275,-150.61961,-37.413357,-68.01899
4007812500,-37.041328,-74.158501,-0.66134244,-150.73962,-0.66326529,-150.74855,-37.320698,-67.181313
4008125000,-37.037621,-74.145775,-0.66096109,-150.89516,-0.66232157,-150.8624,-37.308872,-66.665619
4008437500,-37.083305,-74.68412,-0.65977675,-150.99362,-0.66465378,-150.98363,-37.160179,-66.784454
4008750000,-37.245773,-74.447937,-0.65981144,-151.125,-0.66602468,-151.11958,-37.058304,-67.197868
