!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, February 11, 2014 11:17:25
!Source: Standard

BEGIN CH2_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-46.388927,-103.36926,-0.26433235,43.629097,-0.26322585,43.615719,-47.422024,-103.02132
1001484375,-47.116375,-100.50221,-0.25951901,43.122433,-0.2632561,43.139099,-47.267475,-101.59958
1002968750,-46.014565,-99.311729,-0.26476422,42.686089,-0.26384369,42.64119,-47.712193,-107.79549
1004453125,-46.688938,-101.0014,-0.26053566,42.195118,-0.26154757,42.193802,-46.990246,-97.148262
1005937500,-47.605431,-101.32594,-0.26508078,41.725826,-0.26494104,41.724274,-47.197876,-99.973259
1007421875,-47.547863,-103.99963,-0.26385581,41.262501,-0.26392797,41.254601,-47.137001,-103.4106
1008906250,-48.880894,-105.78107,-0.26535979,40.779945,-0.26166329,40.802151,-46.630413,-109.9665
1010390625,-47.834034,-110.06298,-0.26725996,40.333801,-0.26273626,40.30051,-47.433994,-115.16784
1011875000,-47.952892,-105.06255,-0.26521721,39.86792,-0.26133269,39.862274,-48.489056,-106.84051
1013359375,-47.349049,-110.35058,-0.26486522,39.394588,-0.26573366,39.38987,-48.674366,-102.70109
1014843750,-49.334953,-113.53744,-0.26262504,38.924385,-0.26677153,38.892632,-48.4716,-106.06197
1016328125,-49.619156,-109.82278,-0.26602802,38.445747,-0.26430276,38.433434,-47.576893,-115.77749
1017812500,-48.549248,-113.40042,-0.2661162,38.005264,-0.26189384,37.980553,-48.976742,-105.89803
1019296875,-49.576351,-122.25255,-0.26231027,37.499226,-0.26504678,37.524876,-48.321918,-109.94709
1020781250,-49.228977,-123.65843,-0.26377079,37.041027,-0.26330206,37.052807,-48.620422,-121.55672
1022265625,-50.291176,-116.592,-0.26548052,36.574223,-0.26466936,36.571301,-49.743546,-112.25065
1023750000,-50.453335,-115.84544,-0.26613858,36.119007,-0.26868328,36.102623,-49.187195,-122.775
1025234375,-50.733276,-123.75655,-0.2667996,35.630802,-0.26581615,35.633869,-49.866207,-126.3929
1026718750,-50.242985,-118.40262,-0.26591295,35.166161,-0.2666817,35.182018,-50.353313,-127.23102
1028203125,-50.04842,-128.51642,-0.26612911,34.707649,-0.26418099,34.678162,-49.210423,-130.93269
1029687500,-50.313713,-120.51878,-0.26787308,34.241894,-0.26390612,34.222481,-49.368759,-127.64407
1031171875,-50.147385,-122.68259,-0.26687506,33.777931,-0.2660732,33.763973,-49.389572,-132.54193
1032656250,-50.705997,-126.98888,-0.26363283,33.306683,-0.26851091,33.307518,-51.184509,-132.67157
1034140625,-51.704617,-127.09412,-0.26832378,32.824295,-0.26651102,32.826271,-50.466869,-135.53519
1035625000,-50.798916,-128.63655,-0.2652348,32.366554,-0.2670117,32.378166,-51.165619,-134.22267
1037109375,-51.223282,-129.28674,-0.26920095,31.901011,-0.26526892,31.887356,-50.342945,-138.1465
1038593750,-52.158653,-134.23878,-0.26842037,31.433573,-0.26566464,31.437042,-51.38953,-138.97574
1040078125,-51.912807,-148.93022,-0.26897228,30.946535,-0.26431441,30.956427,-51.400322,-142.96475
1041562500,-51.121567,-137.26753,-0.26742122,30.50367,-0.26430842,30.494749,-51.705509,-134.19992
1043046875,-51.260128,-153.69676,-0.26643887,30.027483,-0.2685059,30.046471,-50.062809,-148.65614
1044531250,-52.122738,-153.51277,-0.27150109,29.553133,-0.27187079,29.572536,-50.923115,-141.07265
1046015625,-51.703762,-149.34312,-0.2686896,29.081238,-0.27146301,29.098026,-51.405449,-143.96806
1047500000,-52.355297,-152.99733,-0.26966819,28.637449,-0.26800877,28.598789,-52.557888,-153.1396
1048984375,-53.190525,-147.6456,-0.26817527,28.146469,-0.26733726,28.155695,-50.822815,-141.38956
1050468750,-52.947388,-153.39981,-0.27068701,27.669989,-0.26865008,27.696396,-51.162373,-150.30731
1051953125,-53.503349,-161.52095,-0.26756084,27.221487,-0.26773527,27.190592,-53.961025,-159.71577
1053437500,-53.267334,-151.1088,-0.26861617,26.761814,-0.2685411,26.730644,-51.915474,-152.23093
1054921875,-52.803261,-168.49855,-0.27035728,26.279802,-0.27154464,26.288212,-52.202549,-160.71309
1056406250,-51.324543,-166.21495,-0.27065799,25.791883,-0.26865652,25.817659,-52.209526,-153.049
1057890625,-52.800816,-155.80676,-0.27004066,25.325056,-0.27266306,25.336895,-52.377666,-166.31363
1059375000,-51.408619,-175.79761,-0.26845524,24.863056,-0.27208146,24.874449,-51.125271,-167.33485
1060859375,-52.921047,-177.61188,-0.27191532,24.395357,-0.26945218,24.408539,-52.959896,-169.4113
1062343750,-53.730621,176.12477,-0.27079365,23.935484,-0.27066311,23.917755,-52.326595,-166.2563
1063828125,-51.234436,171.94225,-0.2718178,23.468508,-0.27387688,23.491531,-51.241634,-177.38498
1065312500,-53.032436,178.63304,-0.27229738,23.011253,-0.27117571,23.01693,-52.165688,176.55098
1066796875,-55.082775,166.28798,-0.27331242,22.538319,-0.27296117,22.53594,-51.75201,-172.52362
1068281250,-52.704166,171.47258,-0.2735889,22.061838,-0.26874426,22.055721,-51.333134,-172.46873
1069765625,-52.751305,160.23419,-0.27107108,21.583773,-0.27220702,21.600058,-52.309738,-179.01453
1071250000,-53.334568,163.45761,-0.26939708,21.122999,-0.2709538,21.134972,-53.272232,179.16554
1072734375,-53.514492,166.53134,-0.27224344,20.664951,-0.27040482,20.655521,-52.83366,166.68365
