!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Wednesday, April 02, 2014 17:44:47
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
1000000000,-36.365063,137.53232,-0.28433955,4.857245,-0.28725842,4.8587532,-36.822609,54.06749
1001484375,-36.252514,135.61096,-0.28655502,4.3218646,-0.28626594,4.3460455,-36.508324,56.900768
1002968750,-36.551643,135.05724,-0.28666919,3.7994425,-0.28697658,3.8186154,-36.371723,54.969429
1004453125,-36.113781,134.21587,-0.28957257,3.2545898,-0.28940627,3.2855484,-36.268723,57.086678
1005937500,-36.314564,133.54637,-0.28826448,2.7398291,-0.28997943,2.7871146,-36.029453,55.692139
1007421875,-36.325802,129.03268,-0.28921077,2.1894855,-0.28488284,2.2624376,-36.078045,54.5079
1008906250,-36.482937,131.85693,-0.29216143,1.7077649,-0.28763038,1.7030079,-35.887806,55.006477
1010390625,-36.18335,129.58353,-0.29114172,1.1911665,-0.28776664,1.1940665,-36.143463,53.117355
1011875000,-36.409462,130.61481,-0.29231146,0.64511311,-0.28802386,0.6829136,-35.765385,52.561062
1013359375,-36.00919,127.14859,-0.29223365,0.11475012,-0.29047954,0.15044048,-35.912743,53.24242
1014843750,-36.042507,126.71218,-0.29017517,-0.43955868,-0.28856722,-0.39547753,-36.013779,53.605312
1016328125,-36.254456,126.06151,-0.29050985,-0.95362002,-0.28940535,-0.9192853,-35.609524,54.694607
1017812500,-36.076553,126.17094,-0.29064673,-1.46308,-0.29058108,-1.4314246,-35.925907,51.279346
1019296875,-35.945644,124.59219,-0.28976366,-1.9832708,-0.29420909,-1.9703933,-35.7369,51.463428
1020781250,-35.789188,122.07775,-0.29280406,-2.5138395,-0.29034963,-2.494519,-35.777897,52.586803
1022265625,-35.932438,121.6981,-0.29111049,-3.0522859,-0.29220003,-3.0353835,-35.547318,52.331902
1023750000,-35.551731,120.00461,-0.29274505,-3.5691924,-0.29167569,-3.5561383,-35.266594,51.794224
1025234375,-35.84325,120.53796,-0.2939117,-4.0734267,-0.28762653,-4.0837865,-35.550735,51.518112
1026718750,-35.650642,117.3075,-0.29125303,-4.6179628,-0.29428184,-4.5887346,-35.505226,52.809628
1028203125,-35.413609,116.85761,-0.29598492,-5.1498151,-0.29460427,-5.1362681,-35.266083,54.2066
1029687500,-35.630798,116.0924,-0.29738638,-5.6872916,-0.29073083,-5.6734276,-34.795967,51.081905
1031171875,-35.320072,115.15768,-0.29143813,-6.1750579,-0.29424679,-6.1785784,-35.023163,52.976883
1032656250,-35.412369,113.13667,-0.29301825,-6.7328472,-0.29052597,-6.6811695,-35.082916,50.711258
1034140625,-35.439095,112.01014,-0.29526785,-7.2691851,-0.29669943,-7.2248402,-35.084328,50.084545
1035625000,-35.258381,112.20428,-0.29193142,-7.7883062,-0.2922155,-7.7442207,-34.882877,52.040092
1037109375,-35.051529,110.39542,-0.29284808,-8.3015394,-0.29270455,-8.2884474,-34.674484,50.199062
1038593750,-35.119686,111.2495,-0.29618281,-8.8510942,-0.29065335,-8.8069372,-35.023891,51.763596
1040078125,-35.014584,108.46715,-0.29805532,-9.3470087,-0.28982854,-9.3470898,-34.723568,50.758614
1041562500,-35.077477,107.24053,-0.29251227,-9.8839693,-0.29321086,-9.8648491,-34.664223,50.904716
1043046875,-34.847149,105.96571,-0.29674122,-10.404394,-0.29746121,-10.377495,-34.674507,51.254757
1044531250,-34.919285,104.03009,-0.29362258,-10.918072,-0.29450047,-10.888887,-34.660652,49.419601
1046015625,-35.185242,102.31007,-0.29677206,-11.457479,-0.29017106,-11.437551,-34.610706,49.92495
1047500000,-34.989555,102.44906,-0.29133573,-11.970923,-0.29621935,-11.963444,-34.654995,47.894234
1048984375,-34.763172,100.37117,-0.29743958,-12.514728,-0.2916393,-12.50657,-34.087795,49.957691
1050468750,-35.149464,100.0731,-0.29639971,-13.049165,-0.29563183,-13.010212,-34.632271,49.413639
1051953125,-34.919365,97.604324,-0.29792652,-13.563159,-0.29163048,-13.520316,-34.411503,48.55999
1053437500,-34.840034,96.581261,-0.29675749,-14.098606,-0.2967371,-14.043124,-34.236145,49.525738
1054921875,-34.677372,95.551788,-0.29811105,-14.611161,-0.29632995,-14.59099,-34.249481,49.952946
1056406250,-34.659763,93.643059,-0.29639223,-15.130962,-0.29366454,-15.093268,-34.03194,48.965488
1057890625,-34.779449,93.629486,-0.29841718,-15.645925,-0.29508328,-15.62374,-33.980015,49.508396
1059375000,-34.619644,93.743568,-0.29948163,-16.187696,-0.29864386,-16.158606,-33.930069,48.232616
1060859375,-34.636501,91.398277,-0.29715702,-16.689819,-0.2939032,-16.706486,-34.137474,47.598484
1062343750,-34.525013,91.905487,-0.30014449,-17.224543,-0.29903618,-17.208891,-33.598888,50.045773
1063828125,-34.449966,91.335403,-0.29624146,-17.750813,-0.29407704,-17.736645,-33.945576,47.917419
1065312500,-34.517704,88.079605,-0.29930198,-18.278183,-0.29800221,-18.254686,-33.720764,46.728092
1066796875,-34.637611,85.483307,-0.30086246,-18.807087,-0.2960363,-18.80028,-33.585453,47.915741
1068281250,-34.367035,86.203224,-0.29902166,-19.337933,-0.29873285,-19.302576,-33.409443,48.982086
1069765625,-34.528259,87.115471,-0.29820508,-19.860838,-0.29503024,-19.856804,-33.792965,46.493038
1071250000,-34.49575,83.564606,-0.30036798,-20.374981,-0.3012844,-20.346802,-33.629314,49.19249
1072734375,-34.252594,84.027977,-0.29978374,-20.89654,-0.29806203,-20.889759,-33.703037,47.811729
