!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Tuesday, June 23, 2015 15:23:07
!Source: Standard

BEGIN CH20_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-49.768009,123.63174,-0.66064411,-149.51326,-0.66484815,-149.55717,-40.861279,111.82062
4000312500,-53.128571,113.61299,-0.69552678,-151.38289,-0.64779735,-149.66243,-41.067783,114.41059
4000625000,-52.067142,114.49154,-0.68473482,-150.9669,-0.6543479,-149.7946,-40.769188,112.93317
4000937500,-50.488132,116.16678,-0.67421752,-150.54208,-0.65730727,-149.91371,-40.513107,111.57545
4001250000,-49.843616,116.2566,-0.66786748,-150.21109,-0.66175574,-150.02135,-40.249588,111.44985
4001562500,-49.613472,118.02854,-0.66519642,-150.10553,-0.6641252,-150.14868,-40.247272,111.93198
4001875000,-49.410427,118.82317,-0.66593039,-150.16136,-0.66343677,-150.28384,-40.322647,112.03541
4002187500,-49.562241,119.16795,-0.6648466,-150.32137,-0.6641627,-150.39647,-40.469555,112.45424
4002500000,-49.789436,119.31799,-0.66312742,-150.51607,-0.66142201,-150.55011,-40.334148,113.94057
4002812500,-49.918278,122.28699,-0.66451997,-150.68515,-0.66039515,-150.6571,-40.514027,112.87326
4003125000,-50.049644,120.3101,-0.66483051,-150.83061,-0.66166198,-150.79669,-40.479431,113.77632
4003437500,-49.915161,119.58814,-0.66515827,-150.9498,-0.66172141,-150.90211,-40.411442,113.01401
4003750000,-49.692581,120.37506,-0.6673035,-151.08305,-0.66176683,-151.03296,-40.367191,113.1366
4004062500,-50.087517,119.91036,-0.66810292,-151.2086,-0.66244549,-151.16692,-40.323341,111.47318
4004375000,-49.719261,119.7478,-0.66481334,-151.32756,-0.66264057,-151.28471,-40.363735,112.42917
4004687500,-49.823975,118.30142,-0.66657972,-151.47661,-0.66576827,-151.38655,-40.366318,112.40643
4005000000,-49.820732,120.90093,-0.66277468,-151.58344,-0.66640347,-151.53467,-40.367535,112.49097
4005312500,-49.481888,121.50009,-0.66643864,-151.69714,-0.66586435,-151.64954,-40.233059,111.87083
4005625000,-49.833473,122.8614,-0.66485399,-151.8302,-0.66826987,-151.76416,-40.268593,111.95494
4005937500,-49.900925,122.96219,-0.66383487,-151.95366,-0.66563386,-151.89291,-40.306248,112.67208
4006250000,-49.95504,118.89678,-0.66294384,-152.06761,-0.66749561,-152.01112,-40.319542,111.88057
4006562500,-50.38607,117.6015,-0.66355425,-152.19563,-0.66603702,-152.14194,-40.4617,112.36988
4006875000,-50.782349,117.08776,-0.66527402,-152.32315,-0.6640591,-152.26315,-40.284302,112.79286
4007187500,-50.533733,115.59998,-0.6654048,-152.45183,-0.66771913,-152.39221,-40.58292,111.37609
4007500000,-50.401917,116.17664,-0.66648108,-152.58607,-0.66715759,-152.52147,-40.384052,112.43505
4007812500,-49.897316,117.80145,-0.66625959,-152.68382,-0.66559756,-152.64159,-40.579998,111.29867
4008125000,-49.403885,116.62227,-0.66801316,-152.8183,-0.6641835,-152.76273,-40.594471,110.71439
4008437500,-48.765594,117.18246,-0.66710383,-152.94029,-0.66597015,-152.86775,-40.614697,110.39375
4008750000,-48.549938,115.6079,-0.66707116,-153.06802,-0.66707069,-153.02089,-40.664661,110.51851
4009062500,-48.001511,112.23055,-0.66887528,-153.17529,-0.66405177,-153.15161,-40.640804,110.92152
4009375000,-48.026188,107.65587,-0.66889542,-153.31535,-0.66582495,-153.27534,-40.594807,111.62214
4009687500,-48.018501,106.3968,-0.66939855,-153.42393,-0.66424143,-153.37633,-40.532631,112.00452
4010000000,-48.738674,103.07368,-0.67079395,-153.55502,-0.66383719,-153.50696,-40.533405,111.47166
4010312500,-48.255295,101.76833,-0.67107779,-153.69235,-0.66123313,-153.64212,-40.362232,113.42
4010625000,-48.276894,102.15346,-0.66510707,-153.79161,-0.66616243,-153.75229,-40.538651,113.00587
4010937500,-48.534,105.00922,-0.66866624,-153.9052,-0.66581458,-153.87543,-40.506416,112.28575
4011250000,-48.440891,104.15931,-0.66620046,-154.05067,-0.66514796,-154.01001,-40.539501,111.19659
4011562500,-48.520733,107.63996,-0.66418618,-154.17726,-0.66567099,-154.14427,-40.618282,111.23941
