!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Friday, July 17, 2015 16:30:50
!Source: Standard

BEGIN CH4_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
4000000000,-28.549126,25.787748,-0.43464142,11.692749,-0.44028559,11.6017,-29.312817,167.78265
4000312500,-28.438276,24.542013,-0.46629354,9.8602295,-0.42216149,11.514836,-29.288773,165.70647
4000625000,-28.38456,25.198851,-0.45551857,10.321122,-0.42922789,11.436243,-29.241474,166.24088
4000937500,-28.378874,25.461365,-0.44926351,10.788944,-0.43337718,11.348027,-29.219908,166.56438
4001250000,-28.370678,25.775328,-0.44109395,11.16335,-0.43544492,11.272711,-29.188292,166.79817
4001562500,-28.387934,26.081364,-0.43993405,11.299387,-0.43806309,11.188645,-29.151714,166.79457
4001875000,-28.396513,25.697866,-0.44063422,11.298311,-0.43945065,11.101192,-29.130301,167.06924
4002187500,-28.384541,25.655455,-0.43939975,11.157242,-0.43727282,11.030813,-29.040922,166.74257
4002500000,-28.387739,25.349792,-0.4400351,11.007016,-0.43570316,10.947477,-29.06168,166.46147
4002812500,-28.401514,25.126669,-0.439827,10.873664,-0.43856502,10.872822,-29.046967,166.36707
4003125000,-28.418167,25.192421,-0.44076851,10.796608,-0.43508086,10.773715,-29.047152,166.09451
4003437500,-28.449724,25.227583,-0.43713629,10.695854,-0.4365913,10.683127,-29.062216,166.02966
4003750000,-28.418928,25.569241,-0.44141805,10.637754,-0.43615216,10.596416,-29.107468,166.25348
4004062500,-28.401295,26.063435,-0.43928799,10.551861,-0.43577084,10.524621,-29.072449,165.94351
4004375000,-28.407347,26.027023,-0.43967369,10.456739,-0.43518582,10.442662,-29.126165,165.9225
4004687500,-28.446524,25.528727,-0.43704006,10.363629,-0.43598202,10.342546,-29.1401,165.95212
4005000000,-28.386238,25.089891,-0.43893579,10.300183,-0.43769309,10.264779,-29.129961,165.74323
4005312500,-28.420345,24.605961,-0.44111484,10.221931,-0.43535545,10.161792,-29.190899,165.69704
4005625000,-28.402004,24.373795,-0.44078222,10.157369,-0.43812218,10.11021,-29.203077,165.05872
4005937500,-28.438126,24.157307,-0.44172353,10.064565,-0.43980768,10.013442,-29.129444,164.89307
4006250000,-28.378496,24.127241,-0.43734083,9.9783134,-0.43818018,9.9217873,-29.10429,164.94252
4006562500,-28.349737,24.468376,-0.43937367,9.8875389,-0.44208536,9.8358068,-29.025665,165.20082
4006875000,-28.311312,24.698618,-0.43897042,9.7975683,-0.43868464,9.7679958,-28.952631,165.24532
4007187500,-28.312025,25.233152,-0.44144809,9.7100191,-0.43768585,9.6922293,-28.859972,165.39482
4007500000,-28.27492,24.936129,-0.43685621,9.6282415,-0.43908936,9.5927277,-28.895546,165.43054
4007812500,-28.276667,24.856363,-0.43915659,9.543004,-0.43961704,9.5155802,-28.909327,165.40634
4008125000,-28.232088,24.885609,-0.43690687,9.4525433,-0.43889812,9.4414597,-28.950832,164.87836
4008437500,-28.220266,24.803131,-0.43797147,9.3568459,-0.43888414,9.3529835,-29.004183,164.66594
4008750000,-28.204403,24.76919,-0.44216415,9.2905302,-0.4365246,9.2894402,-29.031424,164.47173
4009062500,-28.208464,24.570772,-0.44026443,9.1809788,-0.43874133,9.1903172,-29.044283,164.06227
4009375000,-28.178461,24.642977,-0.44224215,9.1177845,-0.43925411,9.0981703,-28.993731,163.87875
4009687500,-28.137426,24.838715,-0.44240957,9.0394068,-0.43783572,9.0188284,-28.960003,163.62
4010000000,-28.112663,25.028282,-0.44289348,8.959012,-0.43899271,8.9274073,-28.927794,163.62148
4010312500,-28.086189,24.971958,-0.44246769,8.8700094,-0.43923837,8.8482237,-28.873295,163.32532
4010625000,-28.08046,24.774721,-0.44184998,8.8104172,-0.44154066,8.7665148,-28.876348,163.36809
4010937500,-28.082338,24.483431,-0.44311011,8.7157574,-0.43983635,8.6929607,-28.884031,163.37103
