!CSV A.01.01
!Agilent Technologies,N5222A,MY51421451,A.09.90.02
!Agilent N5222A: A.09.90.02
!Date: Friday, July 31, 2015 15:15:22
!Source: Standard

BEGIN CH3_DATA
Freq(Hz),S33(DB),S33(DEG),S34(DB),S34(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
1000000000,-40.762539,93.09877,-0.21966845,129.82104,-0.21613385,129.79091,-35.828247,-32.732147
1001484375,-40.353714,93.323128,-0.21649311,128.92175,-0.2176667,128.89471,-36.250061,-32.473846
1002968750,-40.371349,91.235474,-0.21880288,128.03775,-0.21687371,128.04578,-35.726833,-32.617207
1004453125,-39.88599,89.789703,-0.21619199,127.1752,-0.21825719,127.16568,-35.650249,-35.249668
1005937500,-40.240223,87.779259,-0.22280096,126.28073,-0.22335304,126.30207,-35.584808,-34.161736
1007421875,-39.846153,87.297737,-0.2183608,125.3949,-0.21799794,125.40169,-35.62907,-35.121052
1008906250,-39.525906,87.988594,-0.2196569,124.54447,-0.21976273,124.53018,-35.469402,-35.802994
1010390625,-39.859501,85.996628,-0.21877629,123.67653,-0.21877578,123.69238,-35.633034,-38.128933
1011875000,-39.26358,85.36425,-0.21973801,122.79798,-0.21645413,122.7701,-35.51347,-37.094704
1013359375,-39.280975,80.678886,-0.21705939,121.89767,-0.22107044,121.92261,-35.482372,-37.839092
1014843750,-39.140083,79.803604,-0.21774006,121.02907,-0.22244887,121.0519,-35.535378,-36.77467
1016328125,-38.715408,78.213341,-0.21904315,120.17004,-0.22243215,120.16696,-35.473099,-37.425323
1017812500,-38.484795,78.892151,-0.22152472,119.28355,-0.21941175,119.25953,-35.091438,-38.056438
1019296875,-38.332554,75.727737,-0.21894976,118.42693,-0.22310308,118.42751,-35.281219,-39.030411
1020781250,-38.717552,77.429337,-0.22061272,117.52888,-0.21950841,117.52446,-35.115173,-41.196362
1022265625,-38.076427,74.323982,-0.22097136,116.641,-0.2217302,116.67188,-35.145866,-38.879997
1023750000,-38.663704,75.137466,-0.22466311,115.77727,-0.21707387,115.80027,-34.877632,-41.044571
1025234375,-37.851227,73.485321,-0.22089082,114.92334,-0.22266926,114.91737,-35.050335,-40.691677
1026718750,-37.880043,71.775177,-0.22361647,114.02367,-0.22377194,114.0394,-35.067486,-41.63858
1028203125,-38.153492,70.962555,-0.22194374,113.16685,-0.22075693,113.15752,-34.577255,-41.074085
1029687500,-37.986908,68.725357,-0.22196896,112.29289,-0.21878056,112.27943,-35.088829,-41.528412
1031171875,-37.814789,66.69104,-0.22397889,111.41666,-0.22280854,111.41673,-34.833076,-43.063015
1032656250,-37.626766,65.329147,-0.22525287,110.5219,-0.22226156,110.54813,-34.826347,-41.659481
1034140625,-37.742882,65.624092,-0.22101088,109.6776,-0.22339161,109.65579,-34.764389,-42.081493
1035625000,-37.505508,63.507877,-0.22314323,108.79361,-0.22144225,108.80193,-34.691334,-43.4203
1037109375,-37.435993,62.270958,-0.2208513,107.91837,-0.2207334,107.94227,-34.941311,-44.735485
1038593750,-37.15472,61.590637,-0.22211356,107.04578,-0.22239676,107.04904,-34.649582,-45.228706
1040078125,-37.367321,61.860634,-0.22138634,106.15352,-0.22176364,106.19498,-34.439022,-44.74464
1041562500,-37.078781,59.176788,-0.22202103,105.29488,-0.22112991,105.28435,-34.573811,-45.858105
1043046875,-37.050209,58.196346,-0.2224175,104.43716,-0.22299132,104.42239,-34.486134,-48.013081
1044531250,-36.840366,56.858955,-0.22375758,103.53677,-0.22401465,103.5387,-34.732048,-45.732372
